Label,Total_Votes,Share_Percentage
DMK,78293,44.35436813451395
TVK,64944,36.79192372406057
AIADMK,19259,10.91056385503946
NTK,10218,5.788677577797039
IND7,700,0.396562370763156
IND2,603,0.3416101565288329
IND1,539,0.30535302548763
TAVAK,489,0.2770271418616904
IND10,346,0.1960151146915028
IND9,220,0.1246338879541347
PMTDK,193,0.1093379107961273
IND8,149,0.08441113320530035
IND6,140,0.0793124741526312
IND4,124,0.07024819139233048
NIP,121,0.0685486383747741
IND3,97,0.05495221423432304
IND5,82,0.04645444914654113
