Serial No. Of Polling Station,Location and Name of Building in Which Polling Station Located,Polling Areas,Winner_Party,Runner_Up_Party,Margin_Of_Victory,Margin_Percentage
8,"M.D T. Hindu College Hr.Sec.School, ,West Building, South Portion, Last Hall, Tirunelveli. Juntion","1.Melaveeraragavapuram Tirunelveli (C) Ward 30 Shreepuram , 2.Melaveeraragavapuram Tirunelveli (C) Ward 30 Swamy Nellaiyappar High Road , 3.Melaveeraragavapuram Tirunelveli (C) Ward 30 Palam Police Colony , 4.Melaveeraragavapuram Tirunelveli (C) Ward 30 Goyaksiyal Colony , 5.Melaveeraragavapuram Tirunelveli (C) Ward 30 Mothilal Street , 6.Sindhupoondurai Tirunelveli (C) Ward 30 Kailasapuram North Street , 999.Overseas Electors",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,25,4.098360655737705
23,"Hindu Aided Primary School, ,Southern Portion, Padappakkurichi.","1.Tirunelveli (C) Thimmarajapuram Ward 4 V.O.C. Street (Padappakurichi) , 2.Tirunelveli (C) Thimmarajapuram Ward 4 Kamarajar Street (Padappakurichi) , 3.Tirunelveli (C) Thimmarajapuram. Ward 4 Gandhi Street (Padappakurichi) , 999.Overseas Electors
Page 4 of 78",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,16,2.465331278890601
26,"Kosalram Primary School, Kakkannagar Thimmarajapuram.","1.Tirunelveli (C) Thimmarajapuram. Ward 5 Kakkan Nagar , 2.Tirunelveli (C) Thimmarajapuram. Ward 5 Kakkan Nagar 7Th Street , 3.Tirunelveli (C) Thimmarajapuram. Ward 5 Kakkan Nagar 6Th Street , 999.Overseas Electors",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,3,0.5226480836236934
27,"Community Hall, ,South Side, Santhi Nagar,","1.Tirunelveli (C) Thimmarajapuram. Ward 5 Police Colony I(Door no.1-L64), 999.Overseas Electors",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,14,3.482587064676617
43,"Panchayat Union Primary School, ,Western Portion, North Bypass Road, Vellakoil, Ward No. II.","1.Tirunelveli (C) Vellakovil Ward No. 10 Ambethkar Nagar, Arunthathiyar Street , 2.Tirunelveli (C) Vellakovil Ward No. 10 North Street. , , 3.Tirunelveli (C) Vellakovil Ward No.10 Elango Nagar, 4.Tirunelveli (C) Vellakovil Ward No .10 Utchimahali Amman Koil Street (Kuttathurai) ,, 999.Overseas Electors",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,6,0.7509386733416771
48,"T.D.T.A. Primary School,North Building Eastern Wing,H.M.Room, Shanthi nagar,","1.Tirunelveli (C)  Palayamkottai. Ward No.6 Santhi Nagar 1St Street(Seevalaperi Road), , 2.Tirunelveli (C) Palayamkottai Ward No. 6 Santhi Nagar 1St  Street, , 3.Tirunelveli (C) Palayamkottai Ward No. 6 Santhi Nagar 2Nd  Street, , 4.Tirunelveli (C) Palayamkottai Ward No. 6 Santhi Nagar 3Rd  Street, , 5.Tirunelveli (C) Palayamkottai Ward No. 6 Santhi Nagar 4Th  Street, , 6.Tirunelveli (C) Palayamkottai Ward No.6 Santhi Nagar 2Nd Main Road, , 999.Overseas Electors",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,1,0.2183406113537118
50,"T.D.T.A. Primary School, ,Northern Building, Western Portion Shanthinagar","1.Tirunelveli (C) Palayamkottai Ward No.6 Shanthi Nagar 13Th Street , 2.Tirunelveli (C) Palayamkottai Ward No.6 Shanthi Nagar 14Th St , 3.Tirunelveli
(C) Palayamkottai Ward No. 6 Shanthi Nagar 15Th  Street, , 4.Tirunelveli (C) Palayamkottai Ward No. 6 Shanthi Nagar 16Th Street , 5.Tirunelveli (C) Palayamkottai Ward No.6 Shanthi Nagar 17Th  Street. , 6.Tirunelveli (C) Palayamkottai Ward No.6 Shanthi Nagar 18Th Street , 7.Tirunelveli (C) Palayamkottai Ward No. 6 Shanthi Nagar 19Th Street , 8.Tirunelveli (C) Palayamkottai Ward No.6 Shanthi Nagar 20Th Street , 9.Tirunelveli (C) Palayamkottai Ward No. 6 Shanthi Nagar 21St Street , 999.Overseas Electors",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,24,3.927986906710311
51,"T.D.T.A. Primary School, Northern Building, Northern Portion Shanthinagar","1.Tirunelveli (C) Palayamkottai Ward No. 6 Shanthi Nagar 22Nd Street , 2.Tirunelveli (C) Palayamkottai Ward No. 6 Shanthi Nagar 23Rd Street , 3.Tirunelveli (C) Palayamkottai Ward No. 6 Shanthi Nagar 24Th Street , 999.Overseas Electors",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,2,0.3937007874015748
80,"TDTA Primary School, Western Building Christhu Koil Street. Samathanapuram","1.Tirunelveli (C) Palayamkottai Munaiyaduvar Nayanar Street, Ward No 9 , 2.Tirunelveli (C) Palayamkottai Seevalaperi Road, Ward No 8, 3.Tirunelveli (C) Palayamkottai Parathavar Street, Ward No 8, 4.Tirunelveli (C) Palayamkottai Gnana Ananthar Street, Ward No. 8 , 999.Overseas Electors
Page 18 of 78",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,9,1.610017889087657
82,"TDTA Primary School ,Additional Building Christhu Koil Street Samathanapuram","1.Tirunelveli (C) Palayamkottai Parichutha Aavi Street, Ward No 8 2.Tirunelveli
(C) Palayamkottai Thiruchendur Road, Ward No. 8 , 3.Tirunelveli (C) Palayamkottai Thalavai Amman Koil Street, Ward No 8 , 4.Tirunelveli (C) Palayamkottai Anthoniar Koil Street, Ward No 8 , 5.Tirunelveli (C) Palayamkottai Sevadi Street, Ward No 8 , 6.Tirunelveli (C) Palayamkottai Veeramamunivar Street, Ward No. 8 , 999.Overseas Electors",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,19,3.292894280762565
