Location and Name of Building in Which Polling Station Located,Total_Valid_Votes_In_Locality,Total_Independent_Votes_In_Locality,Independent_Vote_Share_%
"Layola Convent Primary School ,South Building Middle Portion, Palayamkottai",576,60,10.41666666666667
"Young Men Christrian Association Boys Hostel, Main Building, North Portion,Palayamkottai",509,39,7.662082514734774
"Layola Convent Primary School , Western block 4th Room, From west Side to East Palayamkottai",492,37,7.520325203252034
"Layola Convent Primary School , ,Western Wing 3rd Room, Palayamkottai",491,35,7.128309572301425
"T.D.T.A. Primary School, , South Building West Wing, Santhinagar.",561,39,6.951871657754011
"Arabic Madarasha Building ,Vava Pallivasal Compound Methamarpalayam, 3rd Street Melapalayam",701,41,5.848787446504993
"T.D.T.A. Primary School, Northern Building, Northern Portion Shanthinagar",508,25,4.921259842519685
"Young Men Christrian Association Boys Hostel, Main Building, East Portion, Palayamkottai",397,18,4.534005037783375
"Purachi Thalaivar M.G.R Memorial Primary School, North Portion Thiruvannathapuram",701,31,4.42225392296719
"Usborne Memorial Middle School ,New Building Northern Side, Langarkhana Street Palayamkottai",570,24,4.210526315789473
"Integrated Children Development Scheme, New building west portion, Padappakkurichi.",566,22,3.886925795053004
"Hindu Aided Primary School, ,Southern Portion, Padappakkurichi.",649,25,3.852080123266564
"Child Jesus Higher Secondary School , 11th D Class Room,Western Block Old Chruch Strreet, Palayamkottai",498,19,3.815261044176707
Panchayath Union Primary School New Building West Facing Rajagopalapuram,426,16,3.755868544600939
"Young Men Christrian Association Boys Hostel ,Main Building, West Portion, Palayamkottai",712,26,3.651685393258427
"T.D.T.A. Primary School,   North Building East Portion, South Facing, Santhinagar.",566,20,3.53356890459364
"Corporation Middle School, Manakavalam Pillai Hospital Road, SouthSide, Near Sanitary Inspector’s Office, Samathanapuram",683,24,3.513909224011713
"Magdalene Matric Hr.Sec.School, Main Building North facing G1 Room,Rahmath Nagar,",466,16,3.433476394849786
"TDTA Primary School, ,Eastren Block, Backside room, Christhu Koil Street. Samathanapuram",548,18,3.284671532846716
"Purachi Thalaivar M.G.R Memorial Primary School, South Portion Thiruvannathapuram",594,19,3.198653198653199
"Corporation Primary School, ,South Building, West Portion, Nethaji Road Kurichi, Melapalayam",688,22,3.197674418604652
"Panchayat Union Primary School ,East Portion, Venkateswarapuram Thimmarajapuram.",660,21,3.181818181818182
"Quide Millath Corporation Higher Secondary School Primary School  South Block,Eastern Portion Melapalayam",349,11,3.151862464183381
"St. Joseph High School, West Part Arockianathapuram",801,25,3.121098626716604
"Child Jesus Higher Secondary School South Block Building, Central Hall 6th C class Room, St. Mark Street, Palayamkottai",610,19,3.114754098360656
"Panchayat Union Primary School ,Vilagam",354,11,3.107344632768362
"TDTA Jeyaraj Annapackiam Matric Hr.Sec. School ,Main Building North Portion, Xth and XIth Class Room Tuckarammalpuram",419,13,3.102625298329356
"Rosemary Matriculation Higher Secondary School , West Portion 3rd Room, Tuticorin Road, V.M.Chatram.",647,20,3.091190108191654
"T.D.T.A. Primary School,North Building Eastern Wing,H.M.Room, Shanthi nagar,",458,14,3.056768558951965
"Child Jesus Higher Secondary School ,West Block New Building Southern Ground Floor 11th E Class Room, St. Mark Salai Palayamkottai",468,14,2.991452991452991
"Panchayat Union Primary School, North Part Building ,Northern Portion, V.M. Chatram",675,20,2.962962962962963
"Kosalram Primary School, Kakkannagar Thimmarajapuram.",574,17,2.961672473867596
"Amala Primary School North Part 3rd Room
N.G.O.B Colony, Jawahar Nagar Palayamkottai",376,11,2.925531914893617
"Tamilnadu Government Public Library Department, Book reading centre (New Building West) Branch Library Thimmarajapuram,",445,13,2.921348314606742
"Magdalene Matric Hr.Sec.School, Main Building North facing G6 Room,Rahmath Nagar",448,13,2.901785714285714
"Muslim Matharasa Primary School , South Building East Portion, Palayamkottur,",457,13,2.844638949671773
"Corporation Primary School, East Portion, Kurundudaiyarpuram.",669,19,2.840059790732437
"Manoranjitham Middle School, Western Block Western Side Ilangovadigal Street, Kokkirakulam",539,15,2.782931354359926
"Child Jesus Higher Secondary School, Southern Block Western Side 6th B Class Room, Old Church Street, Palayamkottai",575,16,2.782608695652174
"T.D.T.A Primary School, ,Northern hall, Westpotion , Pandidurai 2nd Street. Ward 1. Kulavanigarpuram",617,17,2.755267423014587
"Integrated Children Development Scheme Corporation Primary School, ,North Building, East Portion, A.R. Line, Palayamkottai",409,11,2.689486552567237
Integrated Child Development Centre Building No:89 Kulavanigarpuram,595,16,2.689075630252101
"St. Jospeh Girls Higher Secondary School XII Std ’A’Class Room south Building, N.G.O.A. Colony",567,15,2.645502645502646
"T.D.T.A Primary School, SouthPortion Eastern Hall, Pandithurai 2nd st Kulavanigarpuram",644,17,2.639751552795031
"Corporation Middle School, Manakavalam Pillai Hospital Road, North Building East Portion, Near Sanitary Inspector’s Office, Samathanapuram",645,17,2.635658914728682
"St Johns Higher Secondary School,Room No4 Main Block Southern Side, Palayamkottai",688,18,2.616279069767442
"Corporation Primary School ,New Building Southern Block west side room Westpart, Hameempuram Melapalayam",459,12,2.61437908496732
"Corporation New Middle School, North Building, West Portion, Salai Street, Vannarpettai",540,14,2.592592592592593
"T.D.T.A Primary School, Eastern Portion, Northern hall, Pandithurai2ndst Kulavanigarpuram",589,15,2.546689303904924
"Adi Diravidar Primary School, Northern Building Middle portion, Ambikapuram Melapalayam",708,18,2.542372881355933
Rahumania Higher Secondary School Middle Block 9th A Section Melapalayam,790,20,2.531645569620253
"St. Joseph Girls Hr. Sec. School ,Eastern Builidng, Western Side XI F Std Class Room ,
N.G.O.A. Colony, Palayamcottai",399,10,2.506265664160401
"Panchayat Union Middle School ,South Building, Western Portion Piranthankulam.",639,16,2.503912363067293
"Adi Dravidar Primary School, Old Building South west Part( Headmistress) Room, Ambikapuram Melapalayam",759,19,2.503293807641634
"The Muslim Girls Hr.Sec.School, North Building Last room, M L M Nagar,Melapalayam.",525,13,2.476190476190476
"South Mohideen Jamath Primary School, 4th Class room , New Building , Western Portion, South Mohideen Pallivasal Street, Melapalayam",486,12,2.469135802469136
Rahumania Higher Secondary School Middle Block 9th B Section Melapalayam,689,17,2.467343976777939
"T.D.T.A. Primary School, ,Northern Building, Western Portion Shanthinagar",611,15,2.454991816693944
"St. Joesph Matriculation School, Eastern Building Middle Portion Senthilnagar (Ward 11) Palayamkottai",741,18,2.42914979757085
"Corporation Middle School, Manakavalam Pillai Hospital Road, Western Side, Near Sanitary Inspector’s Office, Samathanapuram",453,11,2.428256070640177
"TDTA Primary School ,Additional Building Christhu Koil Street Samathanapuram",577,14,2.4263431542461
"Corporation Primary School , South Building, Eastern Porition, A.R. Line, Palayamkottai",621,15,2.415458937198068
"Panchayat Union Middle School ,New Building, Western Block, Northern Portion, Piranthankulam.",663,16,2.413273001508296
"Old Panchayat Office, New building, Unit Office",707,17,2.404526166902405
"Integrated Child Care Centre No 10 Near Ward Office, Thimmarajapuram, Keezhur",586,14,2.389078498293515
"C.M.S, Mary Arden School, Arden Hall, South Portion, Palayamkottai",630,15,2.380952380952381
"Panchayat Union Primary School, ,Western Portion, Melanatham",550,13,2.363636363636364
"Corporation primary school ,Western Side Room Side Block Karungulam",724,17,2.348066298342542
"Sarah Tucker Branch Elementray School , (Northern Building) Chinnakoil Street., Adaikalapuram",515,12,2.330097087378641
"Pushbalatha Matric Higher Secondary School, Northern Wing Eastern Portion Palayamkottai",645,15,2.325581395348837
"Corporation Vadkkupadai Primary School
,New Building, Southern Portion Eyarpagainayanar Street, Palayamkottai",696,16,2.298850574712644
"Stella Marys School, (National Creche Ministry of Women & Child Development), Kokkirakulam",619,14,2.261712439418416
"Tamilnadu Government Public Library Department, Branch Library Thimmarajapuram,",624,14,2.243589743589744
"Corporation Middle School, , R.C Shed, Northern Side, Perumal Sannathi Street, Palayamkottai",633,14,2.211690363349131
"Ganesapuram East Primary School,North Side, Melapalayamm",737,16,2.170963364993216
"Corporation Unit Office, ,(Thatchanallur Ward office) Meenatchipuram Tirunelveli Junction.",415,9,2.168674698795181
"Sri P.M.Sankara Subbiah Memorial I.T.I., Main Hall V.M.Chatram",659,14,2.12443095599393
"Panchayat Union Primary School, North Part Building,Southern Portion, V.M. Chatram",427,9,2.107728337236534
"TDTA Jeyaraj Annapackiam Matric Hr.Sec. School ,Main Building North Portion, Hall no. 10 Tuckarammalpuram",522,11,2.10727969348659
"Rahumania Higher Secondary School Eastern side middle block middle portion, Melapalayam",810,17,2.098765432098765
"Tirunelveli Corporation Anganvadi Centre No: 0429, Muppidathi Amman Kovil Street Thimmarajapuram",715,15,2.097902097902098
"Rosemary Matriculation Higher Secondary School,
South building middle portion, Tuticorin Road, V.M.Chatram.",719,15,2.086230876216968
"Rosemary Matriculation Higher Secondary School ,Pre .K.G. Section, Ram Nagar, Thiyagaraja Nagar.",578,12,2.076124567474048
"Sri Jeyandra Swaimigal Silver Jubilee Higher Secondary School, Hall No:5 Valli Mandram, Maharajanagar, Palayamkottai",292,6,2.054794520547945
"St. James Primary School, South Building middle portion, Karrupandurai",740,15,2.027027027027027
"Corporation Primary School, 3rd Std Class Room West Portion,Nethaji Road Kurichi, Melapalayam",699,14,2.002861230329041
"Usborne Memorial Middle School ,New Building Southern Side, Langarkhana Street Palayamkottai",601,12,1.996672212978369
"St. Jospeh Girls Higher Secondary School Campus St. Xavier Nursery and Primary School, New Building Ist Std Class Room,
N.G.O.A. Colony",401,8,1.99501246882793
"Muslim Higher Secondary School, ,North Block, Additional New Building, East Part West Portion, Nethaji Road, Kurichi, Melapalayam",706,14,1.98300283286119
"C.M.S. Mary Arden Middle School, ,Arden Hall ,Northern Side,Palayamkottai",656,13,1.981707317073171
"Magdalene Matric Hr.Sec.School, Main Building North facing G8 Room,Rahmath Nagar",562,11,1.95729537366548
"Quide Millath Corporation Higher Secondary School High School Block ,New Building, Ground Floor Northern Block East Hall, Melapalayam",769,15,1.950585175552666
"Cathedral Higher Secondary School, ,New Block, Bishop Jebaraj Block, Murugankurichi",774,15,1.937984496124031
"Corporation Primary School New Building
,South Portion, Western Part Room (west Part)Hameempuram Melapalayam",675,13,1.925925925925926
"Melapalayam Ward Office, Main Hall
,Melapalayam",833,16,1.920768307322929
"Panchayath Union Primary School, West Portion, Venkateswarapuram, Thimmarajapuram.",627,12,1.913875598086124
"St. Joseph Girls Hr. Sec. School, southern block western side east portion  N.G.O. A. Colony.",576,11,1.909722222222222
"The Muslim Girls Hr.Sec.School, South Building Last room, M L M Nagar,Melapalayam.",743,14,1.884253028263795
"Corporation Primary School, South to North, 11th Entrance, Perumalpuram",431,8,1.85614849187935
"Corporation New Middle School, South Building,East Portion, Salai Street, Vannarpettai.",501,9,1.796407185628742
"TDTA Primary School, Western Building Christhu Koil Street. Samathanapuram",559,10,1.788908765652952
"Corporation Middle School, Manakavalam Pillai Hospital Road, South Side Eastern Part, Near Sanitary Inspector’s Office, Samathanapuram",620,11,1.774193548387097
"Hindu Aided Middle School ,Main Building, South Portion, Sivapuram,Tirunelveli Junction.",620,11,1.774193548387097
"Ganesapuram West Primary School ,Noon Meal Centre, Ganesapuram South Street, Melapalayam",793,14,1.765447667087012
"Corporation Primary School , South to North, 8th Entrance, Perumalpuram",624,11,1.762820512820513
"Community Hall, North Portion, Santhi Nagar",512,9,1.7578125
"Quide Millath Corporation Higher Secondary School Highschool Block, New Building Northern Block, WestSide Room Melapalayam",740,13,1.756756756756757
"Adi Diravidar Primary School, (Old Building) ,Northbuilding, Northern Portion Ambikapuram Melapalayam",740,13,1.756756756756757
"St. Joseph Girls Hr. Sec. School , Western building, Western Side, N.G.O.A. Colony, Palayamcottai",458,8,1.746724890829694
"Community Hall, ,South Side, Santhi Nagar,",402,7,1.741293532338309
"Corporation primary school ,Southern Side Block Karungulam",693,12,1.731601731601732
Rahumania Higher Secondary School Middle Block 9th C Section Melapalayam,927,16,1.725997842502697
"Corporation Kartalil Inimai Primary School
,West Building, North Side, Pulianthoppu North Street, Melaveeraragavapuram.",698,12,1.71919770773639
"Corporation Middle School ,(Front Hall) Western Wing, Perumal Sannathi Street, Palayamkottai",645,11,1.705426356589147
"St Antonys Primary School, Main Building North Palayamkottai",647,11,1.70015455950541
"Corporation Middle School   ,Perumal Sannathi Street (Front Hall) Middle Portion,, Palayamkottai",531,9,1.694915254237288
"St. Antony’s Public School, 2nd Std Class Room, V.M.Chathram",358,6,1.675977653631285
"Rosemary Marticulation Higher Secondary School, Ist A Section, Tuticorin Road, V.M. Chatram Palayamkottai",784,13,1.658163265306122
"Ganesapuram West Primary School, , New Building, Northern Wing ,South Side, Ganesapuram South Street, Melapalayam .",729,12,1.646090534979424
"Magdalene Matric Hr.Sec.School, Main Building North facing G5 Room,Rahmath Nagar,",547,9,1.645338208409506
"C.M.S Mary Arden Middle School, Selvin Hall, Eyarpagainayanar Street Palayamkottai",491,8,1.629327902240326
"Panchayat Union Primary School, ,Western Portion, North Bypass Road, Vellakoil, Ward No. II.",799,13,1.6270337922403
"Corporation Middle School, Integrated Childrens Nutrition CentreNo 77, Perumal Sannathi Street, Palayamkottai",434,7,1.612903225806452
"Manivasagar Arulneri Middle School, North Building, East Portion, Puthu Pettai Middle Street, Palayamkottai",621,10,1.610305958132045
"Rosemary Matriculation Higher Secondary School, South side middle portion hall no. 17 Ram Nagar, Thiyagaraja Nagar.",626,10,1.597444089456869
"Sarah Tucker Girl’s Higher Secondary School, ,Howard Memorial Hall, Eastern Side, Last Room, Palayamkottai.",568,9,1.584507042253521
"M.D T Hindu College Hr.Sec.School, ,West Building, Northern Portion, Last Hall, Tirunelveli Junction",510,8,1.568627450980392
"Corporation Primary School , North Building, Middle portion, Hameempuram Melapalayam",447,7,1.565995525727069
"Hasanathuil Ulum Primaryschool,    North side,  Moolanahamedpillai Street Melapalayam",387,6,1.550387596899225
"Adi Diravidar Primary School, (Old Building) ,Northern Building, South Portion Ambikapuram Melapalayam",581,9,1.549053356282272
"Muslim Hr.sec. School, north block, east part, west portion, Kurichi, melapalayam",646,10,1.547987616099071
"Corporation primary school,  Southern Side West Building Karungulam",651,10,1.536098310291859
"Perarignar Anna Corporation Primary School, ,Western Block Ist Room, C.N.Village.",782,12,1.534526854219949
"Ganesapuram East Primary School,South Side, Melapalayam",587,9,1.533219761499148
"Corporation Primary School, South to North,9th Entrance, Perumalpuram",460,7,1.521739130434783
"Corporation Primary School , Eastern Wing Karungulam",658,10,1.519756838905775
"Corporation Primary School , South to North, 7th Entrance Perumalpuram",463,7,1.511879049676026
"Corporation Primary School ,South to North, 2nd Entrance, Perumalpuram",463,7,1.511879049676026
"Panchayat Union Middle School , New Building Western Block, South Portion, 1st Room Piranthankulam, Manakavalampillai Nagar.",603,9,1.492537313432836
"Integrated Children Development Scheme Centre , No 33 Corporation ward office Melapalayam",672,10,1.488095238095238
"M.D T. Hindu College Hr.Sec.School, ,West Building, South Portion, Last Hall, Tirunelveli. Juntion",610,9,1.475409836065574
"Hindu Aided Middle School, ,North Portion, Sivapuram, Tirunelveli Junction.",612,9,1.470588235294118
"St Johns Higher Secondary School ,Room No1 Main Block Northern Side, Palayamkottai",617,9,1.458670988654781
"Adi Diravidar Primary School, , Southern Building, East Part Ambikapuram Melapalayam",755,11,1.456953642384106
"Rosemary Marticulation Higher Secondary School, South Building East Portion, U.K.G B section Tuticorin Road, V.M. Chatram",687,10,1.455604075691412
"St. Thomas High School ,Central Portion, Eastern Building, Section 9th – A, Kulavanigarpuram Main Road, Kurichi.",760,11,1.447368421052632
"Rosemary Matriculation School, ,U.K.G, B Section, Ramnagar, Thiyagarajanagar",623,9,1.4446227929374
"Corporation New Middle school, East building North portion, Salai Street, Vannarpettai.",486,7,1.440329218106996
"St.Joseph Primary School, North Building, East portion  Near R.T.O Office, N.G.O.B Colony, Palayamkottai",490,7,1.428571428571429
"Corporation Primary School, South to North,13th Entrance, Perumalpuram",352,5,1.420454545454545
"Adi Dravidar Primary School, South New Building, North Portion South Street, Ambikapuram Melapalayam",775,11,1.419354838709677
"Manivasagar Arulneri Middle School, Southern Building. Eastern Side, South Room Puthu Pettai Middle Street, Palayamkottai",494,7,1.417004048582996
"Pushbalatha Matric Higher Secondary School,Eastern Wing Northern Portion Palayamkottai",641,9,1.40405616224649
"Corporation Old Primary School, ,Main Southern Hall. Salai Street, Vannarpettai",646,9,1.393188854489164
"Panchayat Union Primary School, Northern Portion, Melanatham",661,9,1.361573373676248
"Corporation Primary School ,Northern Wing, West Portion, A.R. Line Palayamkottai",442,6,1.357466063348416
"Corporation Middle School, ,(Front Hall) Eastern Wing, Perumal Sannathi Street,Palayamkottai",516,7,1.356589147286822
"Adi Dravidar Primary School, South New Building, South Portion Ambikapuram South Street Melapalayam",739,10,1.3531799729364
"St.Joesph Matriculation School ,Southern Portion Eastren Building ,Senthil Nagar(Ward 11)Palayamkottai",518,7,1.351351351351351
"St Johns Higher Secondary School, Room No6 Main Portion, South Side Palayamkottai",594,8,1.346801346801347
"Sarah Tucker Girl’s Higher Secondary School,North Building West Portion, I standard 'C' Section Palayamkottai.",446,6,1.345291479820628
"Corporation Middle School, ,R.C Terraced Portion in the back Side Southern Portion, Perumal Sannathi Street,Palayamkottai",447,6,1.342281879194631
"Integrated Children Development Centre No. 105,Corporation Primary School campus, Hameempuram, Melapalayam",822,11,1.338199513381995
