Location and Name of Building in Which Polling Station Located,Total_Booths_In_Locality,Dominant_Party,Dominant_Party_Booths_Won
"Adi Diravidar Primary School, (Old Building) ,Northbuilding, Northern Portion Ambikapuram Melapalayam",1,Dravida Munnetra Kazhagam,1
"Adi Diravidar Primary School, (Old Building) ,Northern Building, South Portion Ambikapuram Melapalayam",1,Dravida Munnetra Kazhagam,1
"Adi Diravidar Primary School, , Southern Building, East Part Ambikapuram Melapalayam",1,Dravida Munnetra Kazhagam,1
"Adi Diravidar Primary School, ,Newbuilding West Portion, East Part Ambikapuram Melapalayam",1,Dravida Munnetra Kazhagam,1
"Adi Diravidar Primary School, Northern Building Middle portion, Ambikapuram Melapalayam",1,Dravida Munnetra Kazhagam,1
"Adi Dravidar Primary School, Old Building South west Part( Headmistress) Room, Ambikapuram Melapalayam",1,Dravida Munnetra Kazhagam,1
"Adi Dravidar Primary School, South New Building, North Portion South Street, Ambikapuram Melapalayam",1,Dravida Munnetra Kazhagam,1
"Adi Dravidar Primary School, South New Building, South Portion Ambikapuram South Street Melapalayam",1,Dravida Munnetra Kazhagam,1
"Amala Primary School ,Southern Portion, Hostal, N.G.O.B Colony, Jawahar Nagar Palayamcottai",1,Dravida Munnetra Kazhagam,1
"Amala Primary School North Part 3rd Room
N.G.O.B Colony, Jawahar Nagar Palayamkottai",1,Dravida Munnetra Kazhagam,1
"Amala Primary School North part IInd Room
N.G.O.B Colony, Jawahar Nagar Palayamcottai",1,Tamilaga Vettri Kazhagam,1
"Amala Primary School, North Part, 1st Room
N.G.O.B Colony, Jawahar Nagar Palayamcottai",1,Tamilaga Vettri Kazhagam,1
"Arabic Madarasha Building ,Vava Pallivasal Compound Methamarpalayam, 3rd Street Melapalayam",1,Dravida Munnetra Kazhagam,1
"Azmath Primary and Nursery School,North Building East Facing, 112,NabiNagar , Melapalayam",1,Dravida Munnetra Kazhagam,1
"Azmath Primary and Nursery School,North Building West Facing, 112,NabiNagar , Melapalayam",1,Dravida Munnetra Kazhagam,1
"C.M.S Mary Arden Middle School, Selvin Hall, Eyarpagainayanar Street Palayamkottai",1,Tamilaga Vettri Kazhagam,1
"C.M.S, Mary Arden Milddle School, Western Portion Palayamkotai",1,Tamilaga Vettri Kazhagam,1
"C.M.S, Mary Arden School, Arden Hall, South Portion, Palayamkottai",1,Tamilaga Vettri Kazhagam,1
"C.M.S. Mary Arden Middle School ,Middle Room Western Side, Eyarpagainayanar Street Palayamkottai.",1,Tamilaga Vettri Kazhagam,1
"C.M.S. Mary Arden Middle School, ,Arden Hall ,Northern Side,Palayamkottai",1,Tamilaga Vettri Kazhagam,1
"Cathedral Higher Secondary School, ,New Block, Bishop Jebaraj Block, Murugankurichi",1,Tamilaga Vettri Kazhagam,1
"Child Jesus Higher Secondary School , 11th D Class Room,Western Block Old Chruch Strreet, Palayamkottai",1,Tamilaga Vettri Kazhagam,1
"Child Jesus Higher Secondary School ,West Block New Building Southern Ground Floor 11th E Class Room, St. Mark Salai Palayamkottai",1,Tamilaga Vettri Kazhagam,1
"Child Jesus Higher Secondary School South Block Building, Central Hall 6th C class Room, St. Mark Street, Palayamkottai",1,Tamilaga Vettri Kazhagam,1
"Child Jesus Higher Secondary School, Southern Block Western Side 6th B Class Room, Old Church Street, Palayamkottai",1,Tamilaga Vettri Kazhagam,1
"Community Hall, ,South Side, Santhi Nagar,",1,Tamilaga Vettri Kazhagam,1
"Community Hall, North Portion, Santhi Nagar",1,Tamilaga Vettri Kazhagam,1
"Corporation Azath Primary School,
,Southern Block FirstRoom Police Station Road Melapalayam",1,Dravida Munnetra Kazhagam,1
"Corporation Azath Primary School, ,Western Block IIrd Room Police Station Road Melapalayam",1,Dravida Munnetra Kazhagam,1
"Corporation Azath Primary School, Western Block, 3rd Room, Melapalayam",1,Dravida Munnetra Kazhagam,1
"Corporation Azath Primary School, Western Block, 4th Room, Melapalayam",1,Dravida Munnetra Kazhagam,1
"Corporation Community Hall ,Northern Wing Scavenger’s Colony Palayamkottai",1,Dravida Munnetra Kazhagam,1
"Corporation Community Hall ,Southern Wing Scavenger’s Colony Palayamkottai",1,Dravida Munnetra Kazhagam,1
"Corporation Girls Hr.sec.School, ,Main Building Western Side, Meenakshipuram,",1,Tamilaga Vettri Kazhagam,1
"Corporation Health Inspector Office,
,Southern Side of Water Tank, Saniyasigramam.",1,Tamilaga Vettri Kazhagam,1
"Corporation Kartalil Inimai Primary School
,West Building, North Side, Pulianthoppu North Street, Melaveeraragavapuram.",1,Tamilaga Vettri Kazhagam,1
"Corporation Kartalil Inimai Primary School,
,East Building, East Side, Pulianthoppu North Street, Melaveeraragavapuram",1,Tamilaga Vettri Kazhagam,1
"Corporation Middle School   ,Perumal Sannathi Street (Front Hall) Middle Portion,, Palayamkottai",1,Tamilaga Vettri Kazhagam,1
"Corporation Middle School ,(Front Hall) Western Wing, Perumal Sannathi Street, Palayamkottai",1,Tamilaga Vettri Kazhagam,1
"Corporation Middle School, , R.C Shed, Northern Side, Perumal Sannathi Street, Palayamkottai",1,Tamilaga Vettri Kazhagam,1
"Corporation Middle School, ,(Front Hall) Eastern Wing, Perumal Sannathi Street,Palayamkottai",1,Tamilaga Vettri Kazhagam,1
"Corporation Middle School, ,R.C Terraced Portion in the back Side Southern Portion, Perumal Sannathi Street,Palayamkottai",1,Tamilaga Vettri Kazhagam,1
"Corporation Middle School, Integrated Childrens Nutrition CentreNo 77, Perumal Sannathi Street, Palayamkottai",1,Tamilaga Vettri Kazhagam,1
"Corporation Middle School, Manakavalam Pillai Hospital Road, North Building East Portion, Near Sanitary Inspector’s Office, Samathanapuram",1,Tamilaga Vettri Kazhagam,1
"Corporation Middle School, Manakavalam Pillai Hospital Road, South Side Eastern Part, Near Sanitary Inspector’s Office, Samathanapuram",1,Tamilaga Vettri Kazhagam,1
"Corporation Middle School, Manakavalam Pillai Hospital Road, SouthSide, Near Sanitary Inspector’s Office, Samathanapuram",1,Tamilaga Vettri Kazhagam,1
"Corporation Middle School, Manakavalam Pillai Hospital Road, Western Side, Near Sanitary Inspector’s Office, Samathanapuram",1,Dravida Munnetra Kazhagam,1
"Corporation New Middle School, East Building,South Portion, Salai Street, Vannarpettai.",1,Tamilaga Vettri Kazhagam,1
"Corporation New Middle School, New South Building,East Portion, Salai Street, Vannarpettai.",1,Tamilaga Vettri Kazhagam,1
"Corporation New Middle School, North Building, East Portion, Salai Street, Vannarpettai",1,Tamilaga Vettri Kazhagam,1
"Corporation New Middle School, North Building, West Portion, Salai Street, Vannarpettai",1,Tamilaga Vettri Kazhagam,1
"Corporation New Middle School, South Building,East Portion, Salai Street, Vannarpettai.",1,Tamilaga Vettri Kazhagam,1
"Corporation New Middle school, East building North portion, Salai Street, Vannarpettai.",1,Tamilaga Vettri Kazhagam,1
"Corporation Old Primary School, ,Main Southern Hall. Salai Street, Vannarpettai",1,Tamilaga Vettri Kazhagam,1
"Corporation Old Primary School, Main Northern Hall, Salai Street, Vannarpettai",1,Tamilaga Vettri Kazhagam,1
"Corporation Primary School , Eastern Wing Karungulam",1,Tamilaga Vettri Kazhagam,1
"Corporation Primary School , North Building, Middle portion, Hameempuram Melapalayam",1,Dravida Munnetra Kazhagam,1
"Corporation Primary School , Northern Portion 10th Entrance, Perumalpuram",1,Dravida Munnetra Kazhagam,1
"Corporation Primary School , South Building, Eastern Porition, A.R. Line, Palayamkottai",1,Tamilaga Vettri Kazhagam,1
"Corporation Primary School , South to North, 6th Entrance Eastern Portion, Perumalpuram",1,Tamilaga Vettri Kazhagam,1
"Corporation Primary School , South to North, 6th Entrance Western Portion, Perumalpuram",1,Tamilaga Vettri Kazhagam,1
"Corporation Primary School , South to North, 7th Entrance Perumalpuram",1,Tamilaga Vettri Kazhagam,1
"Corporation Primary School , South to North, 8th Entrance, Perumalpuram",1,Dravida Munnetra Kazhagam,1
"Corporation Primary School ,New Building Southern Block west side room Westpart, Hameempuram Melapalayam",1,Dravida Munnetra Kazhagam,1
"Corporation Primary School ,Northern Wing, West Portion, A.R. Line Palayamkottai",1,Tamilaga Vettri Kazhagam,1
"Corporation Primary School ,South to North, 12th Entrance, Perumalpuram",1,Dravida Munnetra Kazhagam,1
"Corporation Primary School ,South to North, 2nd Entrance, Perumalpuram",1,Dravida Munnetra Kazhagam,1
"Corporation Primary School ,South to North, 4th Entrance, Perumalpuram",1,Tamilaga Vettri Kazhagam,1
"Corporation Primary School ,South to North, 5th Entrance, Perumalpuram",1,Dravida Munnetra Kazhagam,1
"Corporation Primary School New Building
,South Portion, Western Part Room (west Part)Hameempuram Melapalayam",1,Dravida Munnetra Kazhagam,1
"Corporation Primary School, ,New Building Southern Block East Side. Hameempuram Melapalayam",1,Dravida Munnetra Kazhagam,1
"Corporation Primary School, ,North Building, East Portion, A.R. Line, Palayamkottai",1,Tamilaga Vettri Kazhagam,1
"Corporation Primary School, ,North Bulding West Portion Nethaji Road Kurichi, Melapalayam",1,Tamilaga Vettri Kazhagam,1
"Corporation Primary School, ,North Portion 1st Room, Kailasapuram.",1,Tamilaga Vettri Kazhagam,1
"Corporation Primary School, ,South Building, West Portion, Nethaji Road Kurichi, Melapalayam",1,Tamilaga Vettri Kazhagam,1
"Corporation Primary School, ,Westblock, South Building West Portion Nethaji Road Kurichi, Melapalayam",1,Tamilaga Vettri Kazhagam,1
"Corporation Primary School, 3rd Std Class Room West Portion,Nethaji Road Kurichi, Melapalayam",1,Tamilaga Vettri Kazhagam,1
"Corporation Primary School, East Portion, Kurundudaiyarpuram.",1,Tamilaga Vettri Kazhagam,1
"Corporation Primary School, South to North, 11th Entrance, Perumalpuram",1,Tamilaga Vettri Kazhagam,1
"Corporation Primary School, South to North,13th Entrance, Perumalpuram",1,Tamilaga Vettri Kazhagam,1
"Corporation Primary School, South to North,9th Entrance, Perumalpuram",1,Tamilaga Vettri Kazhagam,1
"Corporation Primary School, West Portion, Kurundudaiyarpuram.",1,Tamilaga Vettri Kazhagam,1
"Corporation Unit Office, ,(Thatchanallur Ward office) Meenatchipuram Tirunelveli Junction.",1,Tamilaga Vettri Kazhagam,1
"Corporation Vadakkupadai Integrated Children Development Scheme Balar School
,Western Portion, Eyarpagainayanar Street, Palayamkottai",1,Tamilaga Vettri Kazhagam,1
"Corporation Vadakkupadai Integrated Children Development Scheme Balar School, North Building East Portion, Eyarpagainayanar Street, Palayamkottai",1,Tamilaga Vettri Kazhagam,1
"Corporation Vadakkupadai Primary School, Main Hall, Eyarpagainayanar Street, Palayamkottai.",1,Tamilaga Vettri Kazhagam,1
"Corporation Vaddakkupadai Intergrated Children Development Scheme Balar School, Easten Portion, Eyarpagainayanar Street, Palayamkottai",1,Tamilaga Vettri Kazhagam,1
"Corporation Vadkkupadai Primary School
,New Building, Southern Portion Eyarpagainayanar Street, Palayamkottai",1,Tamilaga Vettri Kazhagam,1
"Corporation Vadkkupadai Primary School , New Building, Northern Portion Eyarpagainayanar Street, Palayamkottai",1,Tamilaga Vettri Kazhagam,1
"Corporation primary school ,Southern Side Block Karungulam",1,Tamilaga Vettri Kazhagam,1
"Corporation primary school ,Western Side Room Side Block Karungulam",1,Tamilaga Vettri Kazhagam,1
"Corporation primary school,  Southern Side West Building Karungulam",1,Dravida Munnetra Kazhagam,1
"Flowrence sweinson Deaf and Dum High School ,Auditorium Hall North Portion Eastern Side, Thiruvanandapuram Road, Kulavanigarpuram,",1,Dravida Munnetra Kazhagam,1
"Flowrence sweinson Deaf and Dum High School ,Auditorium Hall North Portion Western Side, Thiruvanandapuram Road, Kulavanigarpuram,",1,Dravida Munnetra Kazhagam,1
"Flowrence sweinson Deaf and Dum High School, South building middle portion, Thiruvanandapuram Road, Kulavanigarpuram,",1,Dravida Munnetra Kazhagam,1
"Francis Xavier School (CBSE), west Building, Ground floor, Middle Portion, Barani Nagar
,Vannarpettai, Ward No.10.",1,Tamilaga Vettri Kazhagam,1
"Ganesapuram East Primary School,North Side, Melapalayamm",1,Dravida Munnetra Kazhagam,1
"Ganesapuram East Primary School,South Side, Melapalayam",1,Dravida Munnetra Kazhagam,1
"Ganesapuram West Primary School , New Building, Southern Portion, South Part Ganesapuram South Street, Melapalayam .",1,Dravida Munnetra Kazhagam,1
"Ganesapuram West Primary School ,Noon Meal Centre, Ganesapuram South Street, Melapalayam",1,Dravida Munnetra Kazhagam,1
"Ganesapuram West Primary School, , New Building, Northern Wing ,South Side, Ganesapuram South Street, Melapalayam .",1,Dravida Munnetra Kazhagam,1
"Ganesapuram West Primary School, , Southern Tiled Old Building Eastern side, Ganesapuram South Street, Melapalayam",1,Dravida Munnetra Kazhagam,1
"Ganesapuram West Primary School, , Southern Tiled Old Building Western side, Ganesapuram South Street, Melapalayam",1,Dravida Munnetra Kazhagam,1
"Ganesapuram West Primary School, ,New Building, Northern Wing , Ganesapuram South Street, Melapalayam",1,Dravida Munnetra Kazhagam,1
"Hameem Middle School, Western Block, Easternportion , Periakothuva Pallivasal South East St, Melapalayam",1,Dravida Munnetra Kazhagam,1
"Hameem Middle School,South Portion, South Side, Periakothuva Pallivasal South East St, Melapalayam",1,Dravida Munnetra Kazhagam,1
"Hasanathuil Ulum Primaryschool,    North side,  Moolanahamedpillai Street Melapalayam",1,Dravida Munnetra Kazhagam,1
"Hasanathuil Ulum Primaryschool, ,Southern Portion Ground Floor, Moolanahamedpillai Street Melapalayam",1,Dravida Munnetra Kazhagam,1
"Hindu Aided Middle School ,Main Building, South Portion, Sivapuram,Tirunelveli Junction.",1,Tamilaga Vettri Kazhagam,1
"Hindu Aided Middle School, ,North Portion, Sivapuram, Tirunelveli Junction.",1,Tamilaga Vettri Kazhagam,1
"Hindu Aided Primary School, ,Southern Portion, Padappakkurichi.",1,Tamilaga Vettri Kazhagam,1
"Integrated Child Care Centre No 10 Near Ward Office, Thimmarajapuram, Keezhur",1,Tamilaga Vettri Kazhagam,1
Integrated Child Development Centre Building No:89 Kulavanigarpuram,1,Tamilaga Vettri Kazhagam,1
"Integrated Child Development Centre, Corporation Primary School Campus
,Nethaji Road, Kurichi, Melapalayam",1,Tamilaga Vettri Kazhagam,1
"Integrated Children Development Centre No. 105, 2nd Entrance, Corporation Primary School campus, Hameempuram, Melapalayam",1,Dravida Munnetra Kazhagam,1
"Integrated Children Development Centre No. 105,Corporation Primary School campus, Hameempuram, Melapalayam",1,Dravida Munnetra Kazhagam,1
"Integrated Children Development Scheme Centre , No 33 Corporation ward office Melapalayam",1,Tamilaga Vettri Kazhagam,1
"Integrated Children Development Scheme Centre No: 43 ,karuppanthurai (near Water Tank) Karrupandurai",1,Tamilaga Vettri Kazhagam,1
"Integrated Children Development Scheme Corporation Primary School, ,North Building, East Portion, A.R. Line, Palayamkottai",1,Tamilaga Vettri Kazhagam,1
"Integrated Children Development Scheme, Centre No.98 ,Melapalayam Ward Office campus, Melapalayam",1,Dravida Munnetra Kazhagam,1
"Integrated Children Development Scheme, New building west portion, Padappakkurichi.",1,Tamilaga Vettri Kazhagam,1
"Kosalram Primary School, Kakkannagar Thimmarajapuram.",1,Dravida Munnetra Kazhagam,1
"Layola Convent Primary School , ,Western Wing 3rd Room, Palayamkottai",1,Tamilaga Vettri Kazhagam,1
"Layola Convent Primary School , Western block 4th Room, From west Side to East Palayamkottai",1,Tamilaga Vettri Kazhagam,1
"Layola Convent Primary School ,South Building Middle Portion, Palayamkottai",1,Tamilaga Vettri Kazhagam,1
"M.D T Hindu College Hr.Sec.School, ,West Building, Northern Portion, Last Hall, Tirunelveli Junction",1,Tamilaga Vettri Kazhagam,1
"M.D T. Hindu College Hr.Sec.School, ,West Building, South Portion, Last Hall, Tirunelveli. Juntion",1,Tamilaga Vettri Kazhagam,1
"M.D.T Hindu College Hr. Sec.School, West Building, 4th Room From North, Tirunelveli Junction.",1,Tamilaga Vettri Kazhagam,1
"M.D.T Hindu College Hr. Sec.School, West Building, 5th Room From North, Tirunelveli Junction",1,Tamilaga Vettri Kazhagam,1
"M.D.T Hindu College Hr. Sec.School, West Building,2nd Room From North, Tirunelveli Junction",1,Tamilaga Vettri Kazhagam,1
"M.D.T.Hindu College Hr.Sec.School, ,Eastern Building, Northern Last Room Tirunelveli.
Junction",1,Tamilaga Vettri Kazhagam,1
"M.D.T.Hindu College Hr.Sec.School, West Building 3rd Room From North Tirunelveli. Junction",1,Tamilaga Vettri Kazhagam,1
"Magdalene Matric Hr.Sec.School, Main Building North facing G1 Room,Rahmath Nagar,",1,Dravida Munnetra Kazhagam,1
"Magdalene Matric Hr.Sec.School, Main Building North facing G3 Room,Rahmath Nagar,",1,Dravida Munnetra Kazhagam,1
"Magdalene Matric Hr.Sec.School, Main Building North facing G5 Room,Rahmath Nagar,",1,Dravida Munnetra Kazhagam,1
"Magdalene Matric Hr.Sec.School, Main Building North facing G6 Room,Rahmath Nagar",1,Dravida Munnetra Kazhagam,1
"Magdalene Matric Hr.Sec.School, Main Building North facing G8 Room,Rahmath Nagar",1,Dravida Munnetra Kazhagam,1
"Manivasagar Arulneri Middle School , South Room, Western Side, Pudupettai Middle Street Palayamkottai",1,Tamilaga Vettri Kazhagam,1
"Manivasagar Arulneri Middle School, North Building, East Portion, Puthu Pettai Middle Street, Palayamkottai",1,Dravida Munnetra Kazhagam,1
"Manivasagar Arulneri Middle School, Southern Building. Eastern Side, South Room Puthu Pettai Middle Street, Palayamkottai",1,Dravida Munnetra Kazhagam,1
"Manoranjitham Middle School, Northern Block Eastern Side Ilangovadigal Street, Kokkirakulam",1,Tamilaga Vettri Kazhagam,1
"Manoranjitham Middle School, Western Block Western Side Ilangovadigal Street, Kokkirakulam",1,Tamilaga Vettri Kazhagam,1
"Matharasa Ishlamiya Primary School, ,Main Building, North Block, Kailasapuram.",1,Dravida Munnetra Kazhagam,1
"Melapalayam Ward Office, Main Hall
,Melapalayam",1,Dravida Munnetra Kazhagam,1
"Muslim Higher Sec. School , Southern Block, Central Portion, Western Wing ,Room No, 3, Nethaji Road,Kurichi Melapalayam",1,Dravida Munnetra Kazhagam,1
"Muslim Higher Secondary School, ,North Block, Additional New Building, East Part West Portion, Nethaji Road, Kurichi, Melapalayam",1,Tamilaga Vettri Kazhagam,1
"Muslim Higher Secondary School, ,North Block, Additional New Building, West Part West Portion, Nethaji Road, Kurichi, Melapalayam",1,Tamilaga Vettri Kazhagam,1
"Muslim Higher Secondary School, North Block Additional New Building, West Part West Portion 1st Room Nethaji Road, Kurichi.",1,Tamilaga Vettri Kazhagam,1
"Muslim Higher Secondary School, North Block Additional New Building, West Part West Portion 2nd Room Nethaji Road, Kurichi.",1,Tamilaga Vettri Kazhagam,1
"Muslim Hr.sec. School ,South Block East Part Room No: 5,Nethaji Road Kurichi Melapalayam",1,Dravida Munnetra Kazhagam,1
"Muslim Hr.sec. School South Block Room No
: 5, melapalayam",1,Dravida Munnetra Kazhagam,1
"Muslim Hr.sec. School, north block, east part, west portion, Kurichi, melapalayam",1,Dravida Munnetra Kazhagam,1
"Muslim Matharasa Primary School , South Building East Portion, Palayamkottur,",1,Tamilaga Vettri Kazhagam,1
"Muslim Matharasa Primary School , West Side, Palayamkottur,",1,Dravida Munnetra Kazhagam,1
"Nehru Primary School, ,North Side, Baseerappa North St Melapalayam",1,Dravida Munnetra Kazhagam,1
"Nehru Primary School, ,South Side
,Baseerappa North St Melapalayam",1,Dravida Munnetra Kazhagam,1
"Nehru Primary School, Western Portion Basheerappa North street Melapalayam",1,Dravida Munnetra Kazhagam,1
"Nellaiappar Anbu Asiramam Primary School
, Dining Hall,Maharaja Nagar",1,Dravida Munnetra Kazhagam,1
"Old Panchayat Office, New building, Unit Office",1,Tamilaga Vettri Kazhagam,1
"Panchayat Union Middle School , New Building Western Block, South Portion, 1st Room Piranthankulam, Manakavalampillai Nagar.",1,Tamilaga Vettri Kazhagam,1
"Panchayat Union Middle School , New Building Western Block, South Portion, IInd Room Piranthankulam, Manakavalampillai Nagar.",1,Tamilaga Vettri Kazhagam,1
"Panchayat Union Middle School ,New Building, Western Block, Northern Portion, Piranthankulam.",1,Tamilaga Vettri Kazhagam,1
"Panchayat Union Middle School ,South Building, Western Portion Piranthankulam.",1,Tamilaga Vettri Kazhagam,1
"Panchayat Union Primary School ,East Portion, Venkateswarapuram Thimmarajapuram.",1,Tamilaga Vettri Kazhagam,1
"Panchayat Union Primary School ,Eastern Portion,Vellakoil, Ward No. I",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Primary School ,Vilagam",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Primary School, ,Western Portion, Melanatham",1,Tamilaga Vettri Kazhagam,1
"Panchayat Union Primary School, ,Western Portion, North Bypass Road, Vellakoil, Ward No. II.",1,Dravida Munnetra Kazhagam,1
"Panchayat Union Primary School, New Building Western Portion V.M.Chathram",1,Tamilaga Vettri Kazhagam,1
"Panchayat Union Primary School, New Building Western Portion West side V.M.Chathram",1,Tamilaga Vettri Kazhagam,1
"Panchayat Union Primary School, North Part Building ,Northern Portion, V.M. Chatram",1,Tamilaga Vettri Kazhagam,1
"Panchayat Union Primary School, North Part Building,Southern Portion, V.M. Chatram",1,Tamilaga Vettri Kazhagam,1
"Panchayat Union Primary School, Northern Portion, Melanatham",1,Tamilaga Vettri Kazhagam,1
Panchayath Union Primary School New Building West Facing Rajagopalapuram,1,Tamilaga Vettri Kazhagam,1
"Panchayath Union Primary School, West Portion, Venkateswarapuram, Thimmarajapuram.",1,Tamilaga Vettri Kazhagam,1
"Perarignar Anna Corporation Primary School
, ,Eastern Block 1st Room, C.N.Village.",1,Tamilaga Vettri Kazhagam,1
"Perarignar Anna Corporation Primary School, ,Western Block Ist Room, C.N.Village.",1,Tamilaga Vettri Kazhagam,1
"Perarignar Anna Corporation Primary School, Eastern Block, IIIrd Room, C.N. Village.",1,Tamilaga Vettri Kazhagam,1
"Perarignar Anna Corporation Primary School, Western Block, 2nd Room, C.N. Village.",1,Tamilaga Vettri Kazhagam,1
"Periya Kothuba PalliVasal Women Arabic Matharasa, Periya Kothuba Pallivasal Middle portion North West Street, Melapalayam",1,Dravida Munnetra Kazhagam,1
