Serial No. Of Polling Station,Location and Name of Building in Which Polling Station Located,Polling Areas,Winner_Party,Margin_Percentage
45,"Muslim Matharasa Primary School , West Side, Palayamkottur,","1.Tirunelveli (C) Palayamkottur, Ward No.8 Palayamkottur Muslim  Street, , 999.Overseas Electors",Dravida Munnetra Kazhagam,58.49889624724062
209,"St. Thomas High School ,Central Portion, Eastern Building, Section 9th – A, Kulavanigarpuram Main Road, Kurichi.","1.Tirunelveli (C) Melapalayam Ward No 44 Seigul Akbar Street -I(Door no.1-152a), 999.Overseas Electors",Dravida Munnetra Kazhagam,71.71052631578947
210,"St. Thomas High School ,Central Block, Eastern Portion, section XA Kulavanigarpuram Main Road, Kurichi.","3.Tirunelveli (C) Melapalayam Ward No 45  Andaver 3Rd Street, , 4.Tirunelveli
(C) Melapalayam Ward No 45  Kokattikualm Road, , 5.Tirunelveli (C) Melapalayam Ward No. 45  Kalvath Nayagam Street, , 6.Tirunelveli (C) Melapalayam Ward No 45  Abulkalam Asath Street , 7.Tirunelveli (C) Melapalayam Ward No 45  Hospital Road, , 999.Overseas Electors",Dravida Munnetra Kazhagam,39.09395973154363
211,"St. Thomas High School ,Central Portion, middle building hall no. 4 Kulavanigarpuram Main Road, Kurichi.","1.Tirunelveli (C) Melapalayam Ward No 45 Andavar 1St Street, 2.Tirunelveli (C) Melapalayam Ward No 45  Andaver 2Nd Street,3.Tirunelveli (C) Melapalayam Ward No 44 Seigul Akbar Street -II(Door no.163-316),999.Overseas Electors",Dravida Munnetra Kazhagam,31.56996587030716
217,"Sri Ganesamoorthy Middle School,Southern Building , 8th Std Class Room, Maruthupandiar 3rd Street Kurichi, Melapalayam","1.Tirunelveli (C) Kurichi Ward No 45 Jamaliya  Thaikka Street, , 999.Overseas Electors",Dravida Munnetra Kazhagam,79.25233644859813
218,"Sri Ganesamoorthy Middle School, ,Southern Building , 1st Room, Maruthupandiar 3rd Street Kurichi, Melapalayam","1.Tirunelveli (C) Kurichi Ward No 45 Mothai Meera Pillai Street , 999.Overseas Electors",Dravida Munnetra Kazhagam,80.11126564673157
220,"Muslim Hr.sec. School, north block, east part, west portion, Kurichi, melapalayam","1.Tirunelveli (C) Kurichi Ward No 43 Veeramanickapuram 3Rd Street,2.Tirunelveli (C) Melapalayam Ward No 44 Vellaikaliba Sahib Street-II(Door no.157-210), 3.Tirunelveli (C) Melapalayam Ward No 44 Quai De Milleth Street-II(Door no.139-488B1), 4.Tirunelveli (C) Kurichi Ward No 43 Kumara Veedhi ,  999.Overseas Electors",Dravida Munnetra Kazhagam,39.1640866873065
224,"Nehru Primary School, Western Portion Basheerappa North street Melapalayam","1.Tirunelveli (C) Melapalayam Ward No 46 Samayina Kadhar Methin Moopan Street, , 2.Tirunelveli (C) Melapalayam Ward No 46 Samayina Sheik Mohamed Moopan Street, , 999.Overseas Electors",Dravida Munnetra Kazhagam,76.92307692307693
225,"The Muslim Girls Hr.Sec.School, North Building 2nd room, M L M Nagar,Melapalayam.","1.Tirunelveli (C) Melapalayam Ward No 46 Hasarath Bilal Street, , 2.Tirunelveli
(C) Melapalayam Ward No 46 Amman Koil Lane, , 3.Tirunelveli (C) Melapalayam Ward No 46 North Amman Koil  Street, , 999.Overseas Electors",Dravida Munnetra Kazhagam,64.56908344733242
226,"Quide Millath Corporation Higher Secondary School High School Block ,New Building, Ground Floor Northern Block East Hall, Melapalayam","1.Tirunelveli (C) Melapalayam Ward No 45 Umaru Pulavar Street, , 2.Tirunelveli
(C) Melapalayam Ward No 45 School Street , 999.Overseas Electors",Dravida Munnetra Kazhagam,75.55266579973993
227,"Quide Millath Corporation Higher Secondary School Highschool Block, New Building Northern Block, WestSide Room Melapalayam","1.Tirunelveli (C) Melapalayam Ward 45 Aala Pillai Street, 2.Tirunelveli (C) Melapalayam Ward No 46 Khaja Nayagam Street-II(Door no.171-207) , 999.Overseas Electors",Dravida Munnetra Kazhagam,78.64864864864865
228,"Quide Millath Corporation Higher Secondary School, Primary School Block 3rd Std Class Room West Portion, Melapalayam","1.Tirunelveli (C) Melapalayam Ward 45 Selva Kadhar Steet, , 999.Overseas Electors",Dravida Munnetra Kazhagam,72.49190938511327
229,"Quide Millath Corporation Higher Secondary School, Southern Building, (Primary Section) Melapalayam","1.Tirunelveli (C) Melapalayam Ward No 46 Mylakkhader Street , 999.Overseas Electors",Dravida Munnetra Kazhagam,77.734375
230,"Quide Millath Corporation Higher Secondary School High School Block , Eastern Building, Eastern Portion Melapalayam","1.Tirunelveli (C) Melapalayam Ward No 46 Khaja Nayagam Street-I (Door no.1-170), 999.Overseas Electors",Dravida Munnetra Kazhagam,77.71428571428571
236,"Arabic Madarasha Building ,Vava Pallivasal Compound Methamarpalayam, 3rd Street Melapalayam","1.Tirunelveli (C) Melapalayam Ward No 45 Methamar Palayam 1St Street, , 2.Tirunelveli (C) Melapalayam Ward No 45 Methamar Palayam 2Nd Street, , 3.Tirunelveli (C) Melapalayam Ward No 45 Methamar Palayam 3Rdstreet, , 4.Tirunelveli (C) Melapalayam Ward No 45 Abulkalam Asath Road , 999.Overseas Electors
Page 69 of 78",Dravida Munnetra Kazhagam,55.7774607703281
238,"Nehru Primary School, ,North Side, Baseerappa North St Melapalayam","1.Tirunelveli (C) Melapalayam Ward No 47 Pooli Puthu Street, , 2.Tirunelveli (C) Melapalayam Ward No 47 Mohideen Andavar Street , 3.Tirunelveli (C) Melapalayam Ward No 47 Anna Veedhi, 999.Overseas Electors",Dravida Munnetra Kazhagam,69.02927580893683
239,"Nehru Primary School, ,South Side
,Baseerappa North St Melapalayam","1.Tirunelveli (C) Melapalayam Ward No 47 Baseerappa Street, , 999.Overseas Electors",Dravida Munnetra Kazhagam,77.81954887218046
