Serial No. Of Polling Station,Location and Name of Building in Which Polling Station Located,Polling Areas,Winner_Party,Margin_Percentage
21,"Purachi Thalaivar M.G.R Memorial Primary School, North Portion Thiruvannathapuram","1.Tirunelveli (C) Thiruvannathapuram. Ward 4 Mariamman Kovil Street , 2.Tirunelveli (C) Thiruvannathapuram Ward 4 Perumal Kovil Street , 3.Tirunelveli (C) Thiruvannathapuram Ward 4 Gayathiri Amman Kovil Street , 999.Overseas Electors",Tamilaga Vettri Kazhagam,8.98716119828816
51,"T.D.T.A. Primary School, Northern Building, Northern Portion Shanthinagar","1.Tirunelveli (C) Palayamkottai Ward No. 6 Shanthi Nagar 22Nd Street , 2.Tirunelveli (C) Palayamkottai Ward No. 6 Shanthi Nagar 23Rd Street , 3.Tirunelveli (C) Palayamkottai Ward No. 6 Shanthi Nagar 24Th Street , 999.Overseas Electors",Dravida Munnetra Kazhagam,0.3937007874015748
52,"T.D.T.A. Primary School, , South Building West Wing, Santhinagar.","1.Tirunelveli (C) Palayamkottai Ward No.6 Shanthi Nagar 28Th Street , 2.Tirunelveli (C) Palayamkottai Ward No. 6 Shanthinagar 29Th Street , 3.Tirunelveli (C) Palayamkottai Ward No.6 Shanthinagar 30Th Street , 999.Overseas Electors",Dravida Munnetra Kazhagam,14.08199643493761
64,"Young Men Christrian Association Boys Hostel, Main Building, North Portion,Palayamkottai","1.Tirunelveli (C) Palayamkottai Ambethkar Colony-I (Door no.1-67)Ward No 16
, 999.Overseas Electors",Tamilaga Vettri Kazhagam,30.05893909626719
65,"Young Men Christrian Association Boys Hostel, Main Building, East Portion, Palayamkottai","1.Tirunelveli (C) Palayamkottai Ambethkar Colony-II(Door no.68-661) Ward No 6 , 999.Overseas Electors",Tamilaga Vettri Kazhagam,52.14105793450882
93,"Usborne Memorial Middle School ,New Building Northern Side, Langarkhana Street Palayamkottai","1.Tirunelveli (C) Palayamkottai Thirupugal Street, W.No 33 , 2.Tirunelveli (C) Palayamkottai Thirumandira Street, W.No 33 , 3.Tirunelveli (C) Palayamkottai Thiruarutpayan Street, W.No 33 , 4.Tirunelveli (C) Palayamkottai Perasiriyar Street, W.No 33 , 5.Tirunelveli (C) Palayamkottai Langarkana Street, W.No 33 , 6.Tirunelveli (C) Palayamkottai. Pirasanna Vinayagar Koil Street, W.No 35 , 7.Tirunelveli (C) Palayamkottai Police Station Street, W.No 35 , 8.Tirunelveli (C) Palayamkottai Ramasamy Koil Agragaram, 9.Tirunelveli (C) Palayamkottai Sixth Street (Konar Pettai Lane) , W.No 34 , W.No 35 , 10.Tirunelveli (C) Palayamkottai Karunyan Street, W.No 33 , 11.Tirunelveli (C) Palayamkottai Theiva Street,  W.No 9 ,999.Overseas Electors",Tamilaga Vettri Kazhagam,15.78947368421053
105,"Layola Convent Primary School , Western block 4th Room, From west Side to East Palayamkottai","1.Tirunelveli (C) Palayamkottai Guruparamparai Street, W.No ,35. 2.Tirunelveli
(C) Palayamkottai Kulasekara Alwar St. 35 , 3.Tirunelveli (C) Palayamkottai Yadavar West Street, W.No 35 , 4.Tirunelveli (C) Palayamkottai Sundaramoorthy Nayanar Street, W.No 35 , 5.Tirunelveli (C) Palayamkottai Periyalwar Street, W.No 35 , 5.Tirunelveli (C) Palayamkottai Uchimahali Sannathi Street, W.No 35
,999.Overseas Electors",Tamilaga Vettri Kazhagam,18.08943089430894
106,"Layola Convent Primary School , ,Western Wing 3rd Room, Palayamkottai","1.Tirunelveli (C) Palayamkottai Punithavathiyar Street, W.No 35 , 2.Tirunelveli (C Palayamkottai Mutharamman Koil Street, W.No 35 , 3.Tirunelveli Palayamkottai Andal Street, W.No 35 , 4.Tirunelveli (C) Palayamkottai Thiruvananthapuram Road, W.No 32 , 5.Tirunelveli (C) Palayamkottai Sarvagnana Street, W.No 35 999.Overseas Electors",Tamilaga Vettri Kazhagam,3.869653767820774
107,"Layola Convent Primary School ,South Building Middle Portion, Palayamkottai","1.Tirunelveli (C) Palayamkottai Post Office Street W.No 35 , 2.Tirunelveli (C) Palayamkottai Jamiya Pallivasal Street, W.No 35 , 3.Tirunelveli (C) Palayamkottai Ramasamy Sannathi Street, W.No 35, 4.Tirunelveli (C) Palayamkottai Uchimahali Sannathi Street, W.No 35 , 5.Tirunelveli (C) Palayamkottai Pattinathar Lane, W.No. 35 , 6.Tirunelveli (C) Palayamkottai Vaikundanatan Street, W.No. 35 , 7.Tirunelveli (C) Palayamkottai Thiruvempavai Street, W.No 35 ,8.Tirunelveli (C) Palayamkottai Thirupanalwar Street W.No 35,999.Overseas Electors",Tamilaga Vettri Kazhagam,17.53472222222222
111,"Child Jesus Higher Secondary School , 11th D Class Room,Western Block Old Chruch Strreet, Palayamkottai","1.Tirunelveli (C) Palayamkottai Alavanthan Street, W.No 35 , 2.Tirunelveli (C) Palayamkottai Yadavar East Street, W.No 35 , 3.Tirunelveli (C) Palayamkottai Old Koil Street, W.No 35 , 4.Tirunelveli (C) Palayamkottai Thiruvai Mozhi Street W.No. 35 , 5.Tirunelveli ( C) Palayamkottai Arunagirinathar Street, W.No 35 , 6.Tirunelveli (C) Palayamkottai Agasthiyar Street, W.No 35 , 7.Tirunelveli (C) Palayamkottai Post Office Street, W.No 35 , 8.Tirunelveli (C) Palayamkottai Therayar Lane, W.No 35 , 9.Tirunelveli (C) Palayamkottai Pathrasiviyar Street,W.No 35 , 999.Overseas Electors",Tamilaga Vettri Kazhagam,5.220883534136546
