Serial No. Of Polling Station,Location and Name of Building in Which Polling Station Located,Polling Areas,Winner_Party,Margin_Percentage
3,"M.D.T Hindu College Hr. Sec.School, West Building, 4th Room From North, Tirunelveli Junction.","1.Tirunelveli (C) Sindupoondurai Ward 12 Kamarajar Street , 999.Overseas Electors",Tamilaga Vettri Kazhagam,12.26708074534161
22,"Purachi Thalaivar M.G.R Memorial Primary School, South Portion Thiruvannathapuram","1.Tirunelveli (C) Thiruvannathapuram Ward 4 Antoniyar Kovil Street , 2.Tirunelveli (C) Thiruvannathapuram Ward 4 Jothi Street , 3.Tirunelveli (C) Thiruvannathapuram Ward 4 Muppudathiamman Kovil Street , 4.Tirunelveli (C) Thiruvannathapuram. Ward 4Kamarajar Nagar , 999.Overseas Electors",Tamilaga Vettri Kazhagam,22.22222222222222
23,"Hindu Aided Primary School, ,Southern Portion, Padappakkurichi.","1.Tirunelveli (C) Thimmarajapuram Ward 4 V.O.C. Street (Padappakurichi) , 2.Tirunelveli (C) Thimmarajapuram Ward 4 Kamarajar Street (Padappakurichi) , 3.Tirunelveli (C) Thimmarajapuram. Ward 4 Gandhi Street (Padappakurichi) , 999.Overseas Electors
Page 4 of 78",Tamilaga Vettri Kazhagam,2.465331278890601
24,"Integrated Children Development Scheme, New building west portion, Padappakkurichi.","1.Tirunelveli (C) Thimmarajapuram Ward 4 Rice Mill Street (Padappakurichi) , 2.Tirunelveli (C) Thimmarajapuram Ward 4 Chettiyar Street , 3.Tirunelveli (C) Thimmarajapuram. Ward 4 Thimmarajapuram Melur , 4.Tirunelveli (C) Thimmarajapuram. Ward 4 Pasumpon Nagar , 999.Overseas Electors",Tamilaga Vettri Kazhagam,25.08833922261484
26,"Kosalram Primary School, Kakkannagar Thimmarajapuram.","1.Tirunelveli (C) Thimmarajapuram. Ward 5 Kakkan Nagar , 2.Tirunelveli (C) Thimmarajapuram. Ward 5 Kakkan Nagar 7Th Street , 3.Tirunelveli (C) Thimmarajapuram. Ward 5 Kakkan Nagar 6Th Street , 999.Overseas Electors",Dravida Munnetra Kazhagam,0.5226480836236934
27,"Community Hall, ,South Side, Santhi Nagar,","1.Tirunelveli (C) Thimmarajapuram. Ward 5 Police Colony I(Door no.1-L64), 999.Overseas Electors",Tamilaga Vettri Kazhagam,3.482587064676617
28,"Community Hall, North Portion, Santhi Nagar","1.Tirunelveli (C) Thimmarajapuram. Ward 5 Venkateshvara Nagar 1St Street , 2.Tirunelveli (C) Thimmarajapuram Ward 5 Venkateshvara Nagar , 3.Tirunelveli
(C) Thimmarajapuram. Ward 5 Police Colony-II(Door no.L65-M26, 999.Overseas Electors",Tamilaga Vettri Kazhagam,23.046875
30,"Tirunelveli Corporation Anganvadi Centre No: 0429, Muppidathi Amman Kovil Street Thimmarajapuram","1.Tirunelveli (C) Thimmarajapuram. Ward 8 Ganapathiyapuram (Thimmarajapuram) , 2.Tirunelveli (C) Thimmarajapuram. Ward 8 Sevalaperi Road ,
3.Tirunelveli (C)Thimmarajapuram Ward 8 Ganapathiyarpuram , 4.Tirunelveli (C) Thimmarajapuram Ward 8 Thimmarajapuram 10Th Street , 5.Tirunelveli (C) Thimmarajapuram. Ward 8 Thimmarajapuram 11Th Street , 999.Overseas Electors",Tamilaga Vettri Kazhagam,31.74825174825175
31,"Tamilnadu Government Public Library Department, Book reading centre (New Building West) Branch Library Thimmarajapuram,","1.Tirunelveli (C) Thimmarajapuram Ward 8 Thimmarajapuram 12Th Street , 2.Tirunelveli (C) Thimmarajapuram. Ward 5 Thimmai South Side 2nd Street , 3.Tirunelveli (C) Thimmarajapuram Ward 5 Thimmai South Side 5th Street , 4.Tirunelveli (C) Thimmarajapuram Ward 5 Thimmai Andal Street North Side , 999.Overseas Electors",Tamilaga Vettri Kazhagam,14.8314606741573
33,"Panchayat Union Primary School ,East Portion, Venkateswarapuram Thimmarajapuram.","1.Tirunelveli (C) Thimmarajapuram. Ward 5 Valluvar Street , 2.Tirunelveli (C)Thimmarajapuram Ward 5 Gandhi Street , 3.Tirunelveli Thimmarajapuram Ward 5 Jothi Street , 4.Tirunelveli (C)Thimmarajapuram Ward 5 Anna Nagar , 5.Tirunelveli (C) Thimmarajapuram. Ward 5 New Colony , 6.Tirunelveli (C) Thimmarajapuram Ward 5 Pandian Street , 7.Tirunelveli (C) Thimmarajapuram. Ward 5 Sangeetha Nagar , 999.Overseas Electors",Tamilaga Vettri Kazhagam,11.96969696969697
