Serial No. Of Polling Station,Location and Name of Building in Which Polling Station Located,Polling Areas,Winner_Party,Margin_Percentage
1,"M.D.T Hindu College Hr. Sec.School, West Building,2nd Room From North, Tirunelveli Junction","1.Tirunelveli (C) Sindhupoondurai Ward 12 Salai Street ,  2.Tirunelveli (C) Sindhupoondurai Ward12 New Amman Kovil Street , 3.Sindhupoondurai Tirunelveli (C) Ward 30 S.N. High Road ,999.Overseas Electors",Tamilaga Vettri Kazhagam,10.60606060606061
2,"M.D.T.Hindu College Hr.Sec.School, West Building 3rd Room From North Tirunelveli. Junction","1.Tirunelveli (C) Sindhupoondurai. Ward No 30 Sindhupoondurai Middle Street. , 2.Tirunelveli (C) Sindhupoondurai Ward 12 Selvi Nagar. , 999.Overseas Electors",Tamilaga Vettri Kazhagam,15.49586776859504
4,"M.D.T Hindu College Hr. Sec.School, West Building, 5th Room From North, Tirunelveli Junction","1.Tirunelveli (C) Sindhupoondurai Ward 30 Sindhupoondurai East Street , 2.Tirunelveli (C) Sindupoondurai Ward 30 Sindhupoondurai East Street (E) , 999.Overseas Electors",Tamilaga Vettri Kazhagam,12.90322580645161
5,"Matharasa Ishlamiya Primary School, ,Main Building, North Block, Kailasapuram.","1.Tirunelveli (C) Sindhupoondurai. Ward 30 Kailasapuram East Street , 2.Sindhupoondurai Tirunelveli (C) Ward 30 Kailasapuram Middle Street , 999.Overseas Electors",Dravida Munnetra Kazhagam,12.38532110091743
6,"Corporation Primary School, ,North Portion 1st Room, Kailasapuram.","1.Sindhupoondurai Tirunelveli (C) Ward 30 Kailasapuram South Street , 2.Sindhupoondurai Tirunelveli (C) Ward 30 Ganeshapuram Atrankarai Erakkam
, 999.Overseas Electors",Tamilaga Vettri Kazhagam,27.12765957446808
7,"M.D.T.Hindu College Hr.Sec.School, ,Eastern Building, Northern Last Room Tirunelveli.
Junction","1.Sindhupoondurai Tirunelveli (C) Ward 30 Perumal East Car Street , 2.Sindhupoondurai Tirunelveli (C) Ward 30 Perumal Sannathi Street , 3.Sindhupoondurai Tirunelveli (C) Ward 30 Madurai Road  Police Colony , 4.Tirunelveli (C) Sindhupoondurai. Ward 30 West Street , 999.Overseas Electors",Tamilaga Vettri Kazhagam,16.92015209125475
8,"M.D T. Hindu College Hr.Sec.School, ,West Building, South Portion, Last Hall, Tirunelveli. Juntion","1.Melaveeraragavapuram Tirunelveli (C) Ward 30 Shreepuram , 2.Melaveeraragavapuram Tirunelveli (C) Ward 30 Swamy Nellaiyappar High Road , 3.Melaveeraragavapuram Tirunelveli (C) Ward 30 Palam Police Colony , 4.Melaveeraragavapuram Tirunelveli (C) Ward 30 Goyaksiyal Colony , 5.Melaveeraragavapuram Tirunelveli (C) Ward 30 Mothilal Street , 6.Sindhupoondurai Tirunelveli (C) Ward 30 Kailasapuram North Street , 999.Overseas Electors",Tamilaga Vettri Kazhagam,4.098360655737705
9,"M.D T Hindu College Hr.Sec.School, ,West Building, Northern Portion, Last Hall, Tirunelveli Junction","1.Melaveeraragavapuram  Tirunelveli (C) Ward 29 Railway Goodshed Colony East , 2.Melaveeraragavapuram Tirunelveli (C) Ward 29 Railway Colony West , 3.Melaveeraragavapuram Tirunelveli (C) Ward 29  Railway Colony West 5Th Cross Street , 4.Melaveeraragavapuram Tirunelveli (C) Ward 29  Railway Colony West 7Th Cross Street , 5.Melaveeraragavapuram Tirunelveli (C) Ward 29 Railway Colony West 5Th Cross Street , 6.Melaveeraragavapuram Tirunelveli
(C) Ward 29  Railway Colony West 4Th Cross Street , 7.Tirunelveli (C) Mealveeraragavapuram. Ward 29  Railway Colony West 2Nd Cross Street , 8.Tirunelveli (C) Melaveeraragavapuram Ward 29  Railway Colony West 1St Cross Street , 9.Tirunelveli (C) Melaveeraragavapuram. Ward 30 Perumal West Car Street , 10.Tirunelveli (C) Melaveeraragavapuram Ward No 30 Perumal North Car Street , 11.Tirunelveli (C) Melaveeraragavapuram Ward 29Railway Colony ,  12.Tirunelveli (C) Sindhupoondurai Ward 30 North Street , 999.Overseas Electors",Tamilaga Vettri Kazhagam,21.37254901960784
10,"Corporation Health Inspector Office,
,Southern Side of Water Tank, Saniyasigramam.","1.Melaveeraragavapuram Tirunelveli (C) Ward 30 Perumal South Car Street , 999.Overseas Electors",Tamilaga Vettri Kazhagam,20.28985507246377
11,"Hindu Aided Middle School, ,North Portion, Sivapuram, Tirunelveli Junction.","1.Tirunelveli (C) Melaveeraragapuram Ward 29 Athithanar Street , 2.Melaveeraragavapuram Tirunelveli (C) Ward 30 Ethiraj Street , 3.Melaveeraragavapuram Tirunelveli (C) Ward 29 Sanniyasi Village , 4.Melaveeraragavapuram Tirunelveli (C) Ward 30 Varatharajapuram , 5.Melaveeraragavapuram Tirunelveli (C) Ward 29 Cithi Vinayagar Kovil Street , 999.Overseas Electors",Tamilaga Vettri Kazhagam,12.74509803921569
