Serial No. Of Polling Station,Locality,Polling  Area,Winner_Party,Runner_Up_Party,Margin_Of_Victory,Margin_Percentage
13,Thathankulam,"1.Karungulam  (R.V),  Thathenkulam  (P)  Pallivasal  Street  Block  1  , 2.Karungulam  (R.V),  Thathenkulam  (P)  Pallivasal  South  Street  Block  2  , 3.Karungulam  (R.V),  Thathenkulam  (P)  Annamalai  Street  Block  3  , 4.Karungulam  (R.V),  Thathenkulam  (P)  Vinayagar  Kovil  Street  Block  4  , 5.Karungulam  (R.V),  And  Thathenkulam  (P)  Pallivasal  South  Street  Block 1  ,  6.Karungulam  (R.V),  And  Thathenkulam  (P)  Annamalai  North  Street Block  2  ,  7.Karungulam  (R.V),  Thathenkulam  (P)  Kadasakudi  Street  Block 2  ,  8.Karungulam  (R.V),  Thathenkulam  (P)  Kallavandan  Kovil  Street  Block 2  ,  9.Karungulam  (R.V),  Thathenkulam  (P)  C.M.S  Kovil  Street  Block  2  , 10.Karungalam  (R.V),  Thathenkulam  (P)  Sekkadi  Street  Block  2  , 11.Karungalum  (R.V),  Thathenkulam  (P)  Vinayagar  Kovil  Street  Block  2  , 12.Karungulam  (R.V),  Thathenkulam  (P)  Bharathiyar  Street  Block  2  , 13.Karungulam  (R.V),  Thathenkulam  (P)  Vadamalai  Vinayagar  Kovil
Street  Block  4  ,  14.Karungulam  (R.V),  Thathenkulam  (P)  R.C.Kovil  Street
Block  2  ,  999.OVERSEAS  ELECTORS",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,10,1.658374792703151
16,Melaseriyanthur,"1.Serakulam  (R.V)  And  (p)  Melasriyanthur  vedakovil  street  block  7  , 2.Serakulam  (R.V)  And  (P)  Melasriyanthur  South  Street  Block  7  , 3.Serakulam  (R.V)  And  (P)  Melasriyanthur  North  Street  Block  7  , 4.Serakulam  (R.V)  And  (P)  Magilchipuram  Vedakovil  Street  Block  8  , 5.Serakulam  (R.V)  And  (P)  Magilchipuram  North  Street  Block  8  , 6.Serakulam  (R.V)  And  (P)  Magilchipuram  South  Street  Block  8  , 7.Serakulam  (R.V)  And  (P)  Lakshmi  Narayanapuram  Block  9  , 999.OVERSEAS  ELECTORS",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,7,1.176470588235294
17,Serakulam,"1.Serakulam  (R.V)  And  (p)  Serakulam  pillaiyar  kovil  street  block  1  , 2.Serakulam  (R.V)  And  (P)  Pillaiyar  Kovil  Street  Block  2  ,  3.Serakulam (R.V)  And  (P)  Subramaniapuram  Block  3  ,  4.Sharakulam  (R.V)  And  (P)
Sharakulam  South  Street  Block  1  ,  5.Sharakulam  (R.V)  And  (P)  Amman Kovil  West  Street  Block  1  ,  6.Sharakulam  (R.V)  And  (P)  Amman  Kovil  East Street  Block  2  ,  7.Sharakulam  (R.V)  And  (P)  Vembadi  Street  Block  2  ,
999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,8,1.27591706539075
18,Serakulam,"1.Serakulam  (R.V)  And  (p)  Eluppaikulam  block  4  ,  2.Serakulam  (R.V)  And
(P)  Chinarkulam  Block  5  ,  3.Serakulam  (R.V)  And  (P)  Vettikkulam  Block  6
,  4.Serakulam  (R.V)  And  (P)  Theeratthikulam  Block  6  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,1,0.1265822784810127
25,Thiruvarangapatti,"1.Kalvai  (R.V)  And  (P)  Thiruvarankampatti  Block  6  ,  999.OVERSEAS ELECTORS",All India Anna Dravida Munnetra Kazhagam,Indian National Congress,17,4.829545454545454
46,Sri  moolakarai,"1.Srimoolakarai  (R.V)  And  (P)  Srimoolakarai  East  Block  5  ,
2.Srimoolakarai  (R.V)  And  (P)  Srimoolakarai  Middle  Block  5  , 3.Srimoolakarai  (R.V)  And  (P)  Srimoolakarai  West  Block  5  , 999.OVERSEAS  ELECTORS",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,35,3.972758229284903
48,Selvamaninagar,"1.Nattathi  (R.V)  And  (P)  complite  Mullanvilai,Ammanpuram,  pattandivilai, Neelamaniap  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,5,0.7246376811594203
51,Subramaniapuram,"1.Sawyerpuram  (SGTP)  Pudunainarpuram  1  ward  9  ,  2.Sawyerpuram (SGTP)  Chettiar  Street  2  Ward  9  ,  3.Sawyerpuram  (SGTP)  ManiStreet  3 Ward  9  ,  4.Sawyerpuram  (SGTP)  UoorkavalanStreet  4  Ward  9  ,
5.Sawyerpuram  (SGTP)  PrasathStreet  5  Ward  9  ,  6.Sawyerpuram  (SGTP) SavierStreet  6  Ward  9  ,  7.Sawyerpuram  (SGTP)  Pathinathar  Street7  Ward 9  ,  8.Sawyerpuram  (SGTP)  Kovil  Street  8  Ward  9  ,  9.Sawyerpuram  (SGTP) SelvanStreet  9  Ward  9  ,  10.Sawyerpuram  (SGTP)  Nehru  Street10  Ward  9  , 11.Sawyerpuram  (SGTP)  Main  Road  Street  11  Ward  9  ,  999.OVERSEAS
ELECTORS",Indian National Congress,Tamilaga Vettri Kazhagam,12,1.951219512195122
56,Naduvakkurichi,"1.Sawyerpuram  (SGTP)  Vinayagarkovil  Street  1  Ward  7  ,  2.Sawyerpuram (SGTP)  ParkStreet  Ward  6  ,  3.Sawyerpuram  (SGTP)  MihavalStreet  2  Ward 7  ,  4.Sawyerpuram  (SGTP)  Vinayagarkovil  Street  2  Ward  6  , 5.Sawyerpuram  (SGTP)  Bharathi  Street  Ward  6  ,  6.Sawyerpuram  (SGTP) Kamaraj  Street  Ward  6  ,  7.Sawyerpuram  (SGTP)  ChidamparamStreet Ward  6  ,  999.OVERSEAS  ELECTORS",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,6,1.268498942917548
59,Sebatthaiyapuram,"1.Sawyerpuram  (SGTP)  Vinayagar  Kovil  East  Street  Block  3  , 2.Sawyerpuram  (SGTP)  VinayagarKovil  Street  Ward  13  ,  999.OVERSEAS ELECTORS",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,9,1.796407185628742
