Serial No. Of Polling Station,Locality,Building  in  Which  it  will  be  Located,Polling  Area,Whether  for  all Voters  or  men  olny or  women  only,Indian National Congress,Naam Tamilar Katchi,All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,Nam Naadu Nam Makkal Nam Ethirkaalam Katchi,Puthiya Makkal Tamil Desam Katchi,Naam Indiar Party,Vishwa Tamil Kazhagam,All India Forward Bloc,Puthiya Tamilagam,Tamizhaga Vaazhvurimai Katchi,Independent,Independent.1,Independent.2,Independent.3,Total of Valid Votes,No. Of Rejected Votes,NOTA,Total,No. Of Tendered Votes,Indian National Congress_Share_%,Naam Tamilar Katchi_Share_%,All India Anna Dravida Munnetra Kazhagam_Share_%,Tamilaga Vettri Kazhagam_Share_%,Nam Naadu Nam Makkal Nam Ethirkaalam Katchi_Share_%,Puthiya Makkal Tamil Desam Katchi_Share_%,Naam Indiar Party_Share_%,Vishwa Tamil Kazhagam_Share_%,All India Forward Bloc_Share_%,Puthiya Tamilagam_Share_%,Tamizhaga Vaazhvurimai Katchi_Share_%,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Of_Victory,Runner_Up_Party,Naam Tamilar Katchi_Rank,Indian National Congress_Rank,Nam Naadu Nam Makkal Nam Ethirkaalam Katchi_Rank,Puthiya Makkal Tamil Desam Katchi_Rank,All India Anna Dravida Munnetra Kazhagam_Rank,Naam Indiar Party_Rank,Tamizhaga Vaazhvurimai Katchi_Rank,Tamilaga Vettri Kazhagam_Rank,Vishwa Tamil Kazhagam_Rank,Puthiya Tamilagam_Rank,All India Forward Bloc_Rank,Independent_Rank,Independent.1_Rank,Independent.2_Rank,Independent.3_Rank,Margin_Percentage,Total_Independent_Votes
1,Seidunganallur,Hindu  Primary  School  North  Building  East Side  Seidunganallur,"1.Seidunganallur  (R.V)  And  (p)  Mooppanar  Pillaiyar  Kovil  street  Block  3  , 2.Seydunganallur  (R.V)  And  (P)  Nambisamy  Kovil  Street  Block  3  , 3.Seydunganallur  (R.V)  And  (P)  Pillaiyar  Kovil  Street  Block  3  , 999.OVERSEAS  ELECTORS",All  Voters,53,25,175,134,0,1,0,0,8,1,0,0,2,1,0,400,0,1,401,0,13.25,6.25,43.75,33.5,0.0,0.25,0.0,0.0,2.0,0.25,0.0,All India Anna Dravida Munnetra Kazhagam,175,134,41,Tamilaga Vettri Kazhagam,4,3,10,7,1,10,10,2,10,7,5,10,6,7,10,10.25,3
2,Seidunganallur,Hindu  Primary  School  West  Building  West Portion  Facing  South  Seidunganallur,"1.Seydunganallur  (R.V)  And  (P)  Muslim  New  Street  Block  4  , 2.Seydunganallur  (R.V)  And  (P)  Mooppanar  West  Street  Block  4  , 3.Seydunganallur  (R.V)  And  (P)  Post  Office  Street  Block  4  , 999.OVERSEAS  ELECTORS",All  Voters,414,19,112,126,2,0,0,0,0,0,0,1,1,0,0,675,0,1,676,0,61.33333333333333,2.814814814814815,16.59259259259259,18.66666666666667,0.2962962962962963,0.0,0.0,0.0,0.0,0.0,0.0,Indian National Congress,414,126,288,Tamilaga Vettri Kazhagam,4,1,5,8,3,8,8,2,8,8,8,6,6,8,8,42.66666666666667,2
3,Seidunganallur,Hindu  Primary  School  North  Building  West Side  Seidunganallur,"1.Seydunganallur  (R.V)  And  (P)  R.C.  Street  Block  5  ,  2.Seydunganallur
(R.V)  And  (P)  Thennajsolai  (AnnaNagar  Street)  Block  5  ,  999.OVERSEAS ELECTORS",All  Voters,137,74,181,266,2,1,0,1,46,2,0,1,0,1,0,712,0,0,712,0,19.24157303370787,10.39325842696629,25.42134831460674,37.35955056179775,0.2808988764044944,0.1404494382022472,0.0,0.1404494382022472,6.460674157303371,0.2808988764044944,0.0,Tamilaga Vettri Kazhagam,266,181,85,All India Anna Dravida Munnetra Kazhagam,4,3,6,8,2,12,12,1,8,6,5,8,12,8,12,11.93820224719101,2
4,Seidunganallur,St.  Louis  R.  C.  Middle  School  New  West Building  South  Portion  Seidunganallur,"1.Seydunganallur  (R.V)  And  (p)  Pillaiyar  kovil  north  street  block  1  , 2.Seydunganallur  (R.V)  And  (P)  Pillaiyar  Kovil  Street  Block  1  , 3.Seydunganallur  (R.V)  And  (P)  Sivan  Kovil  Street  Block  1  , 4.Seydunganallur  (R.V)  And  (P)  Old  Pallivasal  Street  Block  2  , 5.Seydunganallur  (R.V)  And  (P)  Mooppanar  North  Street  Block  2  , 999.OVERSEAS  ELECTORS",All  Voters,429,33,220,213,0,0,0,0,21,1,0,1,0,0,0,918,0,3,921,0,46.73202614379085,3.594771241830065,23.96514161220044,23.20261437908497,0.0,0.0,0.0,0.0,2.287581699346405,0.1089324618736384,0.0,Indian National Congress,429,220,209,All India Anna Dravida Munnetra Kazhagam,4,1,8,8,2,8,8,3,8,6,5,6,8,8,8,22.76688453159041,1
5,Seidunganallur,St.Louis  R.C.Middle  School  South  Portion Facing  East  Seidunganallur,"1.Seydunganallur  (R.V)  And  (p)  Santhaiyadiyur  adidravedar  colony  block 6  ,  2.Seydunganallur  (R.V)  And  (P)  Kasba  Velallar  Street  Block  6  , 999.OVERSEAS  ELECTORS",All  Voters,152,61,144,454,2,1,1,0,9,11,0,0,1,0,1,837,0,5,842,0,18.16009557945042,7.287933094384708,17.20430107526882,54.24133811230586,0.2389486260454002,0.1194743130227001,0.1194743130227001,0.0,1.075268817204301,1.314217443249701,0.0,Tamilaga Vettri Kazhagam,454,152,302,Indian National Congress,4,2,7,8,3,8,12,1,12,5,6,12,8,12,8,36.08124253285543,2
6,Seidunganallur,St.Louis  R.C.Middle  School  North  Portion Facing  East  Seidunganallur,"1.Seydunganallur  (R.V)  And  (P)  Akraharam  Karaiyadiyur  Street  Block  7  , 2.Seydunganallur  (R.V)  And  (P)  Melathuthukuli  Block  7  , 3.Seydunganallur  (R.V)  And  (P)  Keelathuthukuli  Block  7  ,  999.OVERSEAS ELECTORS",All  Voters,99,38,134,204,0,1,0,0,14,17,4,1,1,0,1,514,0,2,516,0,19.26070038910506,7.392996108949417,26.07003891050584,39.68871595330739,0.0,0.1945525291828794,0.0,0.0,2.723735408560311,3.30739299610895,0.7782101167315175,Tamilaga Vettri Kazhagam,204,134,70,All India Anna Dravida Munnetra Kazhagam,4,3,12,8,2,12,7,1,12,5,6,8,8,12,8,13.61867704280156,3
7,Ayyanarkulampatti,P.  U.  Primary  School  East  Building  Northern Side  Ayyanarkulampatti,"1.Seydunganallur  (R.V)  And  (p)  Ayyanarkulampatti  west  street  block  8  , 2.Seydunganallur  (R.V)  And  (P)  Ayyanarkulampatti  East  Street  Block  8  , 3.Seydunganallur  (R.V)  And  (P)  Sundar  Nagar  Block  8  ,  4.Seydunganallur (R.V)  And  (P)  Ayyanarkulampatti  West  Street  Block  9  ,  5.Seydunganallur (R.V)  And  (P)  Ayyanarkulampatti  East  Street  Block  9  ,  6.Seydunganallur
(R.V)  And  (P)  Satthakaranpatti  Block  9  ,  999.OVERSEAS  ELECTORS",All  Voters,57,79,424,266,3,2,0,0,9,1,0,1,5,3,1,851,0,2,853,0,6.698002350176263,9.283196239717979,49.82373678025852,31.25734430082256,0.3525264394829613,0.2350176263219741,0.0,0.0,1.057579318448884,0.1175088131609871,0.0,All India Anna Dravida Munnetra Kazhagam,424,266,158,Tamilaga Vettri Kazhagam,3,4,7,9,1,13,13,2,13,10,5,10,6,7,10,18.56639247943596,10
8,Karungulam,"Govt  Hr,  Sec  School  East  New  Building  North Room,  Karungulam","1.Karungulam  (R.V)  And  (p)  Perumal  kovil  street  block  1  ,  2.Karungulam (R.V)  And  (P)  Matha  Kovil  Street  Block  2  ,  3.Karungulam  (R.V)  And  (P) Krishnan  Kovil  Street  Block  3  ,  4.Karungulam  (R.V)  And  (P)  Kirama Chavady  Street  Block  2  ,  5.Karungulam  (R.V)  And  (P) Santhanamariamman  Kovil  Street  Block  2  ,  6.Karungulam  (R.V)  And  (P) Krishnan  Kovil  Street  Block  2  ,  7.Karungulam  (R.V)  And  (P)  Vadamalai Vinayagar  Kovil  Street  Block  3  ,  8.Karungulam  (R.V)  And  (P)  Selva Vinayagar  Kovil  Street  Block  3  ,  9.Karungulam  (R.V)  And  (P) Santhanamariamman  Kovil  Street  Block  3  ,  10.Karungulam  (R.V)  And  (P) Kamatchi  Amman  Kovil  Street  Block  3  ,  999.OVERSEAS  ELECTORS",All  Voters,86,71,345,229,2,4,0,0,27,0,0,0,2,0,0,766,0,3,769,0,11.22715404699739,9.26892950391645,45.03916449086162,29.89556135770235,0.2610966057441254,0.5221932114882507,0.0,0.0,3.524804177545692,0.0,0.0,All India Anna Dravida Munnetra Kazhagam,345,229,116,Tamilaga Vettri Kazhagam,4,3,7,6,1,9,9,2,9,9,5,9,7,9,9,15.14360313315927,2
9,Karungulam,"Govt  Hr,  Sec,  School  North  Building,  Middle Portion,  Karungulam","1.Karungulam  (R.V)  And  (P)  Selvavinayagar  Kovil  Street  Block  4  , 2.Karungulam  (R.V)  And  (P)  R.C.Kovil  Street  Block  4  ,  3.Karungulam  (R.V) And  (P)  Krishnan  Kovil  Street  Block  4  ,  4.Karungulam  (R.V)  And  (P)
Pallivasal  Street  Block  4  ,  5.Karungulam  (R.V)  And  (P)  Utchimahaliamman Kovil  Street  Block  4  ,  6.Karungulam  (R.V)  And  (P)  Vanniyaraja  Kovil  Street
Block  4.  999.OVERSEAS  ELECTORS",All  Voters,86,14,125,149,0,0,0,0,42,0,0,1,0,0,0,417,0,3,420,0,20.62350119904077,3.357314148681055,29.97601918465228,35.73141486810552,0.0,0.0,0.0,0.0,10.07194244604317,0.0,0.0,Tamilaga Vettri Kazhagam,149,125,24,All India Anna Dravida Munnetra Kazhagam,5,3,7,7,2,7,7,1,7,7,4,6,7,7,7,5.755395683453238,1
10,Karungulam,Govt  Higher  Secondary  School  East  New Building  South  Portion  Karungulam.,"1.Karungulam  (R.V)  And  (P)  Matha  Kovil  Keela  Street  Block  5  , 2.Karungulam  (R.V)  And  (P)  Matha  Kovil  Street  Block  5  ,  3.Karungulam
(R.V)  And  (P)  Matha  Kovil  Middle  Street  Block  5  ,  4.Karungulam  (R.V)  And
(P)  Matha  Kovil  Mela  Street  Block  5  ,  5.Karungulam  (R.V)  And  (P) Vinaitheertha  vinayagar  Kovil  Street  Block  6  ,  6.Karungulam  (R.V)  And  (P) Vandimalatchiamman  Kovil  Street  Block  6  ,  7.Karungulam  (R.V)  And  (P) Mosathaikka  Street  Block  6  ,  8.Karungulam  (R.V)  And  (P)  Nanguneri  Main Road  Block  6  ,  9.Karungulam  (R.V)  And  (P)  Appa  Nayagam  Street  Block  6
,  999.OVERSEAS  ELECTORS",All  Voters,65,53,226,145,0,1,0,0,44,1,1,0,1,1,0,538,0,1,539,0,12.0817843866171,9.851301115241636,42.00743494423792,26.95167286245353,0.0,0.1858736059479554,0.0,0.0,8.178438661710038,0.1858736059479554,0.1858736059479554,All India Anna Dravida Munnetra Kazhagam,226,145,81,Tamilaga Vettri Kazhagam,4,3,11,6,1,11,6,2,11,6,5,11,6,6,11,15.05576208178439,2
