Locality,Total_Valid_Votes_In_Locality,Total_Independent_Votes_In_Locality,Independent_Vote_Share_%
Therkkankulam,752,23,3.058510638297872
Korkai,731,15,2.051983584131327
Serakulam,1417,25,1.764290755116443
Pannamparai.,961,16,1.664932362122789
Kandukondan manickam,515,8,1.553398058252427
Arivanmoli,327,5,1.529051987767584
Ayyanarkulampatti,851,10,1.175088131609871
Sivarama  mangalam,566,6,1.060070671378092
Thachanvillai,1169,12,1.026518391787853
Palkulam,1084,11,1.014760147601476
Saveriapuram,599,6,1.001669449081803
Thailapuram,633,6,0.9478672985781991
KeelaKarungadal,541,5,0.9242144177449169
Nava lakshmipuram,327,3,0.9174311926605505
Perunkulam,1576,14,0.8883248730964468
Ambalaseri,691,6,0.8683068017366137
"Semman
Kudieruppu",467,4,0.8565310492505354
Vellur  Pudukudi,1290,11,0.8527131782945736
Tirukalur,588,5,0.8503401360544218
Padukkapathu,1326,11,0.8295625942684767
Udayarkulam,850,7,0.823529411764706
Kovankadu,1098,9,0.819672131147541
Sri  moolakarai,881,7,0.7945516458569807
Keelpidagai Varadharajapuram,762,6,0.7874015748031495
Ariyanayagipuram,778,6,0.7712082262210797
Kalvai,1697,12,0.7071302298173248
Araserkulam,864,6,0.6944444444444444
Vallakulam,294,2,0.6802721088435374
KeelaVellamadam,451,3,0.6651884700665188
Salaipudur,309,2,0.6472491909385114
Mela  Alwar  thoppu,942,6,0.6369426751592357
Ponnankurichi,473,3,0.6342494714587738
Chettikulam,631,4,0.6339144215530903
Mukkani,4635,29,0.6256742179072277
Vagaineri,323,2,0.6191950464396285
Keelavellamadam,818,5,0.6112469437652812
Pannamparai,660,4,0.6060606060606061
Asirvathapuram,497,3,0.6036217303822937
Alwarkarkulam,1168,7,0.5993150684931506
Peikulam,2191,13,0.5933363760839799
Themangulam,847,5,0.5903187721369539
Palaniappapuram,852,5,0.5868544600938966
Thattarmadam,1193,7,0.586756077116513
Mela  Karungkadal,512,3,0.5859375
Ramanujampudur,857,5,0.5834305717619603
Karuvelampadu,343,2,0.5830903790087464
Malavarayanatham,688,4,0.5813953488372093
Velur  Cusba,1220,7,0.5737704918032787
Kadayanodai,906,5,0.5518763796909493
Edaiarkadu,1455,8,0.5498281786941581
Ammalthoppu,1123,6,0.5342831700801425
Vallavallan,1702,9,0.5287896592244419
Pathmanaba mangalam,1530,8,0.522875816993464
Puliankulam,1392,7,0.5028735632183908
Valasakkaranvillai,597,3,0.5025125628140703
Kolunthattu,801,4,0.4993757802746567
Sivagalai,2639,13,0.4926108374384237
Pulvavilai,614,3,0.4885993485342019
Soolaivaikal,1049,5,0.4766444232602479
Sathyanagaram,1129,5,0.4428697962798938
Srivaikuntam,6835,30,0.4389173372348207
Thiruvaluthi nadarvilai,684,3,0.4385964912280702
Thulaivilimangalam,237,1,0.4219409282700421
Mudalur,1694,7,0.4132231404958678
Petdurai samypuram,732,3,0.4098360655737705
Siruthondanallur,2276,9,0.3954305799648506
Sattankulam,8639,33,0.3819886560944554
Palankulam,1061,4,0.3770028275212064
Sinnamadan kudieruppu,534,2,0.3745318352059925
Arampannai,1902,7,0.3680336487907466
Eral,5173,19,0.3672917069398801
Pudukulam,1091,4,0.3666361136571952
Alwarthirunagari,5226,19,0.3635667814772293
Mangalakurichi,559,2,0.3577817531305904
Pillaiyanmanai,1121,4,0.3568242640499554
"Therku
amuthunnakudi",1131,4,0.3536693191865605
Thuvarkulam,287,1,0.3484320557491289
Naganai,290,1,0.3448275862068966
Athisayapuram,589,2,0.3395585738539898
Melaseriyanthur,595,2,0.3361344537815126
Puthantharvai,1205,4,0.3319502074688797
Thathankulam,603,2,0.3316749585406302
Kilakulam,607,2,0.3294892915980231
Athinathapuram,609,2,0.3284072249589491
Poochikadu,1528,5,0.3272251308900523
Subramaniapuram,615,2,0.3252032520325203
Seidunganallur,4056,13,0.3205128205128205
Karungulam,2598,8,0.3079291762894534
Kattarimangalam,661,2,0.302571860816944
Nattathi,1000,3,0.3
Nochikulam,685,2,0.291970802919708
Selvamaninagar,690,2,0.2898550724637681
Teepachi,349,1,0.2865329512893983
Thiruvarangapatti,352,1,0.2840909090909091
Kalunguvilai,708,2,0.2824858757062147
Manjalneerkayal,714,2,0.2801120448179272
Umarikadu,1436,4,0.2785515320334262
Tholappanpannai,1077,3,0.2785515320334262
Kurippankulam,364,1,0.2747252747252747
Arumuga  mangalam,1485,4,0.2693602693602694
Parakiramapandi,1127,3,0.2661934338952973
Palayakayal,2645,7,0.2646502835538753
Sundankottai,1158,3,0.2590673575129534
Thamraimozhi,393,1,0.2544529262086514
Thoppur,412,1,0.2427184466019417
Mankottarapuram,415,1,0.2409638554216868
Naduvakkurichi,3921,9,0.2295332823259373
Kankaniarpuram,457,1,0.2188183807439825
"Usarathu
kudieruppu",472,1,0.211864406779661
Kadakulam,475,1,0.2105263157894737
"Samathanapuram, Sakkammalpuram",496,1,0.2016129032258064
Pannaivilai,1539,3,0.1949317738791423
Therukkukaracherr y,540,1,0.1851851851851852
Kommadikottai,559,1,0.1788908765652952
Chettivilai,573,1,0.1745200698080279
Petmanagaram,1732,3,0.1732101616628176
Agaram,1167,2,0.1713796058269066
Mani  Nagar,590,1,0.1694915254237288
Pillaivilai,604,1,0.1655629139072848
Polairpuram,619,1,0.1615508885298869
Muthu krishnapuram,628,1,0.1592356687898089
Pandaravilai,1918,3,0.1564129301355579
Perumalkulam,658,1,0.1519756838905775
Periathalai,3425,5,0.145985401459854
Alagappapuram,696,1,0.1436781609195402
Kombankulam,706,1,0.141643059490085
Manorammia puram,714,1,0.1400560224089636
Kongarayakurichi,2173,3,0.1380579843534284
Katachapuram,1502,2,0.1331557922769641
Puthu subramaniapuram,780,1,0.1282051282051282
Chockankudiruppu,794,1,0.1259445843828715
Thirupuliangudi,809,1,0.1236093943139678
Kumaranvilai,869,1,0.1150747986191024
Sebatthaiyapuram,2678,3,0.1120238984316654
Sembur,894,1,0.1118568232662192
Lakshimipuram,919,1,0.1088139281828074
Nedunkulam,940,1,0.1063829787234043
Meerankulam,982,1,0.1018329938900204
Velayuthapuram,472,0,0.0
Keelapanaikulam,379,0,0.0
Vellur  Adichanallur,446,0,0.0
Cambellabath,897,0,0.0
"Kettiammalpuram, Velur  Cusba",585,0,0.0
Vijayaramapuram,810,0,0.0
Gananiyar kudieruppu,428,0,0.0
"Mela
Mangalakurichi",300,0,0.0
Kumaranvilai Idachivilai,862,0,0.0
Maramangalam,678,0,0.0
Mullanvilai,460,0,0.0
Theripanai,297,0,0.0
Perur,973,0,0.0
Pitchivillai,341,0,0.0
Pothakalanvillai,1247,0,0.0
Subburayapuram,367,0,0.0
Sawyerpuram,938,0,0.0
Virakkulam,295,0,0.0
