Locality,Total_Booths_In_Locality,Dominant_Party,Dominant_Party_Booths_Won
Agaram,2,All India Anna Dravida Munnetra Kazhagam,1
Alagappapuram,1,All India Anna Dravida Munnetra Kazhagam,1
Alwarkarkulam,2,All India Anna Dravida Munnetra Kazhagam,2
Alwarthirunagari,10,All India Anna Dravida Munnetra Kazhagam,5
Ambalaseri,1,All India Anna Dravida Munnetra Kazhagam,1
Ammalthoppu,2,Tamilaga Vettri Kazhagam,2
Arampannai,3,Indian National Congress,3
Araserkulam,1,All India Anna Dravida Munnetra Kazhagam,1
Arivanmoli,1,All India Anna Dravida Munnetra Kazhagam,1
Ariyanayagipuram,1,All India Anna Dravida Munnetra Kazhagam,1
Arumuga  mangalam,2,All India Anna Dravida Munnetra Kazhagam,2
Asirvathapuram,1,Tamilaga Vettri Kazhagam,1
Athinathapuram,1,All India Anna Dravida Munnetra Kazhagam,1
Athisayapuram,1,Indian National Congress,1
Ayyanarkulampatti,1,All India Anna Dravida Munnetra Kazhagam,1
Cambellabath,2,Indian National Congress,2
Chettikulam,1,Tamilaga Vettri Kazhagam,1
Chettivilai,1,Tamilaga Vettri Kazhagam,1
Chockankudiruppu,1,Tamilaga Vettri Kazhagam,1
Edaiarkadu,2,All India Anna Dravida Munnetra Kazhagam,1
Eral,9,Tamilaga Vettri Kazhagam,5
Gananiyar kudieruppu,1,All India Anna Dravida Munnetra Kazhagam,1
Kadakulam,1,Indian National Congress,1
Kadayanodai,2,Tamilaga Vettri Kazhagam,2
Kalunguvilai,1,Tamilaga Vettri Kazhagam,1
Kalvai,3,All India Anna Dravida Munnetra Kazhagam,2
Kandukondan manickam,1,All India Anna Dravida Munnetra Kazhagam,1
Kankaniarpuram,1,All India Anna Dravida Munnetra Kazhagam,1
Karungulam,4,All India Anna Dravida Munnetra Kazhagam,2
Karuvelampadu,1,Tamilaga Vettri Kazhagam,1
Katachapuram,2,All India Anna Dravida Munnetra Kazhagam,1
Kattarimangalam,1,Tamilaga Vettri Kazhagam,1
KeelaKarungadal,1,Tamilaga Vettri Kazhagam,1
KeelaVellamadam,1,Tamilaga Vettri Kazhagam,1
Keelapanaikulam,1,Indian National Congress,1
Keelavellamadam,1,All India Anna Dravida Munnetra Kazhagam,1
Keelpidagai Varadharajapuram,1,All India Anna Dravida Munnetra Kazhagam,1
"Kettiammalpuram, Velur  Cusba",1,All India Anna Dravida Munnetra Kazhagam,1
Kilakulam,1,All India Anna Dravida Munnetra Kazhagam,1
Kolunthattu,1,Tamilaga Vettri Kazhagam,1
Kombankulam,1,All India Anna Dravida Munnetra Kazhagam,1
Kommadikottai,1,All India Anna Dravida Munnetra Kazhagam,1
Kongarayakurichi,4,All India Anna Dravida Munnetra Kazhagam,2
Korkai,1,Tamilaga Vettri Kazhagam,1
Kovankadu,2,All India Anna Dravida Munnetra Kazhagam,1
Kumaranvilai,1,Tamilaga Vettri Kazhagam,1
Kumaranvilai Idachivilai,1,Tamilaga Vettri Kazhagam,1
Kurippankulam,1,Tamilaga Vettri Kazhagam,1
Lakshimipuram,1,All India Anna Dravida Munnetra Kazhagam,1
Malavarayanatham,1,Tamilaga Vettri Kazhagam,1
Mangalakurichi,1,All India Anna Dravida Munnetra Kazhagam,1
Mani  Nagar,1,All India Anna Dravida Munnetra Kazhagam,1
Manjalneerkayal,1,Tamilaga Vettri Kazhagam,1
Mankottarapuram,1,All India Anna Dravida Munnetra Kazhagam,1
Manorammia puram,1,All India Anna Dravida Munnetra Kazhagam,1
Maramangalam,1,Tamilaga Vettri Kazhagam,1
Meerankulam,2,Indian National Congress,1
"Mela
Mangalakurichi",1,All India Anna Dravida Munnetra Kazhagam,1
Mela  Alwar  thoppu,2,All India Anna Dravida Munnetra Kazhagam,2
Mela  Karungkadal,1,Indian National Congress,1
Melaseriyanthur,1,All India Anna Dravida Munnetra Kazhagam,1
Mudalur,3,Indian National Congress,3
Mukkani,6,All India Anna Dravida Munnetra Kazhagam,3
Mullanvilai,1,Indian National Congress,1
Muthu krishnapuram,1,Tamilaga Vettri Kazhagam,1
Naduvakkurichi,6,Tamilaga Vettri Kazhagam,3
Naganai,1,All India Anna Dravida Munnetra Kazhagam,1
Nattathi,1,All India Anna Dravida Munnetra Kazhagam,1
Nava lakshmipuram,1,All India Anna Dravida Munnetra Kazhagam,1
Nedunkulam,1,Tamilaga Vettri Kazhagam,1
Nochikulam,1,Indian National Congress,1
Padukkapathu,3,All India Anna Dravida Munnetra Kazhagam,2
Palaniappapuram,1,All India Anna Dravida Munnetra Kazhagam,1
