Serial No. Of Polling Station,Locality,Building  in  Which  it  will  be  Located,Polling  Area,Winner_Party,Margin_Percentage
6,Seidunganallur,St.Louis  R.C.Middle  School  North  Portion Facing  East  Seidunganallur,"1.Seydunganallur  (R.V)  And  (P)  Akraharam  Karaiyadiyur  Street  Block  7  , 2.Seydunganallur  (R.V)  And  (P)  Melathuthukuli  Block  7  , 3.Seydunganallur  (R.V)  And  (P)  Keelathuthukuli  Block  7  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,13.61867704280156
11,Karungulam,Govt  Hr  Sec  School  North  Building  West  Side Karungulam,"1.Karungulam  (R.V)  And  (P)  C.M.S  South  Street  Block  7  ,  2.Karungulam (R.V)  And  (P)  Bharathiyar  Street  Block  8  ,  3.Karungulam  (R.V)  And  (P)
C.M.S  North  Street  7  ,  4.Karungulam  (R.V)  And  (P)  C.M.S  Middle  Street  7
,  5.Karungulam  (R.V)  And  (P)  Bharathiyar  Street  7  ,  6.Karungulam  (R.V) And  (P)  Panchayat  Road  Street  7  ,  7.Karungulam  (R.V)  And  (P)  Selvin
Street  Block  8  ,  8.Karungulam  (R.V)  And  (P)  Nangunari  Road  Block  8  , 9.Karungulam  (R.V)  And  (P)  Kamaraj  Street  Block  8  ,  10.Karungulam
(R.V)  And  (P)  Indira  Colony  Block  8  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,11.97263397947548
12,Puliankulam,"Adi  Dravidar  Welfare  Primary  School,  New Building  East  Portion,  Puliangkulam","1.Karungulam  (R.V)  And  (p)  Kalasamy  kovil  street  block  9  ,
2.Karungulam(R.V)  And  (P)  Mutharamman  Kovil  Street  Block  9  , 3.Karungulam  (R.V)  And  (P)  West  Street  Block  9  ,  4.Karungulam  (R.V) And  (P)  Pandiyan  Street  Block  9  ,  5.Karungulam  (R.V)  And  (P)  Padasalai Street  Block  9  ,  6.Karungkulam  (R.V)  And  (P)  Indra  Colony  Block  9  , 7.Karungkulam  (R.V)  And  (P)  Panjali  Amman  Kovil  Street  Block  10  , 8.Karungulam  (R.V)  And  (P)  Ramasamy  Kovil  Street  Puliyangkulam  Block 10  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,27.33900364520049
29,Ponnankurichi,"Panchayat  Union  Middle  School,  East  side south  Facing,  Ponnankurichi","1.Velurathichanallur  (R.V)  And  (P)  Subramaniyapuram  Block  2  , 2.Velurathichanallur  (R.V)  And  (P)  Ponnankurichi  Block  3  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,6.342494714587738
46,Sri  moolakarai,"Hindu  Adidravidar  Primary  School, Srimoolakarai","1.Srimoolakarai  (R.V)  And  (P)  Srimoolakarai  East  Block  5  ,
2.Srimoolakarai  (R.V)  And  (P)  Srimoolakarai  Middle  Block  5  , 3.Srimoolakarai  (R.V)  And  (P)  Srimoolakarai  West  Block  5  , 999.OVERSEAS  ELECTORS",All India Anna Dravida Munnetra Kazhagam,3.972758229284903
71,Pulvavilai,"Panchayat  Union  Middle  School,  Pulvavilai, Pazhayakayal.","1.Pazhayakayal  (R.V)  And  (P)  Pulaveli  Block  5  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,15.14657980456026
90,Arumuga  mangalam,"T.  N.  D.  T.  A.  Manicka  Vasagam  Memorial Middle  School
East  Side  Arumugamangalam","1.Kottarakurichi  (R.V)  And  (P)  Piramanar  street  block  1  ,  2.Kottarakurichi (R.V)  And  (P)  MutharammanKovil  Street  Block  1  ,  3.Kottarakurichi  (R.V) And  (P)  Utchimahaliamman  Kovil  Street  Block  1  ,  4.Kottarakurichi  (R.V) And  (P)  Maruthuvar  Street  Block  2  ,  5.Kottarakurichi  (R.V)  And  (P)
AasarimarStreet  Block  2  ,  6.Kottarakurichi  (R.V)  And  (P) Selvanayagapuram  North  Street  Block  3  ,  7.Kottarakurichi  (R.V)  And  (P) Annanagar  North  Street  Block  3  ,  8.Kottarakurichi  (R.V)  And  (P)
Arasankulam  Block  4  ,  999.OVERSEAS  ELECTORS",All India Anna Dravida Munnetra Kazhagam,7.307171853856563
125,Parakiramapandi,T.  N.  D.  T.  A.  Primary  School  West  Building Parakiramapandi,"1.Parakiramapandi  (R.V)  And  (P)  Samyathu  Block  3  ,  2.Parakiramapandi (R.V)  And  (P)  Annanagar  Block  4  ,  3.Parakiramapandi  (R.V)  And  (P) Aaladiyour  Block  4  ,  4.Parakiramapandi  (R.V)  And  (P)  Muthusamy  Puram Block  4  ,  5.Parakiramapandi  (R.V)  And  (P)  Kulasekara  Natham  Block  5  , 999.OVERSEAS  ELECTORS",All India Anna Dravida Munnetra Kazhagam,5.982905982905983
129,Thirupuliangudi,"T.N.D.T.A.  Primary  School, Thirupuliangudi","1.Thirupuliangudi  (R.V)  And  (P)  Thoppadiyour  Block  1  , 2.Thirupuliangudi  (R.V)  And  (P)  Payrinpapuram  Block  1  ,
3.Thirupuliangudi  (R.V)  And  (P)  Sundarapandiyapuram  Block  1  ,
4.Thirupuliangudi  (R.V)  And  (P)  Thiruppuliangudi  Block  2  , 999.OVERSEAS  ELECTORS",All India Anna Dravida Munnetra Kazhagam,0.7416563658838072
131,Srivaikuntam,"Panchayat  Union  Middle  School  East Building,  North  Side,  Facing  West, Srivaikundam","1.Srivaikundam  (SGTP)  Pichinarthop  ward  14  ,  2.Srivaikundam  (SGTP) Kosalramnagar  Kanyancolony  Karunanidhi  Nagar  Ward  ,  3.Srivaikundam (SGTP)  Kaneyan  colony  Ward  13  ,  4.Srivaikundam  (SGTP)  Karunanidhi Nagar  Ward  13  ,  5.Srivaikundam  (SGTP)  MelaKottavasalStreet  Ward  14  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,9.501187648456057
134,Srivaikuntam,Haji  Meeyan  Abdul  Kadar  Middle  School  East Building  South  Portion  East  Side  Southwing Srivaikuntam,"1.Srivaikundam  (SGTP)  Kammalastreet  ward  5  ,  2.Srivaikundam  (SGTP) North  Pandither  Street  Ward  5  ,  3.Srivaikundam  (SGTP)  Kuyavarcolony Ward  5  ,  4.Srivaikundam  (SGTP)  Perumpathu  Ward  5  ,  5.Srivaikundam
(SGTP)  Muneercolony  Ward  5  ,  6.Srivaikundam  (SGTP)  Melamathieswaran colony  Ward  5  ,  7.Srivaikundam  (SGTP)  Nagamcolony  West  Ward  5  , 8.Srivaikundam  (SGTP)  Nagam  Puducolony  Ward  5  ,  9.Srivaikundam
(SGTP)  Nagamcolony  Center  Ward  5  ,  10.Srivaikundam  (SGTP)  Nagam colony  East  Ward  5  ,  11.Srivaikundam  (SGTP)  Kadarian  colony  Ward  5  , 12.Srivaikundam  (SGTP)  Indhira  colony  Ward  5  ,  999.OVERSEAS
ELECTORS",All India Anna Dravida Munnetra Kazhagam,0.8130081300813009
144,Velur  Cusba,"Panchayat  Union  Middle  School  New Building,  Facing  West,  South  Side  Velur Kasba","1.Velur  Kasba  (R.V)  And  (P)  West  street  Block  4  ,  2.Velur  Kasba  (R.V)  And
(P)  PandarakudiStreet  Block  4  ,  3.Velur  Kasba  (R.V)  And  (P) KaniyanColony  Block  5  ,  4.Velur  Kasba  (R.V)  And  (P)  Mariammalpuram Block  5  ,  5.Velur  Kasba  (R.V)  And  (P)  Marukaldurai  Block  5  ,  6.Velur Kasba  (R.V)  And  (P)  Navaladiyoor  Block  6  ,  7.Velur  Kasba  (R.V)  And  (P) Thopadiyoor  Block  6  ,  999.OVERSEAS  ELECTORS",All India Anna Dravida Munnetra Kazhagam,4.651162790697675
150,Keelpidagai Varadharajapuram,R  .  C.  Primary  School  Samynathapuram Keelpidagai  Varatharajapuram,"1.Keelpidakai  Varatharajapuram  (R.V)  And  (P)  Pattapudhur  block1  , 2.Keelpidakai  Varatharajapuram  (R.V)  And  (P)  Samynathapuram, Thoppur  Block  2  ,  3.Keelpidakai  Varatharajapuram  (R.V)  And  (P) Kailasapuram  Block2  ,  4.Keelpidakai  Varatharajapuram  (R.V)  And  (P)
Thangamalpuram  Block2  ,  5.Keelpidakai  Varatharajapuram  (R.V)  And  (P) Kattyampudhur  Block3  ,  6.Keelpidakai  Varatharajapuram  (R.V)  And  (P) Kaaduvetti  Block  3  ,  7.Keelpidakai  Varatharajapuram  (R.V)  And  (P)
Nalankudi  Block  4  ,  999.OVERSEAS  ELECTORS",All India Anna Dravida Munnetra Kazhagam,8.661417322834646
157,Tirukalur,Govt  Community  Hall  Tirukalur,"1.Thirukkloor  (R.V)  And  (P)  Thirukkloor  Block  5  ,  2.Thirukkloor  (R.V)  And
(P)  Sokkanoor  Block  6  ,  3.Thirukkloor  (R.V)  And  (P)  Thavasu  Nagar  Block 6  ,  4.Thirukalur  (R.V)  And  (P)  Selvaraj  Nagar  Block  7  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,11.22448979591837
164,Themangulam,"T.  N.  D.  T.  A.  Middle  School,  North  Portion South  Facing  Building,  Themangulam","1.Themangkulam  (R.V)  And  (P)  Thangaiyapuram  Block  5  , 2.Themaangkulam  (R.V)  And  (P)  Naduvoor  Mulakkarai  Block  6  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,9.803921568627452
165,Sembur,Government  Community  Hall  Sembur,"1.Alahiyamanavalapuram  (R.V)  And  (p)  Semboor  Block  1  , 2.Alahiyamanavalapuram  (R.V)  And  (P)  Semboor  Block  2  , 999.OVERSEAS  ELECTORS",All India Anna Dravida Munnetra Kazhagam,5.714285714285714
172,Alwarthirunagari,"Hindu  Higher  Secondary  School,  East Building  South  Corner  Class  Room Dr.Sivanthi  Aditanar  Valagam
Alwarthirunagari.","1.Alwarthiruneri  (SGTP)  Melananthavanam  colony  ward  10  ,
2.Alwarthiruneri  (SGTP)  Theppakkulam  colony  ward  12  ,  3.Alwarthiruneri (SGTP)  North  ratha  veethi  ward  12  ,  999.OVERSEAS  ELECTORS",All India Anna Dravida Munnetra Kazhagam,20.0
177,Athinathapuram,I.  C.  D.  S.  Buildings  Athinathapuram,"1.Aathinathapuram  (R.V)  And  (P)  Aathinathapuram  Block  2  , 2.Aathinathapuram  (R.V)  And  (P)  Puducolony,  karadiuoor,  vannakkudi, Block  3  ,  999.OVERSEAS  ELECTORS",All India Anna Dravida Munnetra Kazhagam,2.463054187192118
179,Malavarayanatham,T.  N.  D.  T.  A.  Primary  School Malavarayanattham,"1.Malavarayanatham  (R.V)  And  (P)  Malavarayanatham  North  Street  Block 1  ,  2.Malarayanatham  (R.V)  And  (P)  MalarayanathamMelakcolony  Block  2
,  3.Malarayanatham  (R.V)  And  (P)  MalarayanathamKeelakcolony  Block  2  ,
999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,0.2906976744186047
180,Udayarkulam,T.  N.  D.  T.  A.  St.Paul’s  Middle  School West  Side  Udaiarkulam,"1.Udaiyarkulam  (R.V)  And  (p)  Senkulam  block  1  ,  2.Udaiyarkulam  (R.V) And  (P)  Udaiyarkulam  Block  2  ,  3.Udaiyarkulam  (R.V)  And  (P) Udaiyarkulam  Block  3  ,  4.Udaiyarkulam  (R.V)  And  (P)  Udaiyarkulam Block  4  ,  5.Udaiyarkulam  (R.V)  And  (P)  Udaiyarkulam  Block  5  , 6.Udaiyarkulam  (R.V)  And  (P)  Chinamathicoodal  Block  6  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,19.64705882352941
182,KeelaVellamadam,"TNTDA  Primary  School,New  Building  North Side,Keelavellamadam","1.Vellamadam  (R.V)  And  (P)  Muthalaimozhi  MainRoad  Keelapudukulam Block  4  ,  2.Themangkulam  (A.V)  And  (P)  Nochikulam  Kilaputhukulam Block  4  ,  3.Vellamadam  (R.V)  And  (P)  Pillaiyanmanai
Vadakur(Pudukulam)  Block  4  ,  4.Thamaankulam(R.V)  And  (P) Sornampudur  Block  8  ,  5.Thamaankulam  (A.V)  And  (P)  Government Nagar  Block  8  ,  6.Thamaankulam  (R.V)  And  (P)  Subramaniapuram  Block 8  ,  7.Vallamadam  (R.V)  And  (P)  Kuppapuram  Block  9  ,  999.OVERSEAS
ELECTORS",Tamilaga Vettri Kazhagam,26.82926829268293
