Serial No. Of Polling Station,Locality,Building  in  Which  it  will  be  Located,Polling  Area,Winner_Party,Margin_Percentage
3,Seidunganallur,Hindu  Primary  School  North  Building  West Side  Seidunganallur,"1.Seydunganallur  (R.V)  And  (P)  R.C.  Street  Block  5  ,  2.Seydunganallur
(R.V)  And  (P)  Thennajsolai  (AnnaNagar  Street)  Block  5  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,11.93820224719101
5,Seidunganallur,St.Louis  R.C.Middle  School  South  Portion Facing  East  Seidunganallur,"1.Seydunganallur  (R.V)  And  (p)  Santhaiyadiyur  adidravedar  colony  block 6  ,  2.Seydunganallur  (R.V)  And  (P)  Kasba  Velallar  Street  Block  6  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,36.08124253285543
9,Karungulam,"Govt  Hr,  Sec,  School  North  Building,  Middle Portion,  Karungulam","1.Karungulam  (R.V)  And  (P)  Selvavinayagar  Kovil  Street  Block  4  , 2.Karungulam  (R.V)  And  (P)  R.C.Kovil  Street  Block  4  ,  3.Karungulam  (R.V) And  (P)  Krishnan  Kovil  Street  Block  4  ,  4.Karungulam  (R.V)  And  (P)
Pallivasal  Street  Block  4  ,  5.Karungulam  (R.V)  And  (P)  Utchimahaliamman Kovil  Street  Block  4  ,  6.Karungulam  (R.V)  And  (P)  Vanniyaraja  Kovil  Street
Block  4.  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,5.755395683453238
13,Thathankulam,"TNDTA  Middle  School,  CSI  Church  complex South  side  west  corner  facing  north, Thathankulam.","1.Karungulam  (R.V),  Thathenkulam  (P)  Pallivasal  Street  Block  1  , 2.Karungulam  (R.V),  Thathenkulam  (P)  Pallivasal  South  Street  Block  2  , 3.Karungulam  (R.V),  Thathenkulam  (P)  Annamalai  Street  Block  3  , 4.Karungulam  (R.V),  Thathenkulam  (P)  Vinayagar  Kovil  Street  Block  4  , 5.Karungulam  (R.V),  And  Thathenkulam  (P)  Pallivasal  South  Street  Block 1  ,  6.Karungulam  (R.V),  And  Thathenkulam  (P)  Annamalai  North  Street Block  2  ,  7.Karungulam  (R.V),  Thathenkulam  (P)  Kadasakudi  Street  Block 2  ,  8.Karungulam  (R.V),  Thathenkulam  (P)  Kallavandan  Kovil  Street  Block 2  ,  9.Karungulam  (R.V),  Thathenkulam  (P)  C.M.S  Kovil  Street  Block  2  , 10.Karungalam  (R.V),  Thathenkulam  (P)  Sekkadi  Street  Block  2  , 11.Karungalum  (R.V),  Thathenkulam  (P)  Vinayagar  Kovil  Street  Block  2  , 12.Karungulam  (R.V),  Thathenkulam  (P)  Bharathiyar  Street  Block  2  , 13.Karungulam  (R.V),  Thathenkulam  (P)  Vadamalai  Vinayagar  Kovil
Street  Block  4  ,  14.Karungulam  (R.V),  Thathenkulam  (P)  R.C.Kovil  Street
Block  2  ,  999.OVERSEAS  ELECTORS",All India Anna Dravida Munnetra Kazhagam,1.658374792703151
16,Melaseriyanthur,Panchayat  Union  Middle  School  S.  S.  A. North  Building  West  Portion  Melaseriyanthur,"1.Serakulam  (R.V)  And  (p)  Melasriyanthur  vedakovil  street  block  7  , 2.Serakulam  (R.V)  And  (P)  Melasriyanthur  South  Street  Block  7  , 3.Serakulam  (R.V)  And  (P)  Melasriyanthur  North  Street  Block  7  , 4.Serakulam  (R.V)  And  (P)  Magilchipuram  Vedakovil  Street  Block  8  , 5.Serakulam  (R.V)  And  (P)  Magilchipuram  North  Street  Block  8  , 6.Serakulam  (R.V)  And  (P)  Magilchipuram  South  Street  Block  8  , 7.Serakulam  (R.V)  And  (P)  Lakshmi  Narayanapuram  Block  9  , 999.OVERSEAS  ELECTORS",All India Anna Dravida Munnetra Kazhagam,1.176470588235294
25,Thiruvarangapatti,T.  N.  D.  T.  A.  Primary  School Thiruvarangapatti.,"1.Kalvai  (R.V)  And  (P)  Thiruvarankampatti  Block  6  ,  999.OVERSEAS ELECTORS",All India Anna Dravida Munnetra Kazhagam,4.829545454545454
26,Kalvai,Panchayat  Union  Primary  School  West Building  Kalvai,"1.Kalvai  (R.V)  And  (p)  Agraharam  block  1  ,  2.Kalvai  (R.V)  And  (P) Muthukrishnapuram  Block  1  ,  3.Kalvai  (R.V)  And  (P)  Mathakovil  Street Block  1  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,7.772020725388601
28,Vellur  Adichanallur,"T.N.D.T.A  Primary  School,  Vellur Adichanallur","1.Velurathichanallur  (R.V)  And  (P)  North  Street  Block  1  , 2.Velurathichanallur  (R.V)  And  (P)  Colony  South  Street  Block  2  , 999.OVERSEAS  ELECTORS",All India Anna Dravida Munnetra Kazhagam,6.726457399103139
33,Kongarayakurichi,"Govt  Higher  Secondary  School,  South  New Building,  Facing  North,  Kongarayakuruchi","1.Kongarayakurichi  (R.V)  And  (P)  Thevamar  MelaStreet,  PudumanaiStreet Block  6  ,  999.OVERSEAS  ELECTORS",All India Anna Dravida Munnetra Kazhagam,5.930470347648262
47,Mullanvilai,"ICDS  Building  South  Portion  East  Side, Mullanvilai.","1.Nattathi  (R.V)  And  (P)  Kumarapuram,  mullanvilai  block  1  , 999.OVERSEAS  ELECTORS",Indian National Congress,10.43478260869565
48,Selvamaninagar,"Govt  Community  Hall,  West  Portion, Selvamaninagar.","1.Nattathi  (R.V)  And  (P)  complite  Mullanvilai,Ammanpuram,  pattandivilai, Neelamaniap  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,0.7246376811594203
49,Nattathi,Nattatthi  Jamindhar  Vaikunda Thiruvaluthinadar  Memorial  Sangam Nattatthi,"1.Nattathi  (R.V)  And  (P)  Chinnanattathi  block  3  ,  2.Nattathi  (R.V)  And  (P) Kannadianvilai  Block  4  ,  3.Nattathi  (R.V)  And  (P)  Kombukaranpottal  Block 5  ,  4.Nattathi  (R.V)  And  (P)  Nattathi  Block  6  ,  5.Nattathi  (R.V)  And  (P) Vaikundapuram  Block  3  ,  999.OVERSEAS  ELECTORS",All India Anna Dravida Munnetra Kazhagam,6.5
51,Subramaniapuram,"T.  N.  D.  T.  A.  Primary  School,  South
Portion  North  Building,  Subramaniapuram","1.Sawyerpuram  (SGTP)  Pudunainarpuram  1  ward  9  ,  2.Sawyerpuram (SGTP)  Chettiar  Street  2  Ward  9  ,  3.Sawyerpuram  (SGTP)  ManiStreet  3 Ward  9  ,  4.Sawyerpuram  (SGTP)  UoorkavalanStreet  4  Ward  9  ,
5.Sawyerpuram  (SGTP)  PrasathStreet  5  Ward  9  ,  6.Sawyerpuram  (SGTP) SavierStreet  6  Ward  9  ,  7.Sawyerpuram  (SGTP)  Pathinathar  Street7  Ward 9  ,  8.Sawyerpuram  (SGTP)  Kovil  Street  8  Ward  9  ,  9.Sawyerpuram  (SGTP) SelvanStreet  9  Ward  9  ,  10.Sawyerpuram  (SGTP)  Nehru  Street10  Ward  9  , 11.Sawyerpuram  (SGTP)  Main  Road  Street  11  Ward  9  ,  999.OVERSEAS
ELECTORS",Indian National Congress,1.951219512195122
54,Naduvakkurichi,T.  N.  D.  T.  A.  Primary  School  West  Side Naduvakkuruchi,"1.Sawyerpuram  (SGTP)  Iruvappapuram  street  ward  12  ,  2.Sawyerpuram (SGTP)  Uchinimahaliamman  Kovil  Street  Block  12  ,  3.Sawyerpuram
(SGTP)  Sundaraj  nagar  Block  12  ,  4.Sawyerpuram  (SGTP) Harikrishnapuram  Block  12  ,  5.Sawyerpuram  (SGTP)  Mengnapuram  , 6.Sawyerpuram  (SGTP)  Machilamanipuram  ,  7.Sawyerpuram  (SGTP)
MainRoad  78  -  108.  269-29  Ward  7  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,10.25957972805933
55,Naduvakkurichi,T.  N.  D.  T.  A.Primary  School  East  Wing Naduvakkuruchi,"1.Sawyerpuram  (SGTP)  Nethagji  Ward  7  ,  2.Sawyerpuram  (SGTP)
PuduStreet  Ward  7  ,  3.Sawyerpuram  (SGTP)  AandalStreet  Ward  7  , 4.Sawyerpuram  (SGTP)  Kovil  Street  Ward  8  ,  5.Sawyerpuram  (SGTP) Center  Street  Ward  8  ,  6.Sawyerpuram  (SGTP)  Mihaval  Street  1  Ward  7  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,7.35826296743064
56,Naduvakkurichi,R.  C.  Middle  School  New  Block  North  Side Naduvakkuruchi,"1.Sawyerpuram  (SGTP)  Vinayagarkovil  Street  1  Ward  7  ,  2.Sawyerpuram (SGTP)  ParkStreet  Ward  6  ,  3.Sawyerpuram  (SGTP)  MihavalStreet  2  Ward 7  ,  4.Sawyerpuram  (SGTP)  Vinayagarkovil  Street  2  Ward  6  , 5.Sawyerpuram  (SGTP)  Bharathi  Street  Ward  6  ,  6.Sawyerpuram  (SGTP) Kamaraj  Street  Ward  6  ,  7.Sawyerpuram  (SGTP)  ChidamparamStreet Ward  6  ,  999.OVERSEAS  ELECTORS",All India Anna Dravida Munnetra Kazhagam,1.268498942917548
57,Naduvakkurichi,"R.  C.  Middle  School  New  Building  South Side,  Facing  East  Naduvakkuruchi","1.Sawyerpuram  (SGTP)  MainRoad  Block-6  ,  2.Sawyerpuram  (SGTP)
Ammankovil  Street  Ward  5  ,  3.Sawyerpuram  (SGTP)  North  Ratha  Veethi Ward  5  ,  4.Sawyerpuram  (SGTP)  Church  Street  Ward  5  ,  5.Sawyerpuram (SGTP)  Kachicherry  Street  Ward  5  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,6.537890044576524
59,Sebatthaiyapuram,R.C  Middle  School  East  Side  New  Building South  Portion  Facing  West  Sebatthiapuram,"1.Sawyerpuram  (SGTP)  Vinayagar  Kovil  East  Street  Block  3  , 2.Sawyerpuram  (SGTP)  VinayagarKovil  Street  Ward  13  ,  999.OVERSEAS ELECTORS",All India Anna Dravida Munnetra Kazhagam,1.796407185628742
60,Sebatthaiyapuram,"R.C  Middle  School  South  Side  New Building  East  Portion,  Sebatthiapuram","1.Sawyerpuram  (SGTP)  GopalakrishnanStreet  Ward  13  ,  999.OVERSEAS ELECTORS",All India Anna Dravida Munnetra Kazhagam,2.857142857142857
61,Sebatthaiyapuram,Arul  Mighu  Muthumalaiamman  Hindu Primary  School  West  Side  Sebatthaiyapuram,"1.Sawyerpuram  (SGTP)  Rajagopal  street  ward  14  ,  2.Sawyerpuram  (SGTP) Keelarathaveethi  Ward  14  ,  3.Sawyerpuram  (SGTP)  MainRoad  145to234 Ward  14  ,  4.Sawyerpuram  (SGTP)  Samykovil  Street  Ward  14  Complete  , 5.Sawyerpuram  (SGTP)  Kamarajar  Street  Ward  14  ,  6.Sawyerpuram
(SGTP)  Post  Office  Street  Ward  14  ,  7.Sawyerpuram  (SGTP)  Main  Road
Ward  14  ,  999.OVERSEAS  ELECTORS",All India Anna Dravida Munnetra Kazhagam,8.823529411764707
65,Kovankadu,"TNDTA  Middle  School,West  Building,South side,Kovankadu.","1.Iruvappa  puram  2  (R.V)  And  (P)  Kovankadu  (P)  North  street  block  1  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,5.0
67,Palayakayal,Punitha  Antoniyar  Higher.  Sec.  School  West portion  Xavier  Hall  Pazhayakayal,"1.Pazhayakayal  (R.V)  And  (P)  Kamarajapuram  block  1  ,  2.Pazhayakayal (R.V)  And  (P)  Kacheri  Street  Block  1  ,  3.Pazhayakayal  (R.V)  And  (P)  Main
Road  Block  1  ,  4.Pazhayakayal  (R.V)  And  (P)  Sabasthiyar  Street  Block  1  , 5.Pazhayakayal  (R.V)  And  (P)  Arunthathiyar  Street  Block  1  ,
999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,21.75438596491228
68,Palayakayal,"Punitha  Anthonyar  Higher  Sec.  School,  East Portion  Xavier  Hall,  Pazhayakayal","1.Pazhayakayal  (R.V)  And  (P)  Sabasthiyar  Street  Block  3  ,  2.Pazhayakayal (R.V)  And  (P)  Christian  Street  Block  3  ,  3.Pazhayakayal  (R.V)  And  (P)  Roch Street  Block  3  ,  4.Pazhayakayal  (R.V)  And  (P)  Indira  Colony  Block  3  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,17.27078891257996
69,Palayakayal,"Punitha  Antoniyar  Higher  Sec.  School  North Building  East  Portion,  Pazhayakayal","1.Pazhayakayal  (R.V)  And  (P)  Eractianyapuram  block  2  ,  2.Pazhayakayal (R.V)  And  (P)  Nadar  Street  Block  2  ,  3.Pazhayakayal  (R.V)  And  (P) Amburose  Street  Block  2  ,  4.Pazhayakayal  (R.V)  And  (P)  Paripoorana
Street  Block  2  ,  5.Pazhayakayal  (R.V)  And  (P)  Ganesha  Nagar  Block  2  ,
999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,20.90112640801001
70,Palayakayal,"Punitha  Antoniyar  Higher  Sec.  School  North Building,  West  Portion,  Pazhayakayal","1.Pazhayakayal  (R.V)  And  (P)  Maravar  street  block  4  ,  999.OVERSEAS ELECTORS",Indian National Congress,5.901639344262295
72,Palayakayal,Punitha  Antoniar  Primary  School  East Portion  Facing  North  Pazhayakayal,"1.Pazhayakayal  (R.V)  And  (P)  Ramachandrapuram  Block  5  ,
2.Pazhayakayal  (R.V)  And  (P)  Sarvethapuri  Block  5,  3.  Pazhayakayal  (R.V) And  (P)  Zirconium  Complex,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,18.12749003984064
73,Manjalneerkayal,T.  N.  D.  T.  A.  Primary  School  Manjaneerkayal,"1.Manjalneerkayal  (R.V)  And  (P)  Colony  street  block  1  ,  2.ManjalNeerkayal (R.V)  And  (P)  North  Street  Block  1  ,  3.Manjalneerkayal  (R.V)  And  (P)  South Street  Block  2  ,  4.Manjalneerkayal  (R.V)  And  (P)  Rise  Mill  Street  Block  2  , 5.Manjalneerkayal  (R.V)  And  (P)  Chidambaranagar  Block  2  ,
6.Manjalneerkayal  (R.V)  And  (P)  Twad  Board  Block  2  ,  999.OVERSEAS
ELECTORS",Tamilaga Vettri Kazhagam,2.240896358543417
74,Agaram,"T.  N.  D.  T.  A.  Middle  School  West  Building, Facing  East  Agaram","1.Agaram  (R.V)  And  (P)  Colony  Street  Block  1  ,  2.Agaram  (R.V)  And  (P) North  Street  Block  1  ,  3.Agaram  (R.V)  And  (P)  West  Street  Block  1  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,0.1623376623376623
76,Mukkani,"Punitha  Antoniyar  R.  C.  Middle  School
East  Side  Building  West  Portion,  Facing South  Mukkani","1.Mukkani  (R.V)  And  (P)  Melaparadhar  Street  Block  8  ,  2.Mukkani  (R.V) And  (P)  Arisana  Street  Block  8  ,  3.Mukkani  (R.V)  And  (P)  Main  Road  Block 9  ,  4.Mukkani  (R.V)  And  (P)  Vannar  Street  Block  9  ,  5.Mukkani  (R.V)  And
(P)  MelaNadar  Street  Block  9  ,  6.Mukkani  (R.V)  And  (P)  Pillaimar  Street
Block  9  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,12.66568483063328
78,Mukkani,"Panchayat  Union  Middle  School North  Building,  Mukkani","1.Mukkani  (R.V)  And  (P)  Kurividurai  Block  1  ,  2.Mukkani  (R.V)  And  (P) Kurividurai  Block  2  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,9.959349593495936
81,Mukkani,"Government  Hr.,  sec.,  School  South  Building West  Portion  Mukkani","1.Mukkani  (R.V)  And  (P)  Part  Mukkani  Block  6  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,20.49689440993789
84,Umarikadu,"Govt  Hr,  Sec,  School  (West  Wing)  Umerikadu","1.Korkai  (R.V),  Umarikadu  (P)  Ambedkar  street  block  4  ,  2.Korkai  (R.V),
Umarikadu  (P)  Aatangkarai  Street  Block  4  ,  3.Korkai  (R.V),  Umarikadu  (P) Barathiyar  Street  Block  4  ,  4.Korkai  (R.V),  Umarikadu  (P)  Main  Road Block  4  ,  5.Korkai  (R.V),  Umarikadu  (P)  Main  Road  Block  5  ,  6.Korkai (R.V),  Umarikadu  (P)  Nadar  South  Street  Block  5  ,  7.Korkai  (R.V),
Umarikadu  (P)  Gulalar  North  Street  Block  5  ,  999.OVERSEAS  ELECTORS",All India Anna Dravida Munnetra Kazhagam,2.518891687657431
85,Edaiarkadu,T.  N.  D.  T.  A.  Primary  School  Centre  hall Edaiarkadu,"1.Maramangalam  (R.V),  Edaiarkadu  (P)  Pudukulam  Kadodiur  Block  1  , 2.Maramangalam  (R.V),  Edaiarkadu  (P)  Mela  sambadi  Block  1  , 3.Maramangalam  (R.V),  Edaiarkadu  (P)  Elumitchaiyadiyour  Block  2  , 4.Maramangalam  (R.V),  Edaiarkadu  (P)  Keela  Sambadi  Block  2  , 5.Maramangalam  (R.V),  Edaiarkadu  (P)  Sambadi  Colony  Block  2  , 6.Maramangalam  (R.V),  Edaiarkadu  (P)  KillasambadiStreet  2  Block  2  , 7.Maramangalam  (R.V),  Edaiarkadu  (P)  ThalavaaiPuram  Block  3  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,15.35483870967742
