Polling_Station_No,location_clean,total of valid votes,Total_Independent_Votes,Winner_Party,Margin_Of_Victory,Independent_Vote_Share_%,Is_Spoiler_Risk
242,East Side Ayanpappakudi -625012,922,15,tamilaga vettri kazhagam,149,1.626898047722343,No
164,Soorakulam-625008,525,7,tamilaga vettri kazhagam,11,1.333333333333333,No
340,"Panchayat Union Elementary School Near H M Room
Tottiyapatti",383,5,dravida munnetra kazhagam,38,1.305483028720626,No
349,Nallur-625022,550,7,dravida munnetra kazhagam,24,1.272727272727273,No
323,Chinna Udaippu-625022,746,9,tamilaga vettri kazhagam,106,1.206434316353887,No
351,Virathanoor-625009,765,9,dravida munnetra kazhagam,71,1.176470588235294,No
343,"Nedumadurai-
625022",901,10,tamilaga vettri kazhagam,279,1.109877913429523,No
339,"central
building Periyaalangulam-625022",729,8,tamilaga vettri kazhagam,44,1.097393689986282,No
202,"Avaniyapuram -
625012",660,7,tamilaga vettri kazhagam,195,1.060606060606061,No
341,Othai Alangulam-625022,1002,10,tamilaga vettri kazhagam,9,0.998003992015968,Yes
344,"Nedumadurai-
625022",733,7,tamilaga vettri kazhagam,132,0.9549795361527967,No
326,Solankuruni- 625022,879,8,tamilaga vettri kazhagam,240,0.9101251422070534,No
346,Parapathi-625022,1107,10,tamilaga vettri kazhagam,423,0.9033423667570009,No
163,Soorakulam-625008,570,5,tamilaga vettri kazhagam,75,0.8771929824561403,No
216,Avaniapuram-625012,472,4,tamilaga vettri kazhagam,160,0.847457627118644,No
305,Puliyankulam-625201,728,6,tamilaga vettri kazhagam,162,0.8241758241758242,No
219,Avaniyapuram - 625012,373,3,tamilaga vettri kazhagam,81,0.8042895442359249,No
243,"Govt High School Main Building North Side Ayanppakudi -
625012",520,4,tamilaga vettri kazhagam,118,0.7692307692307693,No
258,Periyasamy Nagar Avaniyapuram,393,3,tamilaga vettri kazhagam,67,0.7633587786259541,No
37,"South building East
portion Keelakuilkudi-625019",661,5,tamilaga vettri kazhagam,167,0.7564296520423601,No
158,Koothiyarkundu-625008,540,4,tamilaga vettri kazhagam,60,0.7407407407407408,No
309,Silaiman-625201,681,5,tamilaga vettri kazhagam,21,0.7342143906020557,No
160,Koothiyarkundu-625008,546,4,dravida munnetra kazhagam,4,0.7326007326007326,No
50,Vedarpuliyankulam-625006,959,7,dravida munnetra kazhagam,31,0.7299270072992701,No
249,Center Portion Ayanpappakudi -625012,824,6,tamilaga vettri kazhagam,162,0.7281553398058253,No
88,"Thirunagar-
625006",553,4,tamilaga vettri kazhagam,176,0.7233273056057866,No
151,Nilaiyur-625005,701,5,tamilaga vettri kazhagam,271,0.7132667617689016,No
337,"Valayapatti -
625022",567,4,dravida munnetra kazhagam,54,0.7054673721340388,No
261,Chinna Anuppanadi-625009,851,6,tamilaga vettri kazhagam,38,0.7050528789659225,No
23,"Northern Portion
Nagamalai Pudukottai -625019",725,5,tamilaga vettri kazhagam,98,0.6896551724137931,No
10,Alampatti - 625019,601,4,tamilaga vettri kazhagam,112,0.6655574043261231,No
230,Avaniapuram-625012,766,5,tamilaga vettri kazhagam,4,0.6527415143603132,Yes
207,Avaniapuram-625012,619,4,tamilaga vettri kazhagam,165,0.6462035541195477,No
199,Avaniyapuram-625012,775,5,tamilaga vettri kazhagam,61,0.6451612903225806,No
8,Akshara Matriculaction School (East Portion) Rajambadi,315,2,tamilaga vettri kazhagam,21,0.6349206349206349,No
269,625009,790,5,tamilaga vettri kazhagam,246,0.6329113924050633,No
2,"Vellaiparaipatti-
625019",804,5,tamilaga vettri kazhagam,2,0.6218905472636816,Yes
94,Thirunagar-625006,485,3,tamilaga vettri kazhagam,78,0.6185567010309279,No
239,Centre Building Avaniapuram-625012,487,3,tamilaga vettri kazhagam,48,0.6160164271047228,No
288,Chinthamani-625009,813,5,tamilaga vettri kazhagam,192,0.6150061500615006,No
250,Room No 3 Thiruparankundram Road Avaniyapuram-625012,817,5,tamilaga vettri kazhagam,247,0.6119951040391677,No
35,Ben Matriculation School (Western Portion) Vadivelkarai,492,3,tamilaga vettri kazhagam,36,0.6097560975609756,No
271,Mela Anuppanadi -625009,494,3,tamilaga vettri kazhagam,149,0.6072874493927125,No
268,Chinthamani Road -625009,829,5,tamilaga vettri kazhagam,263,0.6031363088057901,No
235,Avaniapuram-625012,679,4,tamilaga vettri kazhagam,48,0.5891016200294551,No
66,Thanakkankulam-625006,857,5,tamilaga vettri kazhagam,178,0.5834305717619603,No
301,Viraganoor-625009,866,5,tamilaga vettri kazhagam,138,0.5773672055427251,No
233,Avaniapuram-625012,697,4,tamilaga vettri kazhagam,62,0.5738880918220948,No
287,Anganwadi Centre west side new building Chinthamani 625009,878,5,tamilaga vettri kazhagam,188,0.5694760820045558,No
240,Avaniapuram-625012,709,4,tamilaga vettri kazhagam,78,0.5641748942172073,No
270,Mela Anuppanadi -625009,714,4,tamilaga vettri kazhagam,155,0.5602240896358543,No
172,"North Side
Ayanpappakudi -625012",894,5,tamilaga vettri kazhagam,233,0.5592841163310962,No
332,Valayankulam-625022,895,5,tamilaga vettri kazhagam,199,0.5586592178770949,No
292,Iravthanallur-625009,897,5,tamilaga vettri kazhagam,70,0.5574136008918618,No
6,East Facing North Portion Nagamalaipudur Vadapalanji - 625019,724,4,tamilaga vettri kazhagam,59,0.5524861878453038,No
189,Villapuram,728,4,tamilaga vettri kazhagam,118,0.5494505494505495,No
42,(South side)Sakkilipatti-625021,546,3,all india anna dravida munnetra kazhagam,39,0.5494505494505495,No
327,Solankuruni - 625022,756,4,tamilaga vettri kazhagam,183,0.5291005291005291,No
294,Iravathanallur - 625009,952,5,tamilaga vettri kazhagam,295,0.5252100840336135,No
238,Avaniapuram,765,4,tamilaga vettri kazhagam,164,0.522875816993464,No
196,Avaniyapuram-625012,590,3,tamilaga vettri kazhagam,91,0.5084745762711864,No
167,Perungudi-625022,592,3,tamilaga vettri kazhagam,105,0.5067567567567568,No
286,Chinthamani Road -625009,798,4,tamilaga vettri kazhagam,218,0.5012531328320802,No
303,Viraganoor - 625009,599,3,tamilaga vettri kazhagam,35,0.5008347245409015,No
316,Panaiyur-625009,802,4,tamilaga vettri kazhagam,43,0.4987531172069825,No
73,Vilacheri-625006,807,4,dravida munnetra kazhagam,70,0.4956629491945477,No
293,Anganvadi Center Southern Side Iravthanallur-625009,810,4,tamilaga vettri kazhagam,48,0.4938271604938271,No
161,Karuvelampatti -625008,810,4,dravida munnetra kazhagam,17,0.4938271604938271,No
80,West Building South Portion Thirunagar-625006,622,3,tamilaga vettri kazhagam,49,0.482315112540193,No
224,Avaniyapuram -625012,625,3,tamilaga vettri kazhagam,107,0.48,No
64,"Thiruvalluvar nagar
Thanakkankulam-625006",839,4,tamilaga vettri kazhagam,205,0.4767580452920143,No
152,Nilaiyur-625005,843,4,tamilaga vettri kazhagam,295,0.4744958481613286,No
317,Samanatham-625009,846,4,tamilaga vettri kazhagam,147,0.4728132387706856,No
57,West Building West Portion Thanakankulam 625006,852,4,tamilaga vettri kazhagam,58,0.4694835680751174,No
248,Avaniapuram - 625012,854,4,tamilaga vettri kazhagam,199,0.468384074941452,No
126,Tiruparankundram -625005,855,4,tamilaga vettri kazhagam,144,0.4678362573099416,No
347,Eliyarpathi-625022,1078,5,tamilaga vettri kazhagam,110,0.463821892393321,No
320,Perumanendal-625012,865,4,tamilaga vettri kazhagam,20,0.4624277456647399,No
345,Parapathi-625022,870,4,tamilaga vettri kazhagam,408,0.4597701149425287,No
171,"East Building South Portion.
Perungudi -6250222",662,3,tamilaga vettri kazhagam,98,0.4531722054380665,No
335,Valayankulam-625022,884,4,tamilaga vettri kazhagam,222,0.4524886877828055,No
31,Nagamalai Pudukottai -625019,663,3,tamilaga vettri kazhagam,53,0.4524886877828055,No
91,Thirunagar-625006,665,3,tamilaga vettri kazhagam,98,0.4511278195488722,No
333,Valayankulam-625022,677,3,tamilaga vettri kazhagam,163,0.4431314623338257,No
154,Nilaiyur-625005,905,4,tamilaga vettri kazhagam,386,0.4419889502762431,No
203,Avanipuram -625012,679,3,tamilaga vettri kazhagam,231,0.4418262150220913,No
149,Nilaiyur-625005,682,3,tamilaga vettri kazhagam,340,0.4398826979472141,No
181,"4 std Class Room
Avaniyapuram-625012",683,3,tamilaga vettri kazhagam,138,0.4392386530014641,No
179,625012,687,3,tamilaga vettri kazhagam,146,0.4366812227074235,No
284,Chinthamani-625009,688,3,tamilaga vettri kazhagam,184,0.436046511627907,No
41,South building Melakuilkudi-625019,918,4,tamilaga vettri kazhagam,184,0.4357298474945534,No
140,South Building North side Room No-1,697,3,tamilaga vettri kazhagam,127,0.430416068866571,No
273,Mela Anuppanadi -625009,702,3,tamilaga vettri kazhagam,154,0.4273504273504274,No
328,South Building Solankuruni - 625022,706,3,tamilaga vettri kazhagam,142,0.424929178470255,No
142,North Side,706,3,tamilaga vettri kazhagam,154,0.424929178470255,No
43,Chinnasakkilipatti-625021,473,2,tamilaga vettri kazhagam,5,0.4228329809725159,No
352,Nedunkulam-625009,710,3,dravida munnetra kazhagam,10,0.4225352112676056,No
255,Madurai-625012,711,3,tamilaga vettri kazhagam,17,0.4219409282700421,No
36,"south building west
portion Keelakuilkudi-625019",714,3,dravida munnetra kazhagam,33,0.4201680672268908,No
247,West Side Ayanpappakudi -625012,724,3,tamilaga vettri kazhagam,159,0.4143646408839779,No
33,Vadivelkarai-625019,997,4,tamilaga vettri kazhagam,126,0.4012036108324975,No
193,-625012,748,3,tamilaga vettri kazhagam,113,0.4010695187165776,No
338,"Near
Gate Periyaalangulam-625022",998,4,tamilaga vettri kazhagam,6,0.4008016032064128,No
1,Vadapalanji -625019,754,3,all india anna dravida munnetra kazhagam,12,0.3978779840848806,No
217,South side South Portion Avaniyapuram,760,3,tamilaga vettri kazhagam,246,0.3947368421052632,No
313,East Side Panaiyur-625009,763,3,tamilaga vettri kazhagam,27,0.3931847968545216,No
280,"Mela Anuppanadi-
625012-625009",767,3,tamilaga vettri kazhagam,252,0.3911342894393742,No
253,Avaniyapuram-625012,779,3,tamilaga vettri kazhagam,36,0.3851091142490373,No
315,West Facing Room No 1 Kallambal- 625009,782,3,all india anna dravida munnetra kazhagam,130,0.3836317135549872,No
26,Kilaneri-625019,523,2,dravida munnetra kazhagam,50,0.3824091778202677,No
194,"North Portion M M C
Colony Avaniyapuram-625012",529,2,tamilaga vettri kazhagam,87,0.3780718336483932,No
124,Tiruparankundram -625005,796,3,tamilaga vettri kazhagam,106,0.3768844221105527,No
289,Chinthamani-625009,797,3,tamilaga vettri kazhagam,310,0.3764115432873275,No
132,Tiruparankundram -625005,801,3,tamilaga vettri kazhagam,104,0.3745318352059925,No
209,Center Room Avaniapuram-625012,810,3,tamilaga vettri kazhagam,252,0.3703703703703704,No
279,Mela Anuppanadi-625012-625009,823,3,tamilaga vettri kazhagam,281,0.3645200486026731,No
308,Silaiman-625201,824,3,tamilaga vettri kazhagam,114,0.3640776699029126,No
272,Mela Anuppanadi -625009,551,2,tamilaga vettri kazhagam,221,0.3629764065335753,No
