Polling_Station_No,location_clean,polling areas,Winner_Party,Runner_Up_Party,Margin_Of_Victory,Margin_Percentage
1,Vadapalanji -625019,"1.Vadapalanji (R.V) Vadapalanji (P) Vadapalanji Ward1
2.Vadapalanji (R.V) Vadapalanji (P) Sundarasapuram Ward 1",all india anna dravida munnetra kazhagam,dravida munnetra kazhagam,12,1.591511936339522
2,"Vellaiparaipatti-
625019","1Vadapalanji (R.V) Vadapalanji (P) Manapattii ward 1.
2.Vadapalanji (R.V) Vadapalanji (P) Vellaiparai Patti Ward 1",tamilaga vettri kazhagam,dravida munnetra kazhagam,2,0.2487562189054726
5,Muthupatti-625019,"1.Vadapalanji (R.V) Vadapalanji (P) Nagamalai Pudur Ward 3 2.Vadapalanji (R.V) Vadapalanji (P) Aravali Nagar, Palkalai Nagar Ward 2
3.Vadapalanji (R.V) Vadapalanji (P) Palkalai Nagar Quarters (Adukumadi) Ward-4",tamilaga vettri kazhagam,dravida munnetra kazhagam,18,4.651162790697675
7,"East Facing West
Portion Nagamalaipudur Vadapalanji - 625019","1.Vadapalanji (R.V) Vadapalanji (P) Nagamalai Pudur Ward 3
2.Vadapalanji (R.V) Vadapalanji (P) M.R.S.University Quarters ward 4",dravida munnetra kazhagam,tamilaga vettri kazhagam,3,0.6818181818181818
12,Karadipatti -625019,"1.Karadipatti (R.V) Karadipatti (P) Perumalmalai Ward 3 ,
2.Karadipatti (R.V) Karadipatti (P) Karadipatti Ward 3",tamilaga vettri kazhagam,dravida munnetra kazhagam,31,4.675716440422323
17,Nagamalaipudukkottai -625019,"1.Vilacheri (R.V) Nagamalaipudukottai(P) East Street Ward 1 2.Vilacheri (R.V) Nagamalaipudukottai East Street Ward 2
3.Vilacheri (R.V) Nagamalaipudukottai (P) Manthai Street Ward 1",all india anna dravida munnetra kazhagam,tamilaga vettri kazhagam,18,2.682563338301043
21,Nagamalai Pudukottai -625019,"1 - Vilacheri (R.V) Nagamalaipudukottai (P), Harijana colony Mela Theru ward 3 (Sl.No 702 to 1042)
2 - Vilacheri (R.V) Nagamalaipudukottai (P), Pavalar Estate ward 3",tamilaga vettri kazhagam,dravida munnetra kazhagam,6,1.327433628318584
22,Nagamalai Pudukottai -625019,"1.Vilacheri (R.V) Nagamalaipudukottai (P) Ambethkar Nagar Harijana Colony Ward 4 2.Vilacheri (R.V) Nagamalaipudukottai (P) Harijana Colony Keela Street Ward4 3.Vilacheri (R.V) Nagamalaipudukottai (P) Nagamalaipudukottai Ward 4
4.Vilacheri (R.V) Nagamalaipudukottai (P) Ambethkar Nagar Middle School Street Ward 4 5.Vilacheri (R.V) Nagamalaipudukottai (P) Muniyandi Kovil Street Ward 4",dravida munnetra kazhagam,tamilaga vettri kazhagam,33,3.695408734602464
28,Nagamalai Pudukottai-625019,"1.Vilacheri (R.V) Nagamalaipudukottai (P) Mahatma Gandhi Street Ward 7 2.Vilacheri (R.V) Nagamalaipudukottai (P) Bharathidasan Street Ward 7 3.Vilacheri (R.V) Nagamalaipudukottai (P) Bharathiar Street ard 7 4.Vilacheri (R.V) Nagamalaipudukottai (P) Periyar Street Ward 7  5.Vilacheri (R.V) Nagamalaipudukottai (P) Venkatraman Nagar Ward7 6.Vilacheri (R.V) Nagamalaipudukottai (P) Muthuramalingam Street Ward 7 7.,Vilacheri (R.V) Nagamalaipudukottai (P) Nakkeerar Street Ward 7 ,",tamilaga vettri kazhagam,dravida munnetra kazhagam,22,3.374233128834356
30,Nagamalai Pudukottai-625019,"1.Vilacheri (R.V) Nagamalaipudukottai (P) Kumarasami Raja Street Ward 7 2.Vilacheri (R.V) Nagamalaipudukottai (P) Omanthurar Street Ward 7 3.Vilacheri (R.V) Nagamalaipudukottai (P) Kamarajar Street Ward 7 4.Vilacheri (R.V) Nagamalaipudukottai (P) Radhakrishnan Street Ward 7 5.Vilacheri (R.V) Nagamalaipudukottai (P) Kambar Street Ward 7 6.Vilacheri (R.V) Nagamalaipudukottai (P) Bakthavathsalam Street Ward 7.Vilacheri (R.V) Nagamalaipudukottai (P) V.V.Giri Street Ward 7
8.Vilacheri (R.V) Nagamalaipudukottai (P) Theni MainRoad, S.V.N College Opposite Ward7 9.Vilacheri (R.V) Nagamalaipudukottai (P) Balasubramanian Street Ward 7",dravida munnetra kazhagam,tamilaga vettri kazhagam,16,4.456824512534819
