Polling_Station_No,location_clean,total of valid votes,Total_Independent_Votes,Winner_Party,Margin_Of_Victory,Independent_Vote_Share_%,Is_Spoiler_Risk
242,Iravthanallur-625009,922,15,tamilaga vettri kazhagam,149,1.626898047722343,No
164,North Portion M M C Colony Avaniyapuram-625012,525,7,tamilaga vettri kazhagam,11,1.333333333333333,No
202,Avaniyapuram -625012.,660,7,tamilaga vettri kazhagam,195,1.060606060606061,No
163,Villapuram.-625012,570,5,tamilaga vettri kazhagam,75,0.8771929824561403,No
216,Chinna Anuppanadi.,472,4,tamilaga vettri kazhagam,160,0.847457627118644,No
219,Chinthamani Road -625009.,373,3,tamilaga vettri kazhagam,81,0.8042895442359249,No
243,Iravathanallur.-625009,520,4,tamilaga vettri kazhagam,118,0.7692307692307693,No
258,Silaiman-625201,393,3,tamilaga vettri kazhagam,67,0.7633587786259541,No
37,Thenpalanji-625021,661,5,tamilaga vettri kazhagam,167,0.7564296520423601,No
158,(Near Avaniyapuram Out Post Police Station).-625012,540,4,tamilaga vettri kazhagam,60,0.7407407407407408,No
160,south side portion Room No. 2 villapuram.-625012,546,4,dravida munnetra kazhagam,4,0.7326007326007326,No
50,Thanakkankulam-625006,959,7,dravida munnetra kazhagam,31,0.7299270072992701,No
249,Viraganoor.-625009,824,6,tamilaga vettri kazhagam,162,0.7281553398058253,No
88,"Near
H.M. Room Pasumalai-625004",553,4,tamilaga vettri kazhagam,176,0.7233273056057866,No
151,Avaniyapuram-625012,701,5,tamilaga vettri kazhagam,271,0.7132667617689016,No
261,Panaiyur-625009,851,6,tamilaga vettri kazhagam,38,0.7050528789659225,No
23,Nagamalai Pudukottai-625019.,725,5,tamilaga vettri kazhagam,98,0.6896551724137931,No
10,Karadipatti.-625019,601,4,tamilaga vettri kazhagam,112,0.6655574043261231,No
230,Mela Anuppanadi-625009,766,5,tamilaga vettri kazhagam,4,0.6527415143603132,Yes
207,625012.,619,4,tamilaga vettri kazhagam,165,0.6462035541195477,No
199,Avaniapuram-625012.,775,5,tamilaga vettri kazhagam,61,0.6451612903225806,No
8,Alampatti - 625019.,315,2,tamilaga vettri kazhagam,21,0.6349206349206349,No
269,Chinna Udaippu-625022,790,5,tamilaga vettri kazhagam,246,0.6329113924050633,No
2,Vellaiparaipatti,804,5,tamilaga vettri kazhagam,2,0.6218905472636816,Yes
94,CentrePortion Thiruparankundram-625005,485,3,tamilaga vettri kazhagam,78,0.6185567010309279,No
239,Chinthamani-625009.,487,3,tamilaga vettri kazhagam,48,0.6160164271047228,No
288,Parapathi-625022,813,5,tamilaga vettri kazhagam,192,0.6150061500615006,No
250,Southern Portion Viraganoor-625009,817,5,tamilaga vettri kazhagam,247,0.6119951040391677,No
35,Sakkilipatti-625021,492,3,tamilaga vettri kazhagam,36,0.6097560975609756,No
271,Solankuruni- 625022,494,3,tamilaga vettri kazhagam,149,0.6072874493927125,No
268,Chinna Udaippu-625022.,829,5,tamilaga vettri kazhagam,263,0.6031363088057901,No
235,Chinthamani Road -625009.,679,4,tamilaga vettri kazhagam,48,0.5891016200294551,No
66,(West Side) Thirunagar-625006,857,5,tamilaga vettri kazhagam,178,0.5834305717619603,No
233,Chinthamani-625009.,697,4,tamilaga vettri kazhagam,62,0.5738880918220948,No
287,"Nedumadurai-
625022",878,5,tamilaga vettri kazhagam,188,0.5694760820045558,No
240,Iravthanallur-625009,709,4,tamilaga vettri kazhagam,78,0.5641748942172073,No
270,Transport Nagar Papanodai - 625022,714,4,tamilaga vettri kazhagam,155,0.5602240896358543,No
172,Avanipuram.-625012,894,5,tamilaga vettri kazhagam,233,0.5592841163310962,No
292,Nallur-625022.,897,5,tamilaga vettri kazhagam,70,0.5574136008918618,No
6,East Facing North Portion Nagamalaipudur Vadapalanji - 625019,724,4,tamilaga vettri kazhagam,59,0.5524861878453038,No
42,Vedarpuliyankulam-625006,546,3,all india anna dravida munnetra kazhagam,39,0.5494505494505495,No
189,Avaniyapuram.-625012,728,4,tamilaga vettri kazhagam,118,0.5494505494505495,No
294,Virathanoor-625009.,952,5,tamilaga vettri kazhagam,295,0.5252100840336135,No
238,Chinthamani-625009,765,4,tamilaga vettri kazhagam,164,0.522875816993464,No
196,Avaniapuram-625012.,590,3,tamilaga vettri kazhagam,91,0.5084745762711864,No
167,MMC Colony Avaniyapuram-625012,592,3,tamilaga vettri kazhagam,105,0.5067567567567568,No
286,Nedumadurai-625022,798,4,tamilaga vettri kazhagam,218,0.5012531328320802,No
73,Thirunagar-625006,807,4,dravida munnetra kazhagam,70,0.4956629491945477,No
161,M M C Colony Avaniyapuram-625012,810,4,dravida munnetra kazhagam,17,0.4938271604938271,No
293,Virathanoor-625009,810,4,tamilaga vettri kazhagam,48,0.4938271604938271,No
80,Thirunagar-625006,622,3,tamilaga vettri kazhagam,49,0.482315112540193,No
224,Mela Anuppanadi.-625009,625,3,tamilaga vettri kazhagam,107,0.48,No
64,(East side) Thirunagar-625006,839,4,tamilaga vettri kazhagam,205,0.4767580452920143,No
152,Avaniyapuram.-625012,843,4,tamilaga vettri kazhagam,295,0.4744958481613286,No
57,Vilacheri-625006,852,4,tamilaga vettri kazhagam,58,0.4694835680751174,No
248,Viraganoor-625009.,854,4,tamilaga vettri kazhagam,199,0.468384074941452,No
126,Nilaiyur I Bit-625005,855,4,tamilaga vettri kazhagam,144,0.4678362573099416,No
171,Avaniyapuram.-625012,662,3,tamilaga vettri kazhagam,98,0.4531722054380665,No
31,South building East portion Keelakuilkudi-625019,663,3,tamilaga vettri kazhagam,53,0.4524886877828055,No
91,Pasumalai-625004,665,3,tamilaga vettri kazhagam,98,0.4511278195488722,No
154,Villapuram.-625012,905,4,tamilaga vettri kazhagam,386,0.4419889502762431,No
203,Avaniapuram -625012.,679,3,tamilaga vettri kazhagam,231,0.4418262150220913,No
149,North Side Ayanpappakudi.-625012,682,3,tamilaga vettri kazhagam,340,0.4398826979472141,No
181,Avaniapuram-625012.,683,3,tamilaga vettri kazhagam,138,0.4392386530014641,No
179,(North) Avaniapuram-625012.,687,3,tamilaga vettri kazhagam,146,0.4366812227074235,No
284,Othai Alangulam-625022,688,3,tamilaga vettri kazhagam,184,0.436046511627907,No
41,Munandipatti-625008,918,4,tamilaga vettri kazhagam,184,0.4357298474945534,No
140,"Karuvelampatti.-
625008",697,3,tamilaga vettri kazhagam,127,0.430416068866571,No
273,"Parambupattii-
625022",702,3,tamilaga vettri kazhagam,154,0.4273504273504274,No
142,Soorakulam-625008,706,3,tamilaga vettri kazhagam,154,0.424929178470255,No
43,Vedarpuliyankulam-625006,473,2,tamilaga vettri kazhagam,5,0.4228329809725159,No
255,Silaiman-625201,711,3,tamilaga vettri kazhagam,17,0.4219409282700421,No
36,Thenpalanji-625021,714,3,dravida munnetra kazhagam,33,0.4201680672268908,No
247,Viraganoor-625009.,724,3,tamilaga vettri kazhagam,159,0.4143646408839779,No
33,East building Melakuilkudi-625019,997,4,tamilaga vettri kazhagam,126,0.4012036108324975,No
193,Avaniapuram-625012.,748,3,tamilaga vettri kazhagam,113,0.4010695187165776,No
1,Vadapalanji -625019,754,3,all india anna dravida munnetra kazhagam,12,0.3978779840848806,No
217,625009.,760,3,tamilaga vettri kazhagam,246,0.3947368421052632,No
280,Valayapatti-625022,767,3,tamilaga vettri kazhagam,252,0.3911342894393742,No
253,Puliyankulam-625201,779,3,tamilaga vettri kazhagam,36,0.3851091142490373,No
