Polling_Station_No,location_clean,Dominant_Party_In_Booth,Dominant_Party_Votes,Margin_Of_Victory
1,Vadapalanji -625019,all india anna dravida munnetra kazhagam,247,12
2,Vellaiparaipatti,tamilaga vettri kazhagam,254,2
3,Vadapalanji -625019,dravida munnetra kazhagam,352,216
4,"East Building ( Southern Portion)
Vadapalanji Muthupatti-625019",tamilaga vettri kazhagam,393,89
5,Muthupatti-625019,tamilaga vettri kazhagam,149,18
6,East Facing North Portion Nagamalaipudur Vadapalanji - 625019,tamilaga vettri kazhagam,295,59
7,"East Facing South Portion Nagamalaipudur Vadapalanji -
625019",dravida munnetra kazhagam,155,3
8,Alampatti - 625019.,tamilaga vettri kazhagam,116,21
9,(Western Portion) Alampatti - 625019.,tamilaga vettri kazhagam,266,115
10,Karadipatti.-625019,tamilaga vettri kazhagam,280,112
11,Karadipatti - 625019.,tamilaga vettri kazhagam,242,42
12,Vadivel Nagar-625019,tamilaga vettri kazhagam,251,31
13,Karadipatti-625019,tamilaga vettri kazhagam,297,69
14,Nagamalaipudukkottai -625019.,tamilaga vettri kazhagam,160,53
15,Nagamalai Pudhukkottai.-625019,tamilaga vettri kazhagam,176,26
16,Nagamalai Pudukottai.-625019,tamilaga vettri kazhagam,316,88
17,Nagamalai Pudukottai.-625019,all india anna dravida munnetra kazhagam,240,18
18,"Northern Portion Nagamalai
Pudukottai -625019.",tamilaga vettri kazhagam,241,75
19,Southern Portion Nagamalai Pudukottai -625019.,tamilaga vettri kazhagam,250,105
20,Southern Side Nagamalai Pudukottai-625019.,tamilaga vettri kazhagam,256,126
21,Kilaneri-625019,tamilaga vettri kazhagam,154,6
22,Nagamalai Pudukottai-625019.,dravida munnetra kazhagam,358,33
23,Nagamalai Pudukottai-625019.,tamilaga vettri kazhagam,297,98
24,Nagamalai Pudukottai - 625019.,tamilaga vettri kazhagam,347,98
25,Nagamalai Pudukottai-625019.,tamilaga vettri kazhagam,269,113
26,Nagamalai Pudukottai - 625019.,dravida munnetra kazhagam,214,50
27,Nagamalai Pudukottai - 625019.,dravida munnetra kazhagam,263,51
28,Vadivelkarai-625019.,tamilaga vettri kazhagam,258,22
29,Vadivelkarai-625019.,tamilaga vettri kazhagam,309,88
30,"south building west portion
Keelakuilkudi-625019",dravida munnetra kazhagam,136,16
31,South building East portion Keelakuilkudi-625019,tamilaga vettri kazhagam,284,53
32,Northern Building Keelakuilkudi-625019,dravida munnetra kazhagam,217,34
33,East building Melakuilkudi-625019,tamilaga vettri kazhagam,435,126
34,South building Melakuilkudi-625019,tamilaga vettri kazhagam,215,31
35,Sakkilipatti-625021,tamilaga vettri kazhagam,186,36
36,Thenpalanji-625021,dravida munnetra kazhagam,273,33
37,Thenpalanji-625021,tamilaga vettri kazhagam,321,167
38,Thoppur-625008,tamilaga vettri kazhagam,277,13
39,Thoppur-625008,dravida munnetra kazhagam,158,36
40,Thoppur-625008,dravida munnetra kazhagam,365,25
41,Munandipatti-625008,tamilaga vettri kazhagam,442,184
42,Vedarpuliyankulam-625006,all india anna dravida munnetra kazhagam,217,39
43,Vedarpuliyankulam-625006,tamilaga vettri kazhagam,148,5
44,Thanakkankulam-625006,dravida munnetra kazhagam,216,10
45,Thanakkankulam-625006,dravida munnetra kazhagam,239,73
46,Thanakkankulam-625006,tamilaga vettri kazhagam,371,47
47,Thanakkankulam-625006,tamilaga vettri kazhagam,238,24
48,Thanakkankulam-625006,tamilaga vettri kazhagam,428,120
49,Thanakkankulam-625006,tamilaga vettri kazhagam,209,60
50,Thanakkankulam-625006,dravida munnetra kazhagam,385,31
51,Thanakkankulam-625006,tamilaga vettri kazhagam,330,19
52,Thiruvalluvar nagar Thanakkankulam-625006,tamilaga vettri kazhagam,366,95
53,Thanakkankulam-625006,tamilaga vettri kazhagam,279,15
54,Thanakkankulam-625006,tamilaga vettri kazhagam,326,35
55,Vilacheri-625006,tamilaga vettri kazhagam,320,64
56,Vilacheri-625006,tamilaga vettri kazhagam,336,102
57,Vilacheri-625006,tamilaga vettri kazhagam,331,58
58,Vilacheri-625006,tamilaga vettri kazhagam,278,79
59,Vilacheri-625006,tamilaga vettri kazhagam,275,59
60,Vilacheri-625006,tamilaga vettri kazhagam,378,31
61,Vilacheri-625006,tamilaga vettri kazhagam,335,86
62,Vilacheri-625006,tamilaga vettri kazhagam,374,145
63,Thirunagar-625006,tamilaga vettri kazhagam,322,99
64,(East side) Thirunagar-625006,tamilaga vettri kazhagam,433,205
65,Thirunagar-625006,tamilaga vettri kazhagam,402,201
66,(West Side) Thirunagar-625006,tamilaga vettri kazhagam,411,178
67,Thirunagar-625006,dravida munnetra kazhagam,586,431
68,West Building South Portion Thirunagar-625006,tamilaga vettri kazhagam,411,106
69,West Building Middle Portion (South Side) Thirunagar-625006,tamilaga vettri kazhagam,190,63
70,West Building Middle Portion Thirunagar-625006,dravida munnetra kazhagam,257,2
71,West Building Middle Portion (North Side) Thirunagar-625006,dravida munnetra kazhagam,249,47
72,West Building North Portion Thirunagar-625006,tamilaga vettri kazhagam,442,137
73,Thirunagar-625006,dravida munnetra kazhagam,359,70
74,Thirunagar-625006,tamilaga vettri kazhagam,356,8
75,Thirunagar-625006,dravida munnetra kazhagam,178,6
76,Thirunagar-625006,tamilaga vettri kazhagam,268,113
77,Thirunagar-625006,tamilaga vettri kazhagam,273,65
78,Thirunagar-625006,tamilaga vettri kazhagam,314,138
