serial no. of polling station,location_clean,building_clean,polling areas,Winner_Party,Margin_Percentage
3,Vadapalanji -625019,"Pt Union Primary School ,New Building (Eastern Side) South
Building","1Vadapalanji (R.V) Vadapalanji (P) Thottiapatti ward 1.
2.Vadapalanji (R.V) Vadapalanji (P) Ambethkar Colony Ward 1",dravida munnetra kazhagam,37.43500866551127
4,"East Building ( Southern Portion)
Vadapalanji Muthupatti-625019",Pt Union Primary School,1.Vadapalanji (R.V) Vadapalanji (P) Muthupatti Ward 2,tamilaga vettri kazhagam,9.632034632034632
5,Muthupatti-625019,"Pt Union Primary School ,West Building, Vadapalanji","1.Vadapalanji (R.V) Vadapalanji (P) Nagamalai Pudur Ward 3 2.Vadapalanji (R.V) Vadapalanji (P) Aravali Nagar, Palkalai Nagar Ward 2
3.Vadapalanji (R.V) Vadapalanji (P) Palkalai Nagar Quarters (Adukumadi) Ward-4",tamilaga vettri kazhagam,4.651162790697675
7,"East Facing West
Portion Nagamalaipudur Vadapalanji - 625019",Senthamarai Arts & Science College,"1.Vadapalanji (R.V) Vadapalanji (P) Nagamalai Pudur Ward 3
2.Vadapalanji (R.V) Vadapalanji (P) M.R.S.University Quarters ward 4",dravida munnetra kazhagam,0.6818181818181818
11,(Western Portion) Alampatti - 625019,Pt Union Ele School,"1 - Karadipatti (R.V) Karadipatti (P), Alampatti Ward 3 (Sl.No 717 to 1424)",tamilaga vettri kazhagam,7.216494845360824
12,Karadipatti -625019,Panchayat Union Elementary School,"1.Karadipatti (R.V) Karadipatti (P) Perumalmalai Ward 3 ,
2.Karadipatti (R.V) Karadipatti (P) Karadipatti Ward 3",tamilaga vettri kazhagam,4.675716440422323
15,Vijayalakshmi Sanjeevi malaiyan mazhalaiyar magizhvagam Primary School (Office Building) Theni Main Road,Vijayalakshmi Sanjeevi malaiyan mazhalaiyar magizhvagam Primary School (Office Building) Theni Main Road,1.Karadipatti (R.V) Karadipatti (P) Thendral Nagar Ward 2 2.Karadipatti (R.V) Karadipatti (P) L.G.Nagar Ward 2,tamilaga vettri kazhagam,6.54911838790932
22,Nagamalai Pudukottai -625019,"Pt Union Middle School,Northern Building East Side","1.Vilacheri (R.V) Nagamalaipudukottai (P) Ambethkar Nagar Harijana Colony Ward 4 2.Vilacheri (R.V) Nagamalaipudukottai (P) Harijana Colony Keela Street Ward4 3.Vilacheri (R.V) Nagamalaipudukottai (P) Nagamalaipudukottai Ward 4
4.Vilacheri (R.V) Nagamalaipudukottai (P) Ambethkar Nagar Middle School Street Ward 4 5.Vilacheri (R.V) Nagamalaipudukottai (P) Muniyandi Kovil Street Ward 4",dravida munnetra kazhagam,3.695408734602464
24,"Southern Portion
Nagamalai Pudukottai -625019","Pt Union Middle School,Western Building",1.Vilacheri (R.V) Nagamalaipudukottai (P) Mela Theru Chinnakannu Nagar Ward 5,tamilaga vettri kazhagam,12.00980392156863
26,Kilaneri-625019,Pt Union Elementary School,"1.Vilacheri (R.V) Nagamalaipudukottai (P) Kilaneri ward 7 ,
2.Vilacheri (R.V) Nagamalaipudukottai (P) Kilaneri Mela Street Ward 7",dravida munnetra kazhagam,9.560229445506693
27,East portion Nagamalai Pudukottai-625019,"Sirumalar Girls Hr Sec School, North Building",1.Vilacheri (R.V) Nagamalaipudukkottai (P) Wellington Street Ward 7 2.Vilacheri (R.V) Nagamalaipudukottai (P) Rajendra Prasath Street Ward 7 3.Vilacheri (R.V) Nagamalaipudukottai (P) Indira Gandhi Street Ward 7 4.Vilacheri (R.V) Nagamalaipudukottai (P) Nethaji Street Ward 7,dravida munnetra kazhagam,8.31973898858075
28,Nagamalai Pudukottai-625019,"Sirumalar Girls Hr Sec School, East Side","1.Vilacheri (R.V) Nagamalaipudukottai (P) Mahatma Gandhi Street Ward 7 2.Vilacheri (R.V) Nagamalaipudukottai (P) Bharathidasan Street Ward 7 3.Vilacheri (R.V) Nagamalaipudukottai (P) Bharathiar Street ard 7 4.Vilacheri (R.V) Nagamalaipudukottai (P) Periyar Street Ward 7  5.Vilacheri (R.V) Nagamalaipudukottai (P) Venkatraman Nagar Ward7 6.Vilacheri (R.V) Nagamalaipudukottai (P) Muthuramalingam Street Ward 7 7.,Vilacheri (R.V) Nagamalaipudukottai (P) Nakkeerar Street Ward 7 ,",tamilaga vettri kazhagam,3.374233128834356
30,Nagamalai Pudukottai-625019,"Sirumalar Girls Hr Sec School, Therasa Hall","1.Vilacheri (R.V) Nagamalaipudukottai (P) Kumarasami Raja Street Ward 7 2.Vilacheri (R.V) Nagamalaipudukottai (P) Omanthurar Street Ward 7 3.Vilacheri (R.V) Nagamalaipudukottai (P) Kamarajar Street Ward 7 4.Vilacheri (R.V) Nagamalaipudukottai (P) Radhakrishnan Street Ward 7 5.Vilacheri (R.V) Nagamalaipudukottai (P) Kambar Street Ward 7 6.Vilacheri (R.V) Nagamalaipudukottai (P) Bakthavathsalam Street Ward 7.Vilacheri (R.V) Nagamalaipudukottai (P) V.V.Giri Street Ward 7
8.Vilacheri (R.V) Nagamalaipudukottai (P) Theni MainRoad, S.V.N College Opposite Ward7 9.Vilacheri (R.V) Nagamalaipudukottai (P) Balasubramanian Street Ward 7",dravida munnetra kazhagam,4.456824512534819
31,Nagamalai Pudukottai -625019,"Sirumalar Girls Hr Sec School, Therasa Hall","1.Vilacheri (R.V) Nagamalaipudukottai (P) Jeevanantham Street Ward 7 2.Vilacheri (R.V) Nagamalaipudukottai (P) Kanmaikarai Ward 7
3.Vilacheri (R.V) Nagamalaipudukottai (P) Rajiv Gandhi Street (E.B.Colony) Ward 7 4.Vilacheri (R.V) Nagamalaipudukottai (P) Teachers Quarters Ward 7
5.Vilacheri (R.V) Nagamalaipudukottai (P) Annai Therasa Street Ward 7 ,",tamilaga vettri kazhagam,7.993966817496228
32,Nagamalai Pudukottai -625019,"Sirumalar Girls Hr Sec School, Therasa Hall","1.Vilacheri (R.V) Nagamalaipudukottai (P) Melakuilkudi Road Karunanithi Street Ward 7 2.Vilacheri (R.V) Nagamalaipudukottai (P) Melakuilkudi Road Gurusami Nagar Ward 7 3.Vilacheri (R.V) Nagamalaipudukottai (P) Melakuilkudi Road Veeramamunivar Street Ward 7 4.Vilacheri (R.V) Nagamalaipudukottai (P) Melakuilkudi Road Pandian Street Ward 7 5.Vilacheri (R.V) Nagamalaipudukottai (P) Melakuilkudi Road Thamarai Street Ward 7 6.Vilacheri (R.V) Nagamalaipudukottai (P) Melakuilkudi Road Kavikuil Street Ward 7 7.Vilacheri (R.V) Nagamalaipudukottai (P) Melakuilkudi Road Vaigai Street Ward 7 8.Vilacheri (R.V) Nagamalaipudukottai (P) Melakuilkudi Road Thilagar Street Ward 7 9.Vilacheri (R.V) Nagamalaipudukottai (P) Melakuilkudi Road Pounraj Street Ward 7 10.Vilacheri (R.V) Nagamalaipudukottai (P) Melakuilkudi Road Vaithiyalingam Street Ward 7 11.Vilacheri (R.V) Nagamalaipudukottai (P) Melakuilkudi Road Malligai Street Ward 7
12.Vilacheri (R.V) Nagamalaipudukottai (P) Melakuilkudi Road Gangaram Durairaj Street Ward 7
13.Vilacheri (R.V) Nagamalaipudukottai (P) Melakuilkudi Road Adikalar Street Ward 7 14.Vilacheri (R.V) Nagamalaipudukottai (P) Melakuilkudi Road Livingston Street Ward 7",dravida munnetra kazhagam,6.227106227106227
34,Ben Matriculation School (East Portion) Vadivelkarai,Ben Matriculation School (East Portion) Vadivelkarai,1.Vadivelkarai (R.V) Vadivelkarai (P) Gandhi Nagar Ward 3 2.Vadivelkarai (R.V) Vadivelkarai (P) Kalankarai Kalvai East Street Ward3 3.Vadivelkarai (R.V) Vadivelkarai (P) Priyanka Nagar Ward 3 4.Vadivelkarai (R.V) Vadivelkarai (P) Ponnoli Street Ward 3,tamilaga vettri kazhagam,5.805243445692884
36,"south building west
portion Keelakuilkudi-625019",Kallar Reclamation Middle School,1.Keelakuilkudi (R.V) Keelakuilkudi (P) Keelakuilkudi,dravida munnetra kazhagam,4.621848739495799
46,Thoppur-625008,"Panchayat Union Elementary School, Main Building, Western
Portion","Thoppur (R.V) Thoppur (P) Thoppur Ward 1,",tamilaga vettri kazhagam,4.952581664910432
47,Thoppur-625008,"Panchayat Union Elementary School, Main Building, Centre
Portion","1.Thoppur (R.V) Thoppur (P) Thoppur Ward 2,",tamilaga vettri kazhagam,4.15944540727903
50,Vedarpuliyankulam-625006,"Panchayat Union Elementary School, Main Building, South Portion",1.Vedarpuliankulam (R.V) Vedarpuliankulam (P) Harijan Street Downside 2.Vedarpuliankulam (R.V) Vedarpuliankulam (P) Nadu Street 3.Vedarpuliankulam (R.V) Vedarpuliankulam (P) Bharathi Nagar 4.Vedarpuliankulam (R.V) Vedarpuliankulam (P) North Street 5.Vedarpuliankulam (R.V) Vedarpuliankulam (P) East Street,dravida munnetra kazhagam,3.232533889468196
51,Vedarpuliyankulam-625006,"Panchayat Union Elementary School, Main Building, Middle Portion",1.Vedarpuliankulam (R.V) Vedarpuliankulam (P) West Street 2.Vedarpuliankulam (R.V) Vedarpuliankulam (P) Vedarpuliankulam 3.Vedarpuliankulam (R.V) Vedarpuliankulam (P) Thottam 4.Vedarpuliankulam (R.V) Vedarpuliankulam (P) Mutharaiyar Colony,tamilaga vettri kazhagam,2.294685990338164
53,Thanakkankulam-625006,"Kallar Reclamation High School, Main Building, West
Portion","1.Thanakankulam (R.V) Thanakkankulam (P) Perumal Kovil Street
2.Thanakankulam (R.V) Thanakkankulam (P) Iyyanar Colony",tamilaga vettri kazhagam,1.891551071878941
54,Thanakkankulam-625006,"Kallar Reclamation High School, Main Building, Centre Portion, West Side",1.Thanakankulam (R.V) Thanakkankulam (P) Kalai Nagar 2.Thanakankulam (R.V) Thanakkankulam (P) Ayyanar Street,tamilaga vettri kazhagam,4.093567251461988
59,Thanakkankulam-625006,"Kallar Reclamation Primary School, East Building,West Portion","1.Thanakankulam (R.V) Thanakankulam (P) Aravind Nagar 1St Street 2.Thanakankulam (R.V) Thanakankulam (P) Thenpalanji Road Aravind Nagar 3.Thanakankulam (R.V) Thanakankulam (P) Araind Nagar
4.Thanakankulam (R.V) Thanakankulam (P) Aravind Nagar 3rd Street 5.Thanakankulam (R.V) Thanakankulam (P) Aravind Nagar 2nd Street 6.Thanakankulam (R.V) Thanakankulam (P) Kurinji Nagar
7.Thanakankulam (R.V) Thanakankulam (P) Punitha Charles",tamilaga vettri kazhagam,9.021406727828746
60,Thanakkankulam-625006,"Kallar Reclamation Primary School, Middle Building","1 - Thanakkankulam (R.V) Thanakkankulam (P), Nethaji Nagar (Sl.No.1 to 997)
2.Thanakankulam (R.V) Thanakankulam (P) Nethaji Nagar Kanmaikarai",tamilaga vettri kazhagam,3.421633554083885
67,Vilacheri-625006,"Kallar Reclamation Elementary School, New Building, Northern Portion","1.Vilacheri (R.V) Vilacheri (P) Pallivasal North Muslim Street Ward 1 2.Vilacheri (R.V) Vilacheri (P) Vilacheri Main Road Ward 2
3.Vilacheri (R.V) Vilacheri (P) South Muslim Street Ward 2",dravida munnetra kazhagam,52.05314009661836
70,625006,Seventhday Adventist Matriculation School (East Portion) Vilachery,1.Vilacheri (R.V) Vilacheri (P) Gandhi Street Ward 12 2.Vilacheri (R.V) Vilacheri (P) Chetti Street Ward 5 3.Vilacheri (R.V) Vilacheri (P) Nadu Street Ward 5 4.Vilacheri (R.V) Vilacheri (P) Yathavar Street Ward 3 5.Vilacheri (R.V) Vilacheri (P) Nethaji Street Ward 3,dravida munnetra kazhagam,0.308641975308642
71,625006,"Seventhday Adventist Matriculation School (North Portion)
Vilachery","1.Vilacheri (R.V) Vilacheri (P) Pasumpon Street Ward 3
2.Vilacheri (R.V) Vilacheri (P) Velar Street Ward 3",dravida munnetra kazhagam,8.047945205479452
73,Vilacheri-625006,"Panchayat Union Middle School,Additional Building South Portion","1.Vilacheri (R.V) Vilacheri (P) Sevukar Street Ward 4 2.Vilacheri (R.V) Vilacheri (P) Agraharam Ward 4
3.Vilacheri (R.V) Vilacheri (P) Anna Street Ward 5",dravida munnetra kazhagam,8.674101610904584
74,Vilacheri-625006,"Panchayat Union Middle School, Southern Building Southern Portion","1.Vilacheri (R.V) Vilacheri (P) Main Road Ward 5 2.Vilacheri (R.V) Vilacheri (P) Kottaram Ward 4 3.Vilacheri (R.V) Vilacheri (P) Kalaingar Nagar Ward 3
4.Vilacheri (R.V) Vilacheri (P) Thirunagar Main Road Ward 3",tamilaga vettri kazhagam,0.966183574879227
