serial no. of polling station,location_clean,building_clean,polling areas,Winner_Party,Margin_Percentage
9,Akshara Matriculaction School (West Portion ) Rajambadi,Akshara Matriculaction School (West Portion ) Rajambadi,1.Karadipatti (R.V) Karadipatti (P) Rajambadi Ward 2,tamilaga vettri kazhagam,19.69178082191781
10,Alampatti - 625019,Pt Union Ele School,"1 - Karadipatti (R.V) Karadipatti (P), Alampatti Ward 3 (Sl.No 1 to 716)",tamilaga vettri kazhagam,18.63560732113145
13,Karadipatti -625019,Village Panchayat Common Service Centre Theni Main Road,1.Karadipatti (R.V) Karadipatti (P) Thiruveni Nagar Ward 2 2.Karadipatti (R.V) Karadipatti (P) Vadivel Nagar Ward 2 3.Karadipatti (R.V) Karadipatti (P) V.V.Giri Street Ward 2 4.Karadipatti (R.V) Karadipatti (P) Sarvodaya Nagar Ward 2 5.Karadipatti (R.V) Karadipatti (P) V.P.Sinthan Nagar Ward 2,tamilaga vettri kazhagam,9.985528219971057
14,"Vijayalakshmi Sanjeevi malaiyan mazhalaiyar magizhvagam Primary School (T Mathiprakash Kids Room) Theni Main
Road Karadipatti","Vijayalakshmi Sanjeevi malaiyan mazhalaiyar magizhvagam Primary School (T Mathiprakash Kids Room) Theni Main
Road Karadipatti","1.Karadipatti (R.V) Karadipatti (P) Gurusamy Nagar Ward 2 2.Karadipatti (R.V) Karadipatti (P) Central Bank Colony Ward 28.
3.Karadipatti (R.V) Karadipatti (P) Emmanuvel Nagar Ward 2",tamilaga vettri kazhagam,16.01208459214502
16,Karadipatti-625019,Panchayat Union Library,"1.Karadipatti (R.V) Karadipatti (P) Bharathiyar Nagar 8,9,10,11 th Street Ward 4 , 2.Karadipatti (R.V) Karadipatti (P) Theni main road Ward 4 ,
3.Karadipatti (R.V) Karadipatti (P) Onthimalai Ward 3 ,
4.Karadipatti (R.V) Karadipatti (P) Forest colony Ward 2",tamilaga vettri kazhagam,12.41184767277856
18,Nagamalai Pudhukkottai -625019,"Anganwadi Centre I (North Building) ,Mandhai Thidal","1.Vilacheri (R.V) Nagamalaipudukottai (P) Kottai Street Ward 1
2.Vilacheri (R.V) Nagamalaipudukottai (P) Thadathagai Amman Koil Street Ward 2",tamilaga vettri kazhagam,13.18101933216169
19,Nagamalai Pudhukkottai -625019,"Anganwadi Centre I (South Building) ,Mandhai Thidal",1.Vilacheri (R.V) Nagamalaipudukottai (P) Mela Street Ward 2 2.Vilacheri (R.V) Nagamalaipudukottai (P) Oothu Colony Ward 2 3.Vilacheri (R.V) Nagamalaipudukottai (P) M.G.R. Nagar Ward 2 4.Vilacheri (R.V) Nagamalaipudukottai (P) Malai Part Ward 2,tamilaga vettri kazhagam,18.55123674911661
20,Nagamalai Pudukottai -625019,"Pt Union Middle School, Northern Building East Side",1.Vilacheri (R.V) Nagamalaipudukottai (P) Harijana Colony Mela Theru Ward3,tamilaga vettri kazhagam,22.95081967213115
25,Southern Side Nagamalai Pudukottai 625019,Pt Union Middle School,"1.Vilacheri (R.V) Nagamalaipudhukottai(P) Theni Main Road Ward 6 2.Vilacheri (R.V) Nagamalaipudukottai (P) Police Station Street Ward 6
3.Vilacheri (R.V) Nagamalaipudukottai (P) Police Station Street Ward 6",tamilaga vettri kazhagam,18.02232854864434
29,Nagamalai Pudukottai -625019,"Sirumalar Girls Hr Sec School, Therasa Hall","1.Vilacheri (R.V) Nagamalai Puthukottai (P) Valluvar Street., Ward 7, 2.Vilacheri (R.V) Nagamalaipudukottai (P) Palanimuthu Street, Ward 7 3.Vilacheri (R.V) Nagamalaipudukottai (P) Ilangovadikal Street , Ward 7 4.Vilacheri (R.V) Nagamalaipudukottai (P) Arignar Anna Street Ward 7 5.Vilacheri (R.V) Nagamalaipudukottai (P) Petchimuthu Nethaji Street Ward 7 6.Vilacheri (R.V) Nagamalaipudukottai (P) Sathasivam Street Ward 7 7.Vilacheri (R.V) Nagamalaipudukottai (P) Subramaniyasiva Street Ward 7 8.Vilacheri (R.V) Nagamalaipudukottai (P) Rajaji Street Ward 7
9.Vilacheri (R.V) Nagamalaipudukottai (P) Jawahar Street Ward 7 10.Vilacheri (R.V) Nagamalaipudukottai (P) Vanjinathan Street Ward 7",tamilaga vettri kazhagam,12.90322580645161
33,Vadivelkarai-625019,Kallar Reclamation Ele School,"1.Vadivelkarai (R.V) Vadivelkarai(P) Vadivelkarai Ward 1, 2.Vadivelkarai (R.V) Vadivelkarai (P) Vadivelkarai Ward 2,
3.Vadivelkarai (R.V) Vadivelkarai (P) Vadivelkarai West ward 3",tamilaga vettri kazhagam,12.63791374122367
