serial no. of polling station,location_clean,building_clean,polling areas,Winner_Party,Margin_Percentage
1,Vadapalanji -625019,"Pt Union Primary School ,New Building ( Western Side)
South Building","1.Vadapalanji (R.V) Vadapalanji (P) Vadapalanji Ward1
2.Vadapalanji (R.V) Vadapalanji (P) Sundarasapuram Ward 1",all india anna dravida munnetra kazhagam,1.591511936339522
2,"Vellaiparaipatti-
625019","Pt Union Middle School , South Building","1Vadapalanji (R.V) Vadapalanji (P) Manapattii ward 1.
2.Vadapalanji (R.V) Vadapalanji (P) Vellaiparai Patti Ward 1",tamilaga vettri kazhagam,0.2487562189054726
6,East Facing North Portion Nagamalaipudur Vadapalanji - 625019,Senthamarai Arts & Science College,"1.Vadapalanji (R.V) Vadapalanji (p) Adaikanpatti Ward 4 2.Vadapalanji (R.V) Vadapalanji (P) Nagamalai Pudur 1 Ward 3
3.Vadapalanji (R.V) Vadapalanji (P) Nagamalai Pudur 2 ward 3",tamilaga vettri kazhagam,8.149171270718233
8,Akshara Matriculaction School (East Portion) Rajambadi,Akshara Matriculaction School (East Portion) Rajambadi,"1.Karadipatti (R.V) Karadipatti (P) Karadipatti
2.Karadipatti (R.V) Karadipatti (P) Keelapudur Ward 2",tamilaga vettri kazhagam,6.666666666666667
17,Nagamalaipudukkottai -625019,Village Panchayat Common Service Centre Theni Main Road,"1.Vilacheri (R.V) Nagamalaipudukottai(P) East Street Ward 1 2.Vilacheri (R.V) Nagamalaipudukottai East Street Ward 2
3.Vilacheri (R.V) Nagamalaipudukottai (P) Manthai Street Ward 1",all india anna dravida munnetra kazhagam,2.682563338301043
21,Nagamalai Pudukottai -625019,"Pt Union Middle School, Northern Building West Side","1 - Vilacheri (R.V) Nagamalaipudukottai (P), Harijana colony Mela Theru ward 3 (Sl.No 702 to 1042)
2 - Vilacheri (R.V) Nagamalaipudukottai (P), Pavalar Estate ward 3",tamilaga vettri kazhagam,1.327433628318584
23,"Northern Portion
Nagamalai Pudukottai -625019","Pt Union Middle School, Western Building",1.Vilacheri (R.V) Nagamalaiputhukottai(P) Mela Street Ward 5,tamilaga vettri kazhagam,13.51724137931034
35,Ben Matriculation School (Western Portion) Vadivelkarai,Ben Matriculation School (Western Portion) Vadivelkarai,1.Vadivelkarai (R.V) Vadivelkarai (P) EB Colony Ward 3 2.Vadivelkarai (R.V) Vadivelkarai (P) Keelakuilkudi Main Road Ward 3 3.Vadivelkarai (R.V) Vadivelkarai (P) Theni Main Road Ward 3 4.Vadivelkarai (R.V) Vadivelkarai (P) Malaiyan Nagar Ward 3,tamilaga vettri kazhagam,7.317073170731707
38,Keelakuilkudi-625019,"Kallar Reclamation Middle School,Northern Building,East
Portion",1.Keelakuilkudi (R.V) Keelakuilkudi (P) Keelakuilkudi ward 1,tamilaga vettri kazhagam,1.63727959697733
39,Keelakuilkudi-625019,"Kallar Reclamation Middle School,Northern Building,West
Portion","1.Keelakuilkudi (R.V) Keelakuilkudi (P) Keelakuilkudi 3rd ward
2.Keelakuilkudi (R.V) Keelakuilkudi (P) Keelakuilkudi ward 3",dravida munnetra kazhagam,8.391608391608392
40,East building Melakuilkudi-625019,Panchayat Union Elementary School,"1.Melakuilkudi (R.V) Melakuilkudi (P) Melakuilkudi East street 2.Melakuilkudi (R.V) Melakuilkudi (P) Melakuilkudi Mela street 3.Melakuilkudi (R.V) Melakuilkudi (P) Melakuilkudi
4.Melakuilkudi (R.V) Melakuilkudi (P) Parambumalai Melakuilkudi 2nd Ward",dravida munnetra kazhagam,2.410800385728062
42,(South side)Sakkilipatti-625021,Kallar Reclamation Elementary School,1.Sakkilipatti (R.V) Sakkilipatti (P) Sakkilipatti East Street Ward 1 2.Sakkilipatti (R.V) Sakkilipatti (P) Sakkilipatti West Street Ward 2 3.Sakkilipatti (R.V) Sakkilipatti (P) Asari Street Sakkilipatti Ward 2 4.Sakkilipatti (R.V) Sakkilipatti (P) S.C.Colony Sakkilipatti Ward 2,all india anna dravida munnetra kazhagam,7.142857142857142
43,Chinnasakkilipatti-625021,Community Hall,1.Sakkilipatti (R.V) Sakkilipatti (P) Chinnasakkilipatti Ward 2,tamilaga vettri kazhagam,1.05708245243129
44,Thenpalanji-625021,"Panchayat Union Middle School, Northern Building",1.Thenpalanji (R.V) Thenpalanji (P) Thenpalanji Colony 2.Thenpalanji (R.V) Thenpalanji (P) Thenpalanji East Street 3.Thenpalanji (R.V) Thenpalanji (P) Thenpalanji Nadu Street 4.Thenpalanji (R.V) Thenpalanji (P) Thenpalanji North Street,dravida munnetra kazhagam,1.572327044025157
45,Thenpalanji-625021,"Panchayat Union Middle School, Western Building","1.Thenpalanji (R.V) Thenpalanji (P) Thenpalanji West Street 2.Thenpalanji (R.V) Thenpalanji (P) Thenpalanji South Street 3.Thenpalanji (R.V) Thenpalanji (P) Thenpalanji Mavilipatti Road 4.Thenpalanji (R.V) Thenpalanji (P) Thenpalanji Vayalur 5.Thenpalanji (R.V) Thenpalanji (P) Thenpalanji Ayyanarkulam
6.Thenpalanji (R.V) Thenpalanji (P) Thenpalanji Mavilipatti Road Meenakshi Colony",dravida munnetra kazhagam,11.5689381933439
49,Munandipatti-625008,Panchayat Union Elementary School,"1.Thoppur (R.V) Thoppur (P) Munandipatti,
2.Thoppur (R.V) Thoppur (P) Alavay Colony
3.Thoppur (R.V) Thoppur (P) Astinpatti
4.Thoppur (R.V) Thoppur (P) P.T.R. College Astinpatti Road",tamilaga vettri kazhagam,11.19402985074627
55,Thanakkankulam-625006,"Governemnt Kallar Reclamation High School, Main Building, Eastern Portion, West Side",1.Thanakankulam (R.V) Thanakankulam (P) Thanakankulam Ward 2,tamilaga vettri kazhagam,7.520564042303173
56,"West Building East
Portion Thanakankulam 625006",Merry land Nursery and Primary School,"1.Thanakankulam (R.V) Thanakankulam (P) P.R.C.Ceylon Colony Ward 4
2.Thanakankulam (R.V) Thanakankulam (P) Yoga Nagar",tamilaga vettri kazhagam,12.01413427561837
57,West Building West Portion Thanakankulam 625006,Merry land Nursery and Primary School,1.Thanakankulam (R.V) Thanakkankulam(P) M.G.R.Colony 2.Thanakankulam (R.V) Thanakkankulam (P) Krishna Nagar 3.Thanakankulam (R.V) Thanakkankulam (P) Kamarajar Street,tamilaga vettri kazhagam,6.807511737089202
80,West Building South Portion Thirunagar-625006,Sabitha Bai Kovai Higher Secondary School,"1.Madurai (C) Thirunagar (TP) Pasumpon 2nd Street Ward 94
2.Madurai (C) Thirunagar (TP) Onakal 3rd Cross Street Ward 94
3.Madurai (C) Thirunagar (TP) Onakanal Cross Street Ward 94
4.Madurai (C) Thirunagar (TP) Seenivasa Nagar 5th Cross Street Ward 94,
5.Madurai (C) Thirunagar (TP) Venkateswara Street Ward 94,.
6.Madurai (C) Thirunagar (TP) Sokkanathar Street Ward 94,
7.Madurai (C) Thirunagar (TP) Veera Ragava Perumal Street Ward 94,
8.Madurai (C) Thirunagar (TP) Thangamani Street 94,
9.Madurai (C) Thirunagar (TP) Baluchamy Street 94, 10..Madurai (C) Thirunagar (TP) Lakkuvanar Street 94,
11.Madurai (C) Thirunagar (TP) Lakkuvanar 1st Cross Street 94,
12.Madurai (C) Thirunagar (TP) Lakkuvanar 2nd Cross Street 94,
13.Madurai (C) Thirunagar (TP) Lakkuvanar 3rd Cross Street 94,",tamilaga vettri kazhagam,7.877813504823152
101,"East Portion Thiyagarajar
colony-625004",Thiyagarajar colony primary school,"1 - Madurai (C) Thirupparankundram (TP), Thiyagarajar Colony Ward 93 (Sl.No 1 to 1149)",tamilaga vettri kazhagam,12.47002398081535
157,Koothiyarkundu-625008,"Panchayat Union Elementary School, East Side North
Building","1.Kuthiyarkundu (P) Prevala Street,",dravida munnetra kazhagam,9.92018244013683
158,Koothiyarkundu-625008,"Panchayat Union Elementary School, South Building, East
Portion","1.Kuthiyarkundu (P) Kanakkar Street,
2.Kuthiyarkundu (P) Kottai Street,",tamilaga vettri kazhagam,11.11111111111111
160,Koothiyarkundu-625008,"Panchayat Union Elementary School, West Building, South
Portion","1.Nilaiyur Bit1 (TP) Kuthiyarkundu (P) Kottai Street,",dravida munnetra kazhagam,0.7326007326007326
163,Soorakulam-625008,"Panchayat Union Middle School, Additional Building,West Portion, Small Savings Scheme","1.Soorakulam (P) Soorakulam Puthukulam 2 Ward 1,",tamilaga vettri kazhagam,13.1578947368421
164,Soorakulam-625008,"Panchayat Union Middle School, Additional Building, East Portion, Small Savings Scheme","1.Soorakulam (P) Puthukulam III Ward 2, 2.Soorakulam (P) Puthukulam Ward 3,",tamilaga vettri kazhagam,2.095238095238095
239,Centre Building Avaniapuram-625012,"Government Higher Secondary School, North Side,East Portion","1.Madurai (C) Avaniyapuram (Tp) Neducnhalai Ward 100 ,
2.Madurai (C) Avaniyapuram (Tp) Mathalaikone Lane Ward 100,
3.Madurai (C) Avaniyapuram (Tp) Pambaiyakone Lane Ward 100,
4.Madurai (C) Avaniyapuram (Tp) Andikudumban Lane Ward 100,
5.Madurai (C) Avaniyapuram (Tp) Ramasamy Kone Kinatradi Lane Ward 100,
6.Madurai (C) Avaniyapuram (Tp) Pallar Kinatru Street Ward 100,
7.Madurai (C) Avaniyapuram (Tp) Kothala Street Ward 100,
8.Madurai (C) Avaniyapuram (Tp) Kandakone Lane Ward 100,",tamilaga vettri kazhagam,9.856262833675563
240,Avaniapuram-625012,"Government Higher Secondary School, North Side,West Portion","1.Madurai (C) Avaniyapuram (Tp) Thiruvanantha Pillai Street Ward 100,
2.Madurai (C) Avaniyapuram (Tp) Rakappakone Lane Ward 100,
3.Madurai (C) Avaniyapuram (Tp) Indra Nagar Ward 100,
4.Madurai (C) Avaniyapuram (Tp) Muniyandi Kovil Street Ward 100,
5.Madurai (C) Avaniyapuram (Tp) Ganesapuram Ward 100,
6.Madurai (C) Avaniyapuram (Tp) Kallar Street Ward 100,
7.Madurai (C) Avaniyapuram (Tp) Muthukaruppan Kone Lane Ward 100,
8.Madurai (C) Avaniyapuram (Tp) Ayyanar Kovil Street Ward 100",tamilaga vettri kazhagam,11.00141043723554
242,East Side Ayanpappakudi -625012,"Pt Union Elementary School, South Building","1.Madurai (C) Avaniyapuram (TP) East Street , Vellaikal Ward 92
2.Madurai (C) Avaniyapuram (TP) Municipal Colony, Vellaikal Ward 92
3.Madurai (C) Avaniyapuram (TP) Middle Street, Vellaikal Ward 92
4.Madurai (C) Avaniyapuram (TP) West Street, Kalkulam Ward 92,
5.Madurai (C) Avaniyapuram (TP) North Street, Kalkulam Ward 92,",tamilaga vettri kazhagam,16.16052060737527
249,Center Portion Ayanpappakudi -625012,"Pt Union Elementary School, North Building","1.Madurai (C) Avaniapuram (Tp) Prasanna Colony 9th 2nd Cross Street Ward 100 2Madurai (C) Avaniapuram (Tp) Prasanna Colony 9th 3rd Cross Street Ward 100 3Madurai (C) Avaniapuram (Tp) Prasanna Colony 9th 4th Cross Street Ward 100
4.Madurai (C) Avaniapuram (Tp) Prasanna Colony 9th 5th Cross Street Ward 100
5.Madurai (C) Avaniapuram (Tp) Prasanna Colony 9th 6th Cross Street Ward 100
6.Madurai (C) Avaniapuram (Tp) Prasanna Colony Bharathiar 1st Street Ward 100
7.Madurai (C) Avaniapuram (Tp) Prasanna Colony Bharathiar 2nd Street Ward 100
8.Madurai (C) Avaniapuram (Tp) Prasanna Colony Bharathiar 3rd Street Ward 100
9.Madurai (C) Avaniapuram (Tp) Prasanna Colony Nesavalar Street Ward 100,
10.Madurai (C) Avaniapuram (Tp) Prasanna Colony 5th 1st South Cross Street Ward 100,
11.Madurai (C) Avaniapuram (Tp) Bharathiar Street Ward 100",tamilaga vettri kazhagam,19.66019417475728
