Serial No. Of Polling Station,Locality,Polling Area,Winner_Party,Runner_Up_Party,Margin_Of_Victory,Margin_Percentage
2,Silverpuram,"1.Thoothukudi  Corporation  Palaiahpuram  -  Ward  3
2.Thoothukudi  Corporation  S.N.R.  Nagar  -  Ward  3  ,  999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,11,2.235772357723577
18,Postal  Telegraph Colony  1st  street,"1.Thoothukudi  Corporation  Telegram  Employees  Colony  Block  2  -  Ward 34  (Door  No.  1  to  2F-310)  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,19,4.130434782608695
21,Postal  Telegraph Colony  1st  street,"1.Thoothukudi  Corporation  Telegram  Employees  Colony  Block  2  -  Ward 34  (Door  No.  After  2F-1501)  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,9,2.184466019417476
40,"Millerpuram, Ganesh  nagar","1.Thoothukudi  Corporation  N.G.O.  Colony  -  Ward  48  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,22,4.690831556503198
45,Millerpuram,"1.Thoothukudi  Corporation  Palai  Road  West  Main  -  Ward  35  , 2.Thoothukudi  Corporation  Kamarajar  Nagar  West  -  Ward  49  , 3.Thoothukudi  Corporation  Kamaraj  Nagar  Main  -  Ward  49  ,
4.Thoothukudi  Corporation  Palai  road  West  Jeylani  Colony  -  Ward  35  , 5.Thoothukudi  Corporation  Palai  Road  West  Sankar  Colony  -  Ward  35  , 6.Thoothukudi  Corporation  Sankar  Colony  -  Ward  35,  999.OVERSEAS
ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,2,0.4716981132075472
56,Millerpuram,"1.Thoothukudi  Corporation  Rajeev  Nagar  North  -  Ward  3  ,  2.Thoothukudi Corporation  Rajeev  Nagar  South  -  Ward  3  ,  3.Thoothukudi  Corporation
Chinnamani  Nagar  -  Ward  35  ,  4.Thoothukudi  Corporation  Millerpuram  -
Ward  35  ,  999.OVERSEAS  ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,20,2.222222222222222
59,Millerpuram,"1.Thoothukudi  Corporation  Anna  Nagar  11th  Street  -  Ward  37  ,
2.Thoothukudi  Corporation  Palayamkottai  road  West  -  Ward  35  ,
3.Thoothukudi  Corporation  Millerpuram  -  Ward  35  ,  999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,0,0.0
62,Millerpuram,"1.Thoothukudi  Corporation  Chinnamani  Nagar  Main  -  Ward  35  ,
2.Thoothukudi  Corporation  Millerpuram  -  Ward  35  ,  3.Thoothukudi Corporation  Millerpuram  Center  -  Ward  35  ,  4.Thoothukudi  Corporation Millerpuram  South  -  Ward  35  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,9,1.672862453531598
63,Millerpuram,"1.Thoothukudi  Corporation  Palai  Road  Millerpuram  -  Ward  35  ,
2.Thoothukudi  Corporation  Ashok  Nagar  -  Ward  35  ,  3.Thoothukudi Corporation  Teachers  Colony  West  -  Ward  35  ,  4.Thoothukudi Corporation  Teachers  Colony  East  -  Ward  35  ,  5.Thoothukudi  Corporation P  &  T  Colony  East  -  Ward  35  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,9,3.370786516853932
71,"Anna  Nagar  12th Street  Extension, Mangalapuram","1.Thoothukudi  Corporation  Mangalapuram  -  Ward  3  ,  2.Thoothukudi Corporation  Magilchipuram  -  Ward  3  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,24,3.767660910518053
75,Polpettai,"1.Thoothukudi  Corporation  Polpettai  1  st  Street  -  Ward  4  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,29,4.44104134762634
76,Polpettai,"1.Thoothukudi  Corporation  Polpettai  2nd  Street  -  Ward  4  ,  2.Thoothukudi Corporation  Polpettai  3rd  Street  -  Ward  4  ,
999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,5,1.275510204081633
78,Polpettai,"1.Thoothukudi  Corporation  State  Bank  Colony  East  -  Ward  6  ,
2.Thoothukudi  Corporation  S.K.S.R  Colony  -  Ward  6  ,  999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,19,2.878787878787879
81,Polpettai,"1.Thoothukudi  Corporation  Polpettai-Gomathibai  Colony  Street-1  -  Ward 6  ,  2.Thoothukudi  Corporation  Polpettai-Gomathibai  Colony  Street-2  - Ward  6  ,  3.Thoothukudi  Corporation  Polpettai-S.K.S.R.  Colony  -  Ward  6  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,21,2.982954545454545
82,Polpettai,"1.Thoothukudi  Corporation  Polpettai  west  street-1  -  Ward  4  , 2.Thoothukudi  Corporation  Polpettai  West  Street-2  -  Ward  4  ,
3.Thoothukudi  Corporation  State  Bank  Colony  -  Ward  4  ,  4.Thoothukudi
Corporation  Ezhil  Nagar  -  Ward  6  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,26,3.869047619047619
