Locality,Total_Valid_Votes_In_Locality,Total_Independent_Votes_In_Locality,Independent_Vote_Share_%
Veeranayakkanthatt u,290,3,1.03448275862069
Sundaramapuram,1389,14,1.007919366450684
Alagesapuram,951,8,0.8412197686645636
Boopalrayerpuram (RV  Puram),1314,11,0.837138508371385
Kandasamypuram,3791,30,0.7913479293062516
Thiraviapuram,2551,20,0.7840062720501764
"North  Street, Muthiahpuram",1231,9,0.7311129163281885
"Kamaraj  Nagar  2nd Street,  3rd  Mile,
Thoothukudi",1660,12,0.7228915662650602
Mullakadu,838,6,0.7159904534606205
Beach  Road,2747,19,0.691663633054241
Thirespuram,7960,55,0.6909547738693468
New  Harbour,1893,13,0.6867406233491812
Bryant  Nagar  3rd Street  (East),1520,10,0.6578947368421052
"J.S.  Nagar, Muthiahpuram",1995,13,0.6516290726817042
Cruzpuram,6706,41,0.6113927825827618
Muthukrishnapura m,1698,10,0.5889281507656066
Renganathapuram,1700,10,0.5882352941176471
M.Thangammalpura m,1889,11,0.5823186871360508
"Bharathi  Nagar, Meelavittan  Road (Near  4th  Railway gate)",2252,13,0.5772646536412078
Thermal  nagar Camp-1,3988,23,0.5767301905717152
Gin  Factory  Road,1293,7,0.5413766434648105
Caldwell  Colony  4th Street,5742,31,0.5398815743643329
Tiruchendur  Road,9100,48,0.5274725274725275
Postal  Telegraph Colony,1542,8,0.5188067444876783
Silverpuram,973,5,0.513874614594039
Subbiahpuram  2nd Street,1656,8,0.4830917874396135
"Millerpuram, Ganesh  nagar",1293,6,0.4640371229698376
Millerpuram,10519,48,0.4563171404125868
Melarathaveethi,1538,7,0.4551365409622887
Innasiarpuram,11612,52,0.4478126076472614
Krishnarajapuram,2457,11,0.4477004477004477
Bryant  Nagar  7th Street,2033,9,0.4426955238563699
Annanagar  10th street,2994,13,0.4342017368069472
Doovipuram  2nd Street,4537,19,0.4187789288075821
T.R.  Naidu  Street,1684,7,0.4156769596199525
Doovipuram  4th Street,1946,8,0.4110996916752312
Meelavittan,974,4,0.4106776180698152
Madathur,2687,11,0.4093784890212133
"V.M.S.  Nagar, Thoothukudi",1729,7,0.4048582995951417
Rathinapuram,2780,11,0.3956834532374101
Polpettai,7607,30,0.3943736032601551
Doovipuram  11th Street,3063,12,0.3917727717923604
Samuelpuram,2319,9,0.388098318240621
Rajapandi  Nagar,1892,7,0.3699788583509513
Chatram  street,3191,11,0.3447195236602946
North Pathirakaliammank oil  street,2638,9,0.3411675511751327
Lions  Town,2058,7,0.3401360544217687
South  New  Street,1794,6,0.3344481605351171
"Tamil  nadu  Housing Board  Colony, Millerpuram",7588,25,0.3294675803900896
Levengipuram,3394,11,0.3241013553329405
SPG  Kovil  1st  street,1236,4,0.3236245954692557
"Rajagopal  Nagar, (Near  Anna  Nagar 5th  Street)",653,2,0.3062787136294028
Muthiapuram,5226,16,0.306161500191351
VE  Road,5339,15,0.2809514890428919
George  Road,6083,17,0.279467368074963
Periya  Cotton  Road,2890,8,0.2768166089965398
Pandurengan  street,1473,4,0.2715546503733876
Postal  Telegraph Colony  1st  street,1904,5,0.2626050420168067
North  Gopalsamy Street,2336,6,0.2568493150684931
Chidambara  nagar,2748,7,0.2547307132459971
Alangarathattu,3237,8,0.2471424158171146
Pottalkadu,845,2,0.2366863905325444
Devarpuram,2289,5,0.218435998252512
Vannar  3rd  Street,2788,6,0.2152080344332855
Kovil  Street,1517,3,0.1977587343441002
Annanagar  12th street,527,1,0.189753320683112
"Spic  Nagar, Muthiapuram",559,1,0.1788908765652952
Devarpuram  Road,3700,6,0.1621621621621621
SPG  Kovil  1st  Street,635,1,0.1574803149606299
"Anna  Nagar  12th Street  Extension, Mangalapuram",637,1,0.1569858712715856
Melur  Chathram Street,863,1,0.115874855156431
Postal  Telegraph Colony  9th  street,1449,1,0.06901311249137336
