Locality,Total_Booths_In_Locality,Dominant_Party,Dominant_Party_Booths_Won
Alagesapuram,2,Tamilaga Vettri Kazhagam,2
Alangarathattu,5,Tamilaga Vettri Kazhagam,5
"Anna  Nagar  12th Street  Extension, Mangalapuram",1,Tamilaga Vettri Kazhagam,1
Annanagar  10th street,5,Tamilaga Vettri Kazhagam,5
Annanagar  12th street,1,Tamilaga Vettri Kazhagam,1
Beach  Road,5,Tamilaga Vettri Kazhagam,5
"Bharathi  Nagar, Meelavittan  Road (Near  4th  Railway gate)",4,Tamilaga Vettri Kazhagam,4
Boopalrayerpuram (RV  Puram),2,Tamilaga Vettri Kazhagam,2
Bryant  Nagar  3rd Street  (East),3,Tamilaga Vettri Kazhagam,3
Bryant  Nagar  7th Street,5,Tamilaga Vettri Kazhagam,5
Caldwell  Colony  4th Street,10,Tamilaga Vettri Kazhagam,10
Chatram  street,6,Tamilaga Vettri Kazhagam,6
Chidambara  nagar,5,Tamilaga Vettri Kazhagam,4
Cruzpuram,11,Tamilaga Vettri Kazhagam,11
Devarpuram,4,Tamilaga Vettri Kazhagam,4
Devarpuram  Road,7,Tamilaga Vettri Kazhagam,7
Doovipuram  11th Street,5,Tamilaga Vettri Kazhagam,5
Doovipuram  2nd Street,7,Tamilaga Vettri Kazhagam,6
Doovipuram  4th Street,3,Tamilaga Vettri Kazhagam,3
George  Road,11,Tamilaga Vettri Kazhagam,10
Gin  Factory  Road,2,Tamilaga Vettri Kazhagam,2
Innasiarpuram,19,Tamilaga Vettri Kazhagam,18
"J.S.  Nagar, Muthiahpuram",4,Tamilaga Vettri Kazhagam,4
"Kamaraj  Nagar  2nd Street,  3rd  Mile,
Thoothukudi",2,Tamilaga Vettri Kazhagam,2
Kandasamypuram,6,Tamilaga Vettri Kazhagam,6
Kovil  Street,2,Tamilaga Vettri Kazhagam,2
Krishnarajapuram,4,Tamilaga Vettri Kazhagam,4
Levengipuram,6,Tamilaga Vettri Kazhagam,6
Lions  Town,4,Tamilaga Vettri Kazhagam,4
M.Thangammalpura m,2,Tamilaga Vettri Kazhagam,2
Madathur,4,Tamilaga Vettri Kazhagam,4
Meelavittan,1,Tamilaga Vettri Kazhagam,1
Melarathaveethi,4,Tamilaga Vettri Kazhagam,4
Melur  Chathram Street,2,Tamilaga Vettri Kazhagam,2
Millerpuram,21,Tamilaga Vettri Kazhagam,18
"Millerpuram, Ganesh  nagar",3,Tamilaga Vettri Kazhagam,3
Mullakadu,1,Tamilaga Vettri Kazhagam,1
Muthiapuram,10,Tamilaga Vettri Kazhagam,8
Muthukrishnapura m,3,Tamilaga Vettri Kazhagam,3
New  Harbour,4,Tamilaga Vettri Kazhagam,3
North  Gopalsamy Street,5,Tamilaga Vettri Kazhagam,5
"North  Street, Muthiahpuram",2,Tamilaga Vettri Kazhagam,2
North Pathirakaliammank oil  street,5,Tamilaga Vettri Kazhagam,4
Pandurengan  street,2,Tamilaga Vettri Kazhagam,2
Periya  Cotton  Road,6,Tamilaga Vettri Kazhagam,6
Polpettai,14,Tamilaga Vettri Kazhagam,12
Postal  Telegraph Colony,3,Tamilaga Vettri Kazhagam,3
Postal  Telegraph Colony  1st  street,4,Tamilaga Vettri Kazhagam,4
Postal  Telegraph Colony  9th  street,2,Tamilaga Vettri Kazhagam,2
Pottalkadu,1,Tamilaga Vettri Kazhagam,1
"Rajagopal  Nagar, (Near  Anna  Nagar 5th  Street)",1,Tamilaga Vettri Kazhagam,1
Rajapandi  Nagar,3,Tamilaga Vettri Kazhagam,3
Rathinapuram,4,Tamilaga Vettri Kazhagam,4
Renganathapuram,3,Tamilaga Vettri Kazhagam,2
SPG  Kovil  1st  Street,1,Tamilaga Vettri Kazhagam,1
SPG  Kovil  1st  street,3,Tamilaga Vettri Kazhagam,2
Samuelpuram,5,Tamilaga Vettri Kazhagam,5
Silverpuram,2,Dravida Munnetra Kazhagam,1
South  New  Street,4,Dravida Munnetra Kazhagam,3
"Spic  Nagar, Muthiapuram",2,Tamilaga Vettri Kazhagam,2
Subbiahpuram  2nd Street,3,Tamilaga Vettri Kazhagam,2
Sundaramapuram,2,Tamilaga Vettri Kazhagam,2
T.R.  Naidu  Street,4,Tamilaga Vettri Kazhagam,4
"Tamil  nadu  Housing Board  Colony, Millerpuram",14,Tamilaga Vettri Kazhagam,14
Thermal  nagar Camp-1,9,Tamilaga Vettri Kazhagam,9
Thiraviapuram,4,Tamilaga Vettri Kazhagam,4
Thirespuram,13,Tamilaga Vettri Kazhagam,13
Tiruchendur  Road,14,Tamilaga Vettri Kazhagam,13
"V.M.S.  Nagar, Thoothukudi",3,Tamilaga Vettri Kazhagam,3
VE  Road,10,Tamilaga Vettri Kazhagam,8
Vannar  3rd  Street,5,Tamilaga Vettri Kazhagam,5
Veeranayakkanthatt u,1,Tamilaga Vettri Kazhagam,1
