Serial No. Of Polling Station,Locality,Building in Which it will be Located,Polling Area,Winner_Party,Margin_Percentage
2,Silverpuram,"T.N.D.T.A.  Middle  School,  1st  room  from South,  Silverpuram","1.Thoothukudi  Corporation  Palaiahpuram  -  Ward  3
2.Thoothukudi  Corporation  S.N.R.  Nagar  -  Ward  3  ,  999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,2.235772357723577
3,Silverpuram,"T.N.D.T.A.  Middle  School,  1st  room  from North  Silverpuram","1.Thoothukudi  Corporation  Silverpuram  -  Ward  3  ,
2.Thoothukudi  Corporation  Loushia  Side  -  Ward  3  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,9.355509355509357
17,Postal  Telegraph Colony,"Eben  Nursery  and  Primary  School,  South building,  1st  room  from  East,  Postal Telegraph  Colony","1.Thoothukudi  Corporation  Telegram  Employees  colony  -  Ward  35  (Door No.  After  2F-1810)
,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,11.29707112970711
18,Postal  Telegraph Colony  1st  street,"Leo  Primary  and  Nursery  School,  West Building,  1st  room  from  North,  Postal Telegraph  Colony  1st,  Street,  Thoothukudi","1.Thoothukudi  Corporation  Telegram  Employees  Colony  Block  2  -  Ward 34  (Door  No.  1  to  2F-310)  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,4.130434782608695
19,Postal  Telegraph Colony  1st  street,"Leo  Primary  and  Nursery  School,  West Building,  2nd  room  from  North,  Postal Telegraph  Colony  1st,  Street,  Thoothukudi","1.Thoothukudi  Corporation  Telegram  Employees  Colony  Block  2  -  Ward 34  (Door  No.  After  2F-310  to  2F-782)  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,10.53677932405567
20,Postal  Telegraph Colony  1st  street,"Leo  Primary  and  Nursery  School,  West Building,  2nd  room  from  South,  Postal Telegraph  Colony  1st,  Street,  Thoothukudi","1.Thoothukudi  Corporation  Telegram  Employees  Colony  Block  2  -  Ward 34  (Door  No.  After  2F-782  to  2F-1500)  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,11.3421550094518
21,Postal  Telegraph Colony  1st  street,"Leo  Primary  and  Nursery  School,  West Building,  1st  room  from  South,  Postal Telegraph  Colony  1st,  Street,  Thoothukudi","1.Thoothukudi  Corporation  Telegram  Employees  Colony  Block  2  -  Ward 34  (Door  No.  After  2F-1501)  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,2.184466019417476
40,"Millerpuram, Ganesh  nagar","A.M.M.  Chinnamani  Nadar  High  School (Primary  Block),  South  building,  2nd  room from  West,  Millerpuram","1.Thoothukudi  Corporation  N.G.O.  Colony  -  Ward  48  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,4.690831556503198
41,"Millerpuram, Ganesh  nagar","A.M.M.  Chinnamani  Nadar  High  School (Primary  Block),  South  building,  3rd  room from  East,  Millerpuram","1.Thoothukudi  Corporation  Housing  Board  Ganesa  Nagar  -  Ward  48  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,7.000000000000001
45,Millerpuram,"V.O.  Chidambaram  College,  Physics department  block,  Class  PG1-I  BBA, Millerpuram","1.Thoothukudi  Corporation  Palai  Road  West  Main  -  Ward  35  , 2.Thoothukudi  Corporation  Kamarajar  Nagar  West  -  Ward  49  , 3.Thoothukudi  Corporation  Kamaraj  Nagar  Main  -  Ward  49  ,
4.Thoothukudi  Corporation  Palai  road  West  Jeylani  Colony  -  Ward  35  , 5.Thoothukudi  Corporation  Palai  Road  West  Sankar  Colony  -  Ward  35  , 6.Thoothukudi  Corporation  Sankar  Colony  -  Ward  35,  999.OVERSEAS
ELECTORS",Dravida Munnetra Kazhagam,0.4716981132075472
