Serial No. Of Polling Station,Locality,Building in Which it will be Located,Polling Area,Winner_Party,Margin_Percentage
7,"Bharathi  Nagar, Meelavittan  Road (Near  4th  Railway gate)","Kiddies  World  Play  School,  West  Building, 1st  room  from  South,  Bharathi  Nagar, Meelavittan  Road  (Near  4th  Railway  gate)","1.Thoothukudi  Corporation  Ettayapuram  road  -  Ward  40  (Door  No.  From 1  to  73)  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,11.75406871609403
10,"Bharathi  Nagar, Meelavittan  Road (Near  4th  Railway gate)","Kiddies  World  Play  School,  North  Building, 3rd  room  from  West,  Bharathi  Nagar, Meelavittan  Road  (Near  4th  Railway  gate)","1.Thoothukudi  Corporation  Ettayapuram  Road  (K.V.K.)  Nagar  -  Ward  39 (Door  No.  From  55-2M-7  to  Last)  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,24.45652173913043
11,Madathur,"T.N.D.T.A  Middle  School,  1st  room  from south  side,  Madathur","1.Thoothukudi  Corporation  Madathur  Yadhavar  Street  -  Ward  34  ,
2.Thoothukudi  Corporation  Madathur  Arundhathiar  Street  -  Ward  34  , 3.Thoothukudi  Corporation  Madathur  Maravar  Street  -  Ward  34  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,37.00440528634361
13,Madathur,ICDS  centreMadathur,"1.Thoothukudi  Corporation  Yezhumalaiyan  Nagar  -  Ward  34  ,
2.Thoothukudi  Corporation  Kalloori  Nagar  -  Ward  34  ,  3.Thoothukudi Corporation  Bypass  Road  -  Ward  34  ,  4.Thoothukudi  Corporation  Central Excise  Staff  Quarters  -  Ward  34  ,  5.Thoothukudi  Corporation  Baby  Merin Quarters  -  Ward  34  ,  6.Thoothukudi  Corporation  Duraikani  Nagar Madathur  -  Ward  34  ,  7.Thoothukudi  Corporation  Min  Nagar  -  Ward  34  , 8.Thoothukudi  Corporation  Sundaram  Nagar  -  Ward  34  ,  9.  Thoothukudi Corporation  Sterlite  Quarters  -  Ward  3  -Thamira  2,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,17.04545454545454
14,Madathur,"Bon  Secours  Nursery  and  Primary  School, North  building,  2nd  room  from  East, Madathur,  Thoothukudi","1.Thoothukudi  Corporation  Murugesa  Nagar  -  Ward  34  ,
2.  Thoothukudi  Corporation  Thiraviaratna  Nagar, 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,18.50170261066969
15,Postal  Telegraph Colony,"Eben  Nursery  and  Primary  School,  South building,  1st  room  from  west,  Postal Telegraph  Colony","1.Thoothukudi  Corporation  Telegram  Employees  colony  -  Ward  35  (Door No.  from  1  to  2F-310)  ,  2.Thoothukudi  Corporation  Kokkur  -  Ward  34  , 3.Thoothukudi  Corporation  Mani  Nagar  -  Ward  34  ,  4.Thoothukudi Corporation  Gandhi  Nagar  -  Ward  34  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,23.76237623762376
16,Postal  Telegraph Colony,"Eben  Nursery  and  Primary  School,  South building,  Middle  portion,  Postal  Telegraph Colony","1.Thoothukudi  Corporation  Telegram  Employees  colony  -  Ward  35  (Door No.  after  2F-310)  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,27.72808586762075
24,"Tamil  nadu  Housing Board  Colony, Millerpuram","B.M.C.  Hr.  Sec.  School,  North  Building,  2nd room  from  East,  TNHB  Colony,  Millerpuram","1.Thoothukudi  Corporation  Magilchipuram  -  Ward  3  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,29.6218487394958
27,"Tamil  nadu  Housing Board  Colony, Millerpuram","B.M.C.  Hr.  Sec.  School,  North  Building,  5th room  from  East,  TNHB  Colony,  Millerpuram","1.Thoothukudi  Corporation  Rajagopal  Nagar  -  Ward  3  (Door  No.  1G-451 to  1G-720)  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,22.64752791068581
28,"Tamil  nadu  Housing Board  Colony, Millerpuram","B.M.C.  Hr.  Sec.  School,  North  Building,  6th room  from  East,  (Next  to  Office  room),  TNHB Colony,  Millerpuram","1.Thoothukudi  Corporation  Rajagopal  Nagar  -  Ward  3  (Door  No.  After 1G-721)  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,25.14734774066797
31,"Tamil  nadu  Housing Board  Colony, Millerpuram","B.M.C.  Hr.  Sec.  School,  West  Building,  6th room  from  North,  TNHB  Colony,  Millerpuram","1.Thoothukudi  Corporation  Millerpuram  Housing  Board  -  Ward  3  (Door No.  After  1K-1)  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,22.31404958677686
33,"Tamil  nadu  Housing Board  Colony, Millerpuram","BMC  Matriculation  Hr.  Sec.  School,  GB Block,  Main  Building,  Room  No.  24,TNHB Colony,  Millerpuram","1.Thoothukudi  Corporation  Annanagar  12th  Street  West  Magilchipuram  - Ward  37  ,  2.Thoothukudi  Corporation  Annanagar  West  Mangalapuram  - Ward  37  ,  3.Thoothukudi  Corporation  Burma  Colony  -  Ward  3  ,
4.Thoothukudi  Corporation  Vishnupuri  -  Ward  34  ,  999.OVERSEAS
ELECTORS",Tamilaga Vettri Kazhagam,27.02265372168285
38,"Kamaraj  Nagar  2nd Street,  3rd  Mile,
Thoothukudi","Sakthi  Vidyalaya  Matriculation  School,  Main Building  West  Portion,  Kamaraj  Nagar  2nd Street,  3rd  Mile,  Thoothukudi","1.Thoothukudi  Corporation  Indira  Nagar  -  Ward  48  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,18.44532279314888
39,"Kamaraj  Nagar  2nd Street,  3rd  Mile,
Thoothukudi","Sakthi  Vidyalaya  Matriculation  School,  Main Building  East  Portion,  Kamaraj  Nagar  2nd Street,  3rd  Mile,  Thoothukudi","1.Thoothukudi  Corporation  Thiru.V.K.  Nagar  -  Ward  48  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,17.53607103218646
43,Millerpuram,"V.O.  Chidambaram  College,  Geology
department  block,  Class:  GG3-II  B.Sc., Geology,  Millerpuram","1.Thoothukudi  Corporation  3rd  Mile  Pudukudi  Street  2  -  Ward  35  , 2.Thoothukudi  Corporation  Teacher  Colony  Main  -  Ward  35  ,
3.Thoothukudi  Corporation  Teacher  Colony  West  -  Ward  35  ,
999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,12.21198156682028
44,Millerpuram,"V.O.  Chidambaram  College,  Geology
department  block,  Class:  GG4-III  B.Sc., Geology,  Millerpuram,","1.Thoothukudi  Corporation  Palai  Road  West  Main  -  Ward  35  ,
2.Thoothukudi  Corporation  Palai  road  West  Pathinathapuram  -  Ward  35  , 3.Thoothukudi  Corporation  Palai  Road  West  3rd  Mile  Polytechnic Compound  -  Ward  35  ,  4.Thoothukudi  Corporation  V.O.C  College Quarters  -  Ward  35  ,  5.Thoothukudi  Corporation  Sankar  Colony  -  Ward 35  ,  6.Thoothukudi  Corporation  Kandan  Colony  -  Ward  35  ,
7.Thoothukudi  Corporation  Ganesh  Nagar  -  Ward  48  ,  8.Thoothukudi Corporation  N.G.O.Colony  Main  -  Ward  48  ,  9.Thoothukudi  Corporation N.G.O.Colony  -  Ward  48  ,  10.Thoothukudi  Corporation  All  India  Radio Quaters  -  Ward  35  ,  11.Thoothukudi  Corporation  T.M.B  Colony  -  Ward  36
,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,20.62588904694168
47,Millerpuram,"St.  Marys  Boys  Hr.sec.school,  Administrative Block,  1st  room  from  East  STD  XII  D, Millerpuram","1.Thoothukudi  Corporation  Chinnamani  Nagar  -  Ward  35  ,
2.Thoothukudi  Corporation  Annanagar  3rd  Street  West  -  Ward  36  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,18.07909604519774
48,Millerpuram,"St.  Marys  Boys  Hr.sec.school,  Centenary Block,  1st  room  from  West  STD  XII  E, Millerpuram","1.Thoothukudi  Corporation  Ceylon  Colony  -  Ward  48  , 2.Thoothukudi  Corporation  Millerpuram  -  Ward  35, 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,24.5045045045045
54,Millerpuram,"St.Marys  Primary  School,  South  Building, 3rd  room  from  West,  Millerpuram","1.Thoothukudi  Corporation  Anna  Nagar  -  Ward  37  ,  2.Thoothukudi Corporation  T.M.B.  Colony  -  Ward  36  (Door  No.  1  to  107-50),
3.Thoothukudi  Corporation  Rajeev  Nagar  Main  -  Ward  3  ,  999.OVERSEAS
ELECTORS",Tamilaga Vettri Kazhagam,20.17353579175705
57,Millerpuram,"St.Marys  Primary  School,  North  Building, 2nd  room  from  West,  Millerpuram","1.Thoothukudi  Corporation  Palai  Road  West  Main  -  Ward  35  , 2.Thoothukudi  Corporation  T.M.B  Colony  Main  -  Ward  36  ,
3.Thoothukudi  Corporation  Chinnamani  Nagar  -  Ward  35  ,
999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,11.51241534988713
60,Millerpuram,"The  Vikasa  School,  North  East  Portion,  Room No.  19,  Millerpuram","1.Thoothukudi  Corporation  Rajeev  Nagar  -  Ward  35  (Door  No.  1  to 2G-500)  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,23.05295950155763
65,Annanagar  10th street,"Thangam  Middle  School,  North  Building,  4th room  from  East,  (STD  VII),  Annanagar  10th street","1.Thoothukudi  Corporation  Anna  Nagar  4th  Street  -  Ward  36  (Door  No. After  31)  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,12.84153005464481
68,Annanagar  10th street,"Thangam  Middle  School,  South  Building,  1st room  from  East  (STD  I),  Annanagar  10th
street","1.Thoothukudi  Corporation  Anna  Nagar  3rd  Street  -  Ward  36  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,16.33605600933489
72,Polpettai,"Thangammal  Memorial  Hr.  Sec.School,  Main Building,  1st  room  from  East,  Polpettai","1.Thoothukudi  Corporation  Sakthivinayagarpuram  -  Ward  6  (Door  No.  1 to  111-66-30)  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,31.53013910355487
73,Polpettai,"Thangammal  Memorial  Hr.  Sec.School,  Main Building,  2nd  room  from  East,  Polpettai","1.Thoothukudi  Corporation  Sakthivinayagarpuram  -  Ward  6  (Door  No. After  111-66-30)  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,22.91220556745182
86,Kandasamypuram,"R.C.  Bethani  Primary  School,  North  Building, 1st  room  from  East,  Kanthasamypuram","1.Thoothukudi  Corporation  Nanthagopalapuram  West  -  Ward  7  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,13.76811594202899
87,Kandasamypuram,"R.C.  Bethani  Primary  School,  North  Building, 2nd  room  from  East,  Kanthasamypuram","1.Thoothukudi  Corporation  Kandhasamypuram  -  Ward  9  ,  2.Thoothukudi Corporation  Innasiyapuram  Block  4  -  Ward  9  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,26.72998643147897
88,Kandasamypuram,"R.C.  Bethani  Primary  School,  North  Building, Middle  Portion,  Kanthasamypuram","1.Thoothukudi  Corporation  Selvanayagapuram  Street  1  -  Ward  7  , 2.Thoothukudi  Corporation  Selvanayagapuram  Street  2  -  Ward  7  , 3.Thoothukudi  Corporation  Selvanayagapuram  Street  3  -  Ward  7  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,14.68428781204112
89,Kandasamypuram,"R.C.  Bethani  Primary  School,  North  Building, 3rd  room  from  West,  Kanthasamypuram","1.Thoothukudi  Corporation  Nandagopalapuram  East  Block  3  -  Ward  8  , 2.Thoothukudi  Corporation  Selvanayagapuram  T.M.C.  Colony  Block  2  - Ward  7  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,21.9672131147541
90,Kandasamypuram,"R.C.  Bethani  Primary  School,  West  Building, 1st  room  from  south,  Kanthasamypuram","1.Thoothukudi  Corporation  Selvanayagapuram  Street  1  -  Ward  7  , 2.Thoothukudi  Corporation  Selvanayagapuram  street  2  -  Ward  7, 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,14.67505241090147
