Serial No. Of Polling Station,Locality,Building in Which it will be Located,Polling Area,Winner_Party,Margin_Percentage
41,"Millerpuram, Ganesh  nagar","A.M.M.  Chinnamani  Nadar  High  School (Primary  Block),  South  building,  3rd  room from  East,  Millerpuram","1.Thoothukudi  Corporation  Housing  Board  Ganesa  Nagar  -  Ward  48  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,27.59433962264151
91,Kandasamypuram,"R.C.  Bethani  Primary  School,  West  Building, 2nd  room  from  South,  Kanthasamypuram","1.Thoothukudi  Corporation  Selvanayagapuram  Street  3  -  Ward  7  ,
2.Thoothukudi  Corporation  Selvanayagapuram  T.M.C.  Colony  -  Ward  7  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,34.27947598253275
131,Thirespuram,"R.C.  Primary  School,  1st  room  from  east (STD  I  A)  Thireshpuram","1.Thoothukudi  Corporation  Jeeva  Nagar  Block  4  -  Ward  18  ,
2.Thoothukudi  Corporation  Lourdhammalpuram  Block  3  -  Ward  18  , 3.Thoothukudi  Corporation  Kalaingar  Nagar  Block  3  -  Ward  18  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,41.26819126819127
132,Thirespuram,"R.C.  Primary  School,  2nd  room  from  West, (STD  I  C),  Thireshpuram","1.Thoothukudi  Corporation  Lourdhammalpuram  Block  4  -  Ward  18  (Door No.  1  to  5-40)  ,
999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,46.71875
133,Thirespuram,"R.C.  Primary  School,  1st  room  from  West, (STD  II  A),  Thireshpuram","1.Thoothukudi  Corporation  Lourdhammalpuram  Block  4  -  Ward  18  (Door No.  After  5-40)  ,
2.  Thoothukudi  Corporation  Lourdhammalpuram  Block  5  -  Ward  18  ,
999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,33.33333333333333
134,Thirespuram,"Little  Flower,  R.C.  High  School,  North Building,  1st  room  from  East  (STD  VI  A), Thireshpuram","1.Thoothukudi  Corporation  Packiyanathanvilai  -  Ward  17  , 2.Thoothukudi  Corporation  Sangukuli  Colony  -  Ward  18  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,45.79256360078278
135,Thirespuram,"Little  Flower,  R.C.  High  School,  North Building,  2nd  room  from  East  (STD  IX  A), Thireshpuram","1.Thoothukudi  Corporation  Kalavasal  -  Ward  18  ,  2.Thoothukudi Corporation  Thireshpuram  -  Ward  20  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,52.07920792079208
136,Thirespuram,"Little  Flower,  R.C.  High  School,  North Building,  2nd  room  from  West  (Class  X  A), Thireshpuram","1.Thoothukudi  Corporation  Swami  Vivekanandha  Nagar  -  Ward  17  ,
2.Thoothukudi  Corporation  Meenavar  Colony  -  Ward  17  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,58.89679715302491
137,Thirespuram,"Little  Flower,  R.C.  High  School,  North Building,  1st  room  from  West  (STD  VIII), Thireshpuram","1.Thoothukudi  Corporation  Mettupatti,  Therespuram  -  Ward  18  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,38.47549909255898
138,Thirespuram,"Auxilium  Matriculation  Hr.  Sec.  School, Main  Building,  2nd  room  from  North  (STD XII  A)  Thirespuram","1.Thoothukudi  Corporation  Thireshpuram  -  Ward  20  (Door  No.  1  to  21D)  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,56.85557586837295
139,Thirespuram,"Auxilium  Matriculation  Hr.  Sec.  School, Main  Building,  3rd  room  from  North  (STD  XI B)  Thirespuram","1.Thoothukudi  Corporation  Thireshpuram  -  Ward  20  (Door  No.  After  21D)
,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,58.39041095890411
140,Thirespuram,"Auxilium  Matriculation  Hr.  Sec.  School, Main  Buiding  4th  room  from  North  (STD  XII B),  Thirespuram","1.Thoothukudi  Corporation  Rajeev  Gandhi  Nagar  -  Ward  18  , 2.Thoothukudi  Corporation  Thiruvalluvarpuram  -  Ward  17  ,
3.Thoothukudi  Corporation  Sivarajapuram  -  Ward  18  ,  999.OVERSEAS
ELECTORS",Tamilaga Vettri Kazhagam,45.39007092198582
141,Thirespuram,"Auxilium  Matriculation  Hr.  Sec.  School, Main  Buiding  4th  room  from  South  (STD  X), Thirespuram","1.Thoothukudi  Corporation  Thireshpuram  -  Ward  21  (Door  No.  1  to  206)  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,45.35175879396985
142,Thirespuram,"Auxilium  Matriculation  Hr.  Sec.  School, Main  Buiding  3rd  room  from  South  (STD L.K.G),  Thirespuram","1.Thoothukudi  Corporation  Thireshpuram  -  Ward  21  (Door  No.  207  to 281-104)  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,57.16463414634146
143,Thirespuram,"Auxilium  Matriculation  Hr.  Sec.  School, Main  Buiding  2nd  room  from  South  (STD U.K.G),  Thirespuram","1.Thoothukudi  Corporation  Thireshpuram  -  Ward  21  (Door  No.  After 281-104)  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,51.55709342560554
144,Samuelpuram,"Corporation  Primary  School,  East  Building 1st  room  from  North  (STD  UKG  B), Samuelpuram","1.Thoothukudi  Corporation  Boobalarayarpuram  1st  Street  -  Ward  19  , 2.Thoothukudi  Corporation  Boobalarayarpuram  9th  Street  -  Ward  19  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,38.82063882063882
146,Samuelpuram,"Corporation  Primary  School,  East  Building South  portion  2nd  room  (STD  LKG  B), Samuelpuram.","1.Thoothukudi  Corporation  Boobalarayarpuram  1st  Street  -  Ward  19  , 2.Thoothukudi  Corporation  Boobalarayarpuram  2nd  Street  -  Ward  19  , 3.Thoothukudi  Corporation  Boobalarayarpuram  3rd  Street  -  Ward  19  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,31.36792452830189
147,Samuelpuram,"Corporation  Primary  School,  West  Building, 1st  room  from  South  (STD  I  A), Samuelpuram","1.Thoothukudi  Corporation  Boobalarayarpuram  4th  Street  -  Ward  19  , 2.Thoothukudi  Corporation  Boobalarayarpuram  5th  Street  -  Ward  19  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,37.16577540106952
151,Cruzpuram,"St.Joseph  Girls  Hr.Sec.  School,  South Building,  1st  room  from  East  (STD  VIII-B), Cruzpuram","1.Thoothukudi  Corporation  Thirespuram  -  Ward  21  (Door  No.  1  to  198)  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,50.0
152,Cruzpuram,"St.Joseph  Girls  Hr.Sec.  School,  South Building,  2nd  room  from  East,  Cruzpuram","1.Thoothukudi  Corporation  Thirespuram  -  Ward  21  (Door  No.  After  198)  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,48.34205933682373
153,Cruzpuram,"St.Joseph  Girls  Hr.Sec.  School,  South Building,  3rd  room  from  East,  Cruzpuram","1.Thoothukudi  Corporation  Thirespuram  1st  Street(Sanguli  Colony)  - Ward  18  ,  2.Thoothukudi  Corporation  Thirespuram  2nd  Street(Sanguli Colony)  -  Ward  18  ,  3.Thoothukudi  Corporation  Thirespuram  3rd  Street
(Sanguli  Colony)  -  Ward  18  ,  4.Thoothukudi  Corporation  Thirespuram  4th Street  (Sanguli  Colony)  -  Ward  18  ,  5.Thoothukudi  Corporation
Thirespuram  Main  -  Ward  18  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,39.47712418300654
154,Cruzpuram,"St.Joseph  Girls  Hr.Sec.  School,  West Building,  2nd  room  from  South  (STD  IX  A), Cruzpuram","1.Thoothukudi  Corporation  Thirespuram  4th  Street  -  Ward  18  ,
2.Thoothukudi  Corporation  Anna  Colony  Beach  road  Thirespuram  -  Ward 18  ,  3.Thoothukudi  Corporation  Palli  Vasal  Front  Street  -  Ward  18  ,
4.Thoothukudi  Corporation  Thommaiar  Kovil  Street  -  Ward  18  , 5.Thoothukudi  Corporation  Thirespuram  5th  Street  -  Ward  18  , 6.Thoothukudi  Corporation  Thirespuram  6th  Street  -  Ward  18  ,
999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,29.35064935064935
155,Cruzpuram,"St.Joseph  Girls  Hr.Sec.  School,  West Building,  4th  room  from  North  (STD  X  A), Cruzpuram","1.Thoothukudi  Corporation  Thirespuram  1st  street  -  Ward  18  ,
2.Thoothukudi  Corporation  Thirespuram  2nd  Street  Sangu  kuli  Colony  - Ward  18  ,  3.Thoothukudi  Corporation  Thirespuram  3rd  Street  Sangu  kuli Colony  -  Ward  18  ,  4.Thoothukudi  Corporation  Thirespuram  Main  -  Ward 18  ,  5.Thoothukudi  Corporation  Thirespuram  4th,5th,6th  Street  -  Ward 18  ,  6.Thoothukudi  Corporation  Thirespuram  Main  -  Ward  18  ,
7.Thoothukudi  Corporation  Thirespuram  7th  Street  -  Ward  18  , 8.Thoothukudi  Corporation  Thirespuram  8th  Street  -  Ward  18  , 9.Thoothukudi  Corporation  Thirespuram  9th  Street  -  Ward  18  ,
999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,34.28063943161634
156,Cruzpuram,"St.Joseph  Girls  Hr.Sec.  School,  West Building,  3rd  room  from  North  (STD  X  B), Cruzpuram","1.Thoothukudi  Corporation  Thirespuram  -  Ward  20  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,45.63492063492063
157,Cruzpuram,"St.Joseph  Girls  Hr.Sec.  School,  West Building,  2nd  room  from  North  (STD  X  C), Cruzpuram","1.Thoothukudi  Corporation  Mathavanayar  Colony  -  Ward  20  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,57.71065182829889
160,Beach  Road,"Caldwell  Hr  Sec  School,  East  Building,  1st room  from  South  (STD  XII  A2  Bio  and  CS), Beach  Road","1.Thoothukudi  Corporation  Beach  Road  -  Ward  21  ,  2.Thoothukudi Corporation  Anna  Colony  -  Ward  21  ,  3.Thoothukudi  Corporation St.Soosaiapper  Colony  -  Ward  21  ,  4.Thoothukudi  Corporation  Karikalam colony  -  Ward  21  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,25.7372654155496
204,Periya  Cotton  Road,"Karapettai  Nadar  (South)  Primary  School, Main  Building,  3rd  room  from  North  (3rd door),  Periya  Cotton  Road,  Thoothukudi","1.Thoothukudi  Corporation  Victoria  Street  -  Ward  24  ,  2.Thoothukudi Corporation  St.Helina  Sandhu  -  Ward  24  ,  3.Thoothukudi  Corporation Yuvan  Pillai  Sandhu  -  Ward  24  ,  4.Thoothukudi  Corporation  Peria  Kadai Street  -  Ward  24,  5.Thoothukudi  Corporation  Peraiyara  Street  -  Ward  24, 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,22.48322147651007
