Serial No. Of Polling Station,Locality,Building in Which it will be Located,Polling Area,Winner_Party,Margin_Percentage
1,Meelavittan,"T.N.D.T.A.  Primary  School,  Meelavitan","1.Thoothukudi  Corporation  Meelavittan  Block  1  -  Ward  3  ,  2.Thoothukudi Corporation  Kamaraj  Nagar  Block  4  -  Ward  3  ,  3.Thoothukudi Corporation  Yadhavar  Street  Block  1  -  Ward  3  ,  4.Thoothukudi Corporation  East  Street  -  Ward  3  ,  5.Thoothukudi  Corporation  West
Street  -  Ward  3  ,  6.Thoothukudi  Corporation  South  Street  -  Ward  3  , 7.Thoothukudi  Corporation  North  Street  -  Ward  3  ,  8.Thoothukudi
Corporation  Middle  Street  -  Ward  3  ,  9.Thoothukudi  Corporation  Sterlite Quarters  -  Ward  3  -Thamira  1  ,  10.Thoothukudi  Corporation  Kakkan Nagar  -  Ward  3  ,  11.Thoothukudi  Corporation  Arunthadhiar  Street  -  Ward
3  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,6.776180698151951
4,"V.M.S.  Nagar, Thoothukudi","I.C.E.  King  of  Kings  Matriculation  Hr.  Sec. School,  Middle  Block,  South  Portion,  U.K.G. B,  V.M.S.  Nagar,  Thoothukudi","1.Thoothukudi  Corporation  Bharathi  Nagar(Chinnakannupuram)  -  Ward 3  ,
2.Thoothukudi  Corporation  Chinnakannupuram  -  Ward  3  , 3.Thoothukudi  Corporation  Bharathi  Nagar  West  -  Ward  3  , 4.Thoothukudi  Corporation  Bharathi  Nagar  East  -  Ward  3  ,
999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,19.94535519125683
5,"V.M.S.  Nagar, Thoothukudi","I.C.E.  King  of  Kings  Matriculation  Hr.  Sec. School,  Administrative  Block,  1st  room  from south  STD-I  B,  V.M.S.  Nagar,  Thoothukudi","1.Thoothukudi  Corporation  Silverpuram  Slum  Portion  -  Ward  3  ,
2.Thoothukudi  Corporation  V.M.S  Nagar  (Chinnakannupuram  West)  - Ward  3  (Door  No.  from  1  to  1D-250)  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,11.39784946236559
6,"V.M.S.  Nagar, Thoothukudi","I.C.E.  King  of  Kings  Matriculation  Hr.  Sec. School,  Administrative  Block,  2nd  room  from South,  STD-II,  ,  V.M.S.  Nagar,  Thoothukudi","1.Thoothukudi  Corporation  V.M.S  Nagar  (Chinnakannupuram  West)  - Ward  3  (Door  No.  after  1D-250),  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,20.48872180451128
8,"Bharathi  Nagar, Meelavittan  Road (Near  4th  Railway gate)","Kiddies  World  Play  School,  West  Building, 1st  room  from  North,  Bharathi  Nagar, Meelavittan  Road  (Near  4th  Railway  gate)","1.Thoothukudi  Corporation  Ettayapuram  road  -  Ward  40  (Door  No.  74  to Last)  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,22.37521514629949
9,"Bharathi  Nagar, Meelavittan  Road (Near  4th  Railway gate)","Kiddies  World  Play  School,  North  Building, 2nd  room  from  West,  Bharathi  Nagar, Meelavittan  Road  (Near  4th  Railway  gate)","1.Thoothukudi  Corporation  Ettayapuram  Road  (K.V.K.)  Nagar  -  Ward  39 (Door  No.  From  1  to
55-2M-6)  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,21.90812720848056
12,Madathur,"T.N.D.T.A  Middle  School,  2nd  room  from south  side,  Madathur","1.Thoothukudi  Corporation  Madathur  -  Ward  34  ,  2.Thoothukudi Corporation  Railway  Quarters  -  Ward  3  ,  3.Thoothukudi  Corporation Diamond  Colony  -  Ward  34  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,19.78155339805825
22,Postal  Telegraph Colony  9th  street,"Corporation  Community  Hall,  East  Portion, Postal  Telegraph  Colony  9th  Street","1.Thoothukudi  Corporation  Kathirvel  Nagar  -  Ward  34  (Door  No.  1  to 2H-581),  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,22.08398133748056
23,Postal  Telegraph Colony  9th  street,"Corporation  Community  Hall,  West  Portion, Postal  Telegraph  Colony  9th  Street","1.Thoothukudi  Corporation  Kathirvel  Nagar  -  Ward  34  (Door  No.  After 2H-581),  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,32.87841191066997
25,"Tamil  nadu  Housing Board  Colony, Millerpuram","B.M.C.  Hr.  Sec.  School,  North  Building,  3rd room  from  East,  TNHB  Colony,  Millerpuram","1.  Thoothukudi  Corporation  Rajagopal  Nagar  -  Ward  3  (Door  No.  1  to 1G-245)  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,27.64900662251656
26,"Tamil  nadu  Housing Board  Colony, Millerpuram","B.M.C.  Hr.  Sec.  School,  North  Building,  4th room  from  East,  TNHB  Colony,  Millerpuram","1.  Thoothukudi  Corporation  Rajagopal  Nagar  -  Ward  3  (Door  No.  After 1G-246  to  1G-450)  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,34.04255319148936
