Polling_Station_No,location_clean,polling areas,Winner_Party,Runner_Up_Party,Margin_Of_Victory,Margin_Percentage
8,1st  Room Vagaikulam.,"1.Balastheenapuram And Vagaigulam
2.Maruthappapuram 999.OVERSEAS ELECTORS",dravida munnetra kazhagam,tamilaga vettri kazhagam,12,2.10896309314587
15,Azhahiyapandipuram,"1.Ward 3 Perumal  Sannathi  Street
2.Ward 3 Pillaimar  Street
3.Ward 3 Muthu Ramalinga Devar  Street
4.Ward 3 Nadu Street
5.Ward 3 North Street
6.Ward 3 Thillai  Natarajar  Street
7.Ward 3 Main Road
8.Ward 4 Indira Memorial  Colony 999.OVERSEAS ELECTORS",all india anna dravida munnetra kazhagam,tamilaga vettri kazhagam,2,0.4166666666666667
16,Azhahiyapandipuram,"1.Ward 4 Main Road
2.Ward 4 Ukkirankottai  Street
3.Ward 4 Amman Sannathi  Street
4.Ward 4 Pillaiyar  Kovil  Street
5.Ward 4 Sathya Street
6.Ward 4 Tenvadal  Street
7.Ward 4 Amman Kovil  Street
8.Ward 4 Vedhalam Kovil  Street
9.Ward 4 Church North Street 999.OVERSEAS ELECTORS",tamilaga vettri kazhagam,dravida munnetra kazhagam,13,2.021772939346812
19,Erandum Chollan.,"1.Irandum Sollan Pillaiyar  Kovil  Street
2.Block 1 Odai  Street
3.Block 1 Amman Kovil  Street
4.Block 1 Perumal  Kovil  Street
5.Block 1 Adi  Diravidar  Street
6.Block 2   Indira Ninaivu Kudieruppu
7.Block 2 North Street
8.Block 12 Church Street
9.Block 12 Church South Street 999.OVERSEAS ELECTORS",all india anna dravida munnetra kazhagam,dravida munnetra kazhagam,26,3.768115942028986
23,Melapillaiyarkulam.,"1.Santhanamariyamman Kovil  Street  & Main Road
2.Ambedkar  Nagar
3.Ambedkar  Colony 999.OVERSEAS ELECTORS",tamilaga vettri kazhagam,all india anna dravida munnetra kazhagam,15,3.289473684210526
26,East  Portion Nadupillaiyarkulam,"1.Block 4 North Street
2.Amman Kovil  North Street
3.Amman Kovil  South Street
4.Main Road & Adi  Diravidar  Kudiyeruppu. 999.OVERSEAS ELECTORS",dravida munnetra kazhagam,all india anna dravida munnetra kazhagam,28,4.3343653250774
27,Therkku Sezhiyanalloor.,"1.Pillaiyar  Kovil  Street,  Amman Kovil  Street  Keelpagam
2.Sorimadasamy Kovil  Street
3.Urudhumadasamy Kovil  Street
4.Urudhumadasamy Kovil  Street 999.OVERSEAS ELECTORS",tamilaga vettri kazhagam,all india anna dravida munnetra kazhagam,22,3.866432337434095
32,Mettupirancheri.,"1.Block 2 Amman Kovil  Street
2.Block 2 Middle  Street
3.Block 2 South Street
4.Block 2 Colony Street
5.Block 3 Pirancheri  Kaspa 999.OVERSEAS ELECTORS",tamilaga vettri kazhagam,dravida munnetra kazhagam,41,4.840613931523023
36,Rajapathy,"1.Ward 9 Kannan Kovil  Street
2.Ward 10 Paul  Pannai  Street
3.Ward 10 Azagu Muthu Nagar 999.OVERSEAS ELECTORS",naam tamilar katchi,tamilaga vettri kazhagam,15,2.311248073959938
39,(East  building) Gangaikondan,"1.Ward 1 Amman Sannathi  Street
2.Ward 11 Kaspa Kammalar  Quarters 999.OVERSEAS ELECTORS",all india anna dravida munnetra kazhagam,tamilaga vettri kazhagam,20,3.787878787878788
