serial no. of polling station,all india anna dravida munnetra kazhagam,naam tamilar katchi,dravida munnetra kazhagam,tamizhaga vaazhvurimai katchi,naam indiar party,aanaithinthiya jananayaka pathukappu kazhagam,bahujan dravida party,puthiya makkal tamil desam katchi,tamilaga vettri kazhagam,thamizhaka padaippalar makkal katchi,puthiya tamilagam,independent,independent.1,independent.2,independent.3,independent.4,independent.5,independent.6,independent.7,independent.8,total of valid votes,no. of rejected votes,nota,total,no. of tendered votes,building in which it will be located,polling areas,whether for all voters or men only or women only,building_clean,location_clean,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Of_Victory,Runner_Up_Party,AIADMK_Rank,NTK_Rank,DMK_Rank,TAVAK_Rank,NIP_Rank,PMTDK_Rank,TVK_Rank,IND1_Rank,IND2_Rank,IND3_Rank,IND4_Rank,IND5_Rank,IND6_Rank,IND7_Rank,IND8_Rank,IND9_Rank,Margin_Percentage,Total_Independent_Votes
1,76,38,153,0,0,2,0,1,78,0,5,0,0,0,2,1,1,0,0,0,357,0,0,357,0,"Manur  Panchayat  Union Primary School,  Eastern Portion, Mottaiyanoor","1.Mottaiyanoor  South Street
2.Mottaiyanoor  Main Road
3.Marakkudi  Rastha Keelpagam 999.OVERSEAS ELECTORS",General,"Manur  Panchayat  Union Primary School,  Eastern Portion",Mottaiyanoor,dravida munnetra kazhagam,153,78,75,tamilaga vettri kazhagam,3,4,1,9,9,6,2,9,9,9,5,6,6,9,9,9,21.00840336134454,4
2,173,79,220,3,1,2,1,0,168,3,0,0,1,4,3,2,2,1,1,0,664,0,1,665,0,"Manur  Panchayat  Union Primary School,  Western Portion, Mottaiyanoor.","1.Marakkudi  Rastha Main Road
2.Marakkudi  Rastha Keelpagam
3.Marakkudi  Rastha Main Road
4.Vallveechu Rastha 999.OVERSEAS ELECTORS",General,"Manur  Panchayat  Union Primary School,  Western Portion",Mottaiyanoor.,dravida munnetra kazhagam,220,173,47,all india anna dravida munnetra kazhagam,2,4,1,6,10,14,3,14,10,5,6,8,8,10,10,14,7.078313253012049,14
3,69,55,102,0,1,3,0,1,223,0,0,1,0,1,1,0,0,0,0,1,458,0,1,459,0,"St.Peter  Hr.Sec.School,  GoldenJubilee  Block (west  Portion) Ukkirankottai.","1.South Street
2.Main Road -  1
3.North Street
4.Main Road (North Portion -  South Portion)
5.Main Road South Portion
6.Main Road -  2 999.OVERSEAS ELECTORS",General,St.Peter  Hr.Sec.School,GoldenJubilee  Block (west  Portion) Ukkirankottai.,tamilaga vettri kazhagam,223,102,121,dravida munnetra kazhagam,3,4,2,11,5,5,1,5,11,5,5,11,11,11,11,5,26.41921397379913,4
4,66,34,174,0,0,4,0,3,99,1,3,0,1,0,1,1,2,0,0,0,389,0,0,389,0,"St.Peter  Hr.Sec.School,  Golden Jubilee  Block Back Side East  Portion Ukkirankottai.","1.Middle  Street,  North Street
2.Sampoothu 999.OVERSEAS ELECTORS",General,St.Peter  Hr.Sec.School,Golden Jubilee  Block Back Side East  Portion Ukkirankottai.,dravida munnetra kazhagam,174,99,75,tamilaga vettri kazhagam,3,4,1,10,10,5,2,10,7,10,7,7,6,10,10,10,19.28020565552699,5
5,11,28,214,3,0,0,0,1,126,0,9,1,0,0,0,0,0,1,0,0,394,0,0,394,0,"St.Peter  Hr.Sec.School,  Golden Jubilee  Block (Middle Portion)  Ukkirankottai.","1.Ukkirankottai  Main Road
2.Main Road
3.Middle  Street  North Portion
4.Middle  Street  -  1
5.Middle  Street  -  2 999.OVERSEAS ELECTORS",General,St.Peter  Hr.Sec.School,Golden Jubilee  Block (Middle Portion)  Ukkirankottai.,dravida munnetra kazhagam,214,126,88,tamilaga vettri kazhagam,4,3,1,5,9,6,2,6,9,9,9,9,9,6,9,9,22.33502538071066,2
6,12,44,310,0,0,1,0,2,176,0,9,0,1,2,1,0,0,0,0,0,558,0,0,558,0,"St.Peter  Hr.Sec.School,  Golden Jubilee  Block (East  Portion) Ukkirankottai.","1.Azhagiyapandiyapuram Road
2.Muthammalpuram Road
3.Keelpagam Main Road
4.Bethel  Colony 999.OVERSEAS ELECTORS",General,St.Peter  Hr.Sec.School,Golden Jubilee  Block (East  Portion) Ukkirankottai.,dravida munnetra kazhagam,310,176,134,tamilaga vettri kazhagam,4,3,1,9,9,5,2,9,7,5,7,9,9,9,9,9,24.01433691756272,4
7,104,41,228,0,0,1,1,0,171,2,8,0,0,0,1,1,3,1,1,1,564,0,0,564,0,"St.Peter  Hr.Sec School,  Souther  Portion,  Middle  Part, Ukkirankottai.","1.Middle  Street  South Portion
2.Middle  Street  South Portion 1
3.Middle  Street  South Portion 2
4.North Street
5.Church Street
6.Middle  Sreet  South Portion 3
7.Middle  Street  South Portion 4
8.West  Portion 999.OVERSEAS ELECTORS",General,"St.Peter  Hr.Sec School,  Souther  Portion,  Middle  Part",Ukkirankottai.,dravida munnetra kazhagam,228,171,57,tamilaga vettri kazhagam,3,4,1,11,11,11,2,11,11,11,6,6,5,6,6,6,10.1063829787234,8
8,119,38,191,1,1,14,0,1,179,1,13,2,0,2,0,2,2,0,1,2,569,0,1,570,0,"T.D.T.A.St.  Paul  Middle  School,  North Portion,  Eastern Part, 1st  Room Vagaikulam.","1.Balastheenapuram And Vagaigulam
2.Maruthappapuram 999.OVERSEAS ELECTORS",General,"T.D.T.A.St.  Paul  Middle  School,  North Portion,  Eastern Part",1st  Room Vagaikulam.,dravida munnetra kazhagam,191,179,12,tamilaga vettri kazhagam,3,4,1,10,10,10,2,5,14,5,14,5,5,14,10,5,2.10896309314587,11
9,187,27,113,0,0,0,0,0,145,0,1,0,0,0,1,0,1,0,1,0,476,0,0,476,0,"T.D.T.A.St.  Paul  Middle  School,  North Portion,  Eastern Part, 2nd Room, Vagaikulam.",1.Senaiyar  North Street 999.OVERSEAS ELECTORS,General,"T.D.T.A.St.  Paul  Middle  School,  North Portion,  Eastern Part, 2nd Room",Vagaikulam.,all india anna dravida munnetra kazhagam,187,145,42,tamilaga vettri kazhagam,1,4,3,8,8,8,2,8,8,8,5,8,5,8,5,8,8.823529411764707,3
10,209,156,159,2,0,0,0,3,317,3,3,2,1,2,3,0,2,2,1,1,866,0,0,866,0,"T.D.T.A.St.  Paul  Midddle  School,  North Portion,  Western Part,  2nd Room, Vagaikulam","1.Amman Sannathi  East  Street
2.Arunthathiar  Street
3.Ward 1 South Street Vadakku   vagaigulam 999.OVERSEAS ELECTORS",General,"T.D.T.A.St.  Paul  Midddle  School,  North Portion,  Western Part,  2nd Room",Vagaikulam,tamilaga vettri kazhagam,317,209,108,all india anna dravida munnetra kazhagam,2,4,3,7,15,5,1,7,12,7,5,15,7,7,12,12,12.47113163972286,14
11,109,51,179,8,0,5,3,2,348,2,43,1,0,2,4,0,5,0,1,1,764,0,3,767,0,"T.D.T.A.St.  Paul  Midddle  School,  North Portion,  Western Part,  1st  Room, Vagaikulam","1.Harijan East  Street  South Vagaikulam
2.Thevar  West  Street  South Vagaikulam 999.OVERSEAS ELECTORS",General,"T.D.T.A.St.  Paul  Midddle  School,  North Portion,  Western Part,  1st  Room",Vagaikulam,tamilaga vettri kazhagam,348,179,169,dravida munnetra kazhagam,3,4,2,5,13,8,1,10,13,8,7,13,6,13,10,10,22.12041884816754,14
12,99,125,174,2,0,0,1,0,112,0,0,0,0,1,0,3,1,0,1,0,519,0,1,520,0,"T.D.T.A.St.Paul  Middle  School,  Southern Portion,  Middle Part,  Vagaikulam",1.Ward 2 Nadar  West  Street Vadakkuvagaigulam 999.OVERSEAS ELECTORS,General,"T.D.T.A.St.Paul  Middle  School,  Southern Portion,  Middle Part",Vagaikulam,dravida munnetra kazhagam,174,125,49,naam tamilar katchi,4,2,1,6,10,10,3,10,10,7,10,5,7,10,7,10,9.441233140655106,6
13,284,25,50,0,0,1,0,2,145,0,1,0,0,0,3,3,5,1,2,1,523,0,0,523,0,"Panchayat  Union Middle  School,  Subbiahpuram.","1.Ward 1 Amman Kovil  East  Street
2.Ward 1 North Street
3.Ward 1 Center  North Street  (Upside)
4.Ward 1 Center  North Street  (Downside)
5.Ward 1 Amman Kovil  Street
6.Ward 1 Pillaiyar  Kovil  Street 999.OVERSEAS ELECTORS",General,Panchayat  Union Middle  School,Subbiahpuram.,all india anna dravida munnetra kazhagam,284,145,139,tamilaga vettri kazhagam,1,4,3,12,12,8,2,12,12,12,6,6,5,10,8,10,26.57743785850861,15
14,262,19,29,0,0,1,0,2,98,1,0,0,0,1,0,4,5,0,0,1,423,0,1,424,0,"Panchayat  Union Middle  School,  Back Side  West  Room Subbiahpuram.","1.Ward 1 Middle  Street
2.Ward 1 Main Street
3.Ward 1 South Street 999.OVERSEAS ELECTORS",General,Panchayat  Union Middle  School,Back Side  West  Room Subbiahpuram.,all india anna dravida munnetra kazhagam,262,98,164,tamilaga vettri kazhagam,1,4,3,10,10,7,2,10,10,8,10,6,5,10,10,8,38.77068557919622,11
