Polling_Station_No,location_clean,total of valid votes,Total_Independent_Votes,Winner_Party,Margin_Of_Victory,Independent_Vote_Share_%,Is_Spoiler_Risk
156,Thiruppanikarisalkulam,866,39,dravida munnetra kazhagam,29,4.503464203233257,Yes
37,Paruthikulam.,598,24,tamilaga vettri kazhagam,150,4.013377926421405,No
109,Government  High School  South to   North 5th 9th Class Room Pallamadai.,436,17,all india anna dravida munnetra kazhagam,64,3.89908256880734,No
34,Venkatachalapuram.,455,17,tamilaga vettri kazhagam,57,3.736263736263736,No
23,Melapillaiyarkulam.,456,17,tamilaga vettri kazhagam,15,3.728070175438596,Yes
119,Kalakkudi.,488,17,all india anna dravida munnetra kazhagam,42,3.483606557377049,No
154,Thiruppanikarisalkulam.,529,17,tamilaga vettri kazhagam,79,3.213610586011342,No
27,Therkku Sezhiyanalloor.,569,18,tamilaga vettri kazhagam,22,3.163444639718805,No
124,Therkkupatti.,452,14,all india anna dravida munnetra kazhagam,150,3.097345132743363,No
169,Melakkallur.,711,22,tamilaga vettri kazhagam,91,3.09423347398031,No
33,Venkatachalapuram.,622,19,tamilaga vettri kazhagam,98,3.054662379421222,No
103,Panchayat  Union Primary School  West  Building   North Room                                     Tenkalam Puthur.,396,12,dravida munnetra kazhagam,30,3.03030303030303,No
21,Kattarankulam.,373,11,tamilaga vettri kazhagam,27,2.949061662198391,No
13,Subbiahpuram.,523,15,all india anna dravida munnetra kazhagam,139,2.868068833652007,No
153,Back Side  Building West Portion Kammalankulam.,459,13,dravida munnetra kazhagam,26,2.832244008714597,No
148,East  Building   2nd Room Ramayanpatti.,338,9,tamilaga vettri kazhagam,74,2.662721893491125,No
150,West Side  Ramayanpatti.,566,15,tamilaga vettri kazhagam,41,2.65017667844523,No
14,Back Side  West  Room Subbiahpuram.,423,11,all india anna dravida munnetra kazhagam,164,2.60047281323877,No
115,North Building West  Portion Manur.,793,20,dravida munnetra kazhagam,41,2.522068095838588,No
99,Keelathenkalam.,487,12,tamilaga vettri kazhagam,37,2.464065708418891,No
135,Rastha.,580,14,tamilaga vettri kazhagam,121,2.413793103448276,No
43,Community Hall  Anaithalaiyur,416,10,dravida munnetra kazhagam,79,2.403846153846154,No
142,T.D.T.A Primary School  Entrance  Reoom Vepankulam,501,12,tamilaga vettri kazhagam,71,2.395209580838324,No
113,North Building East  Side  Manur.,425,10,dravida munnetra kazhagam,187,2.352941176470588,No
147,Eastren Side Ramayanpatti.,511,12,tamilaga vettri kazhagam,36,2.348336594911937,No
110,Mavadi.,858,20,tamilaga vettri kazhagam,111,2.331002331002331,No
55,Palamadai.,610,14,tamilaga vettri kazhagam,206,2.295081967213115,No
73,(Govt.  High school  campus)  Chathramkudieruppu.,484,11,tamilaga vettri kazhagam,76,2.272727272727273,No
342,Integrated Children's Centre   Kandiyaperi  -II Centre Number  -  33628090205 Kandiyaprei  Village,532,12,tamilaga vettri kazhagam,86,2.255639097744361,No
161,T.D.T.A Primary   School   South Portion East  Side Vellankulam.,635,14,tamilaga vettri kazhagam,152,2.204724409448819,No
130,Pudur.,737,16,all india anna dravida munnetra kazhagam,36,2.170963364993216,No
200,Karunkadu.,554,12,all india anna dravida munnetra kazhagam,6,2.166064981949458,Yes
121,Kalakkudi.,554,12,dravida munnetra kazhagam,33,2.166064981949458,No
372,Karaieruppu.,743,16,all india anna dravida munnetra kazhagam,52,2.153432032301481,No
31,Ithikulam.,705,15,tamilaga vettri kazhagam,135,2.127659574468085,No
58,Rajavallipuram.,755,16,tamilaga vettri kazhagam,73,2.119205298013245,No
2,Mottaiyanoor.,664,14,dravida munnetra kazhagam,47,2.108433734939759,No
152,West  Side Kammalankulam.,632,13,dravida munnetra kazhagam,135,2.056962025316456,No
128,Ettankulam.,490,10,all india anna dravida munnetra kazhagam,120,2.040816326530612,No
19,Erandum Chollan.,690,14,all india anna dravida munnetra kazhagam,26,2.028985507246376,No
129,(Middle Portion)  Ettankulam.,549,11,all india anna dravida munnetra kazhagam,188,2.003642987249544,No
165,Seethaparpanallur.,750,15,tamilaga vettri kazhagam,198,2.0,No
