serial no. of polling station,location_clean,building_clean,polling areas,Winner_Party,Margin_Percentage
9,Vagaikulam.,"T.D.T.A.St.  Paul  Middle  School,  North Portion,  Eastern Part, 2nd Room",1.Senaiyar  North Street 999.OVERSEAS ELECTORS,all india anna dravida munnetra kazhagam,8.823529411764707
13,Subbiahpuram.,Panchayat  Union Middle  School,"1.Ward 1 Amman Kovil  East  Street
2.Ward 1 North Street
3.Ward 1 Center  North Street  (Upside)
4.Ward 1 Center  North Street  (Downside)
5.Ward 1 Amman Kovil  Street
6.Ward 1 Pillaiyar  Kovil  Street 999.OVERSEAS ELECTORS",all india anna dravida munnetra kazhagam,26.57743785850861
14,Back Side  West  Room Subbiahpuram.,Panchayat  Union Middle  School,"1.Ward 1 Middle  Street
2.Ward 1 Main Street
3.Ward 1 South Street 999.OVERSEAS ELECTORS",all india anna dravida munnetra kazhagam,38.77068557919622
22,Melapillaiyarkulam.,"Panchayat  Union Primary   School,  Middle  Portion,  North Building","1.Block 1 Akraharam North Street
2.Akraharam South Street
3.Block 6 Kaspa Street 999.OVERSEAS ELECTORS",all india anna dravida munnetra kazhagam,15.5148095909732
24,Keelapillaiyarkulam.,"Gandhiji  Vidhyalaya Hindu Primary School,  East  Part","1.North Street
2.Middle  Street
3.Karuppasamy Kovil  Street 999.  OVERSEAS ELECTORS",all india anna dravida munnetra kazhagam,19.37799043062201
25,Keelapillaiyarkulam.,"Gandhiji  Vidhyalaya Hindu Primary School,  West  Part","1.South Street
2.Dhanuskodi  Nagar
3.Kurichi  Nagar. 999.OVERSEAS ELECTORS",all india anna dravida munnetra kazhagam,17.59776536312849
26,East  Portion Nadupillaiyarkulam,Panchayat  Union Primary School,"1.Block 4 North Street
2.Amman Kovil  North Street
3.Amman Kovil  South Street
4.Main Road & Adi  Diravidar  Kudiyeruppu. 999.OVERSEAS ELECTORS",dravida munnetra kazhagam,4.3343653250774
38,Gangaikondan.,"Panchayat  Union Primary School,  East  Building,  Northern Part",1.Block 12 Kaspa Perumal  Sannathi  Street 999.OVERSEAS ELECTORS,all india anna dravida munnetra kazhagam,20.8955223880597
39,(East  building) Gangaikondan,Government  Higher  Secondary School,"1.Ward 1 Amman Sannathi  Street
2.Ward 11 Kaspa Kammalar  Quarters 999.OVERSEAS ELECTORS",all india anna dravida munnetra kazhagam,3.787878787878788
40,Vadagarai,"Panchyat  Union Middle  School,North Portion","1.Ward 2 North Street
2.Ward 2 West  Street 999.OVERSEAS ELECTORS",all india anna dravida munnetra kazhagam,19.7962154294032
41,Vadagarai,"Panchyat  Union Middle  School,  South Portion",Ward 3 Pillaiyar  Kovil  Street Ward 3 Main Road South Part Ward 4 Marakudi  Street 999.OVERSEAS ELECTORS,all india anna dravida munnetra kazhagam,21.27659574468085
60,Rajavallipuram.,"Ponnusamy Middle  School,  South Block,  North Side","1.Ward 6 West  Street
2.Ward 7 Petchiamman Kovil  Street 999.OVERSEAS ELECTORS",tamilaga vettri kazhagam,0.8941877794336811
66,Kurichikulam.,Child Care  Centre,"1.Ward 6 North Street
2.Ward 8 Manthiramoorthi  Kovil  Street  Karaieruppu
3.Ward 8 Karaieruppu North Street 999.OVERSEAS ELECTORS",all india anna dravida munnetra kazhagam,17.29323308270677
67,New Community Hall  Kurichikulam,New Community Hall  Kurichikulam,"1.Ward 6 Amman Kovil  Street
2.Ward 6 Periya Street
3.Ward 6 South Street
4.Ward 6 Salai  Street
5.Ward 6 Maravar  South Periya Street
6.Ward 6 Maravar  South Street 999.OVERSEAS ELECTORS",all india anna dravida munnetra kazhagam,24.30167597765363
80,2nd Room Chathramkudieruppu.,"St.Joseph Primary School,  North Building,  East  Portion","1.Ward 11 Santhanakumari  Illam
2.Ward 10 Pasumpon Nagar  Ist  Street
3.Ward 10 Pillaiyar  Kovil  West  Street
4.Ward 10 Pillaiyar  Kovil  Street
5.Ward 10 Pillaiyar  Kovil  East  Street,  Ist  Street,  IInd Street 999.OVERSEAS ELECTORS",all india anna dravida munnetra kazhagam,4.29553264604811
107,Middle portion Alavanthankulam.,"St.Anthoniyar  Hr.  Sec.  School,  Central  Building","1.Block 2 Nellaithiruthu Amman Kovil  Street
2.Block 2 Nellaithiruthu Krishnan Kovil  Street
3.Block 2 Nellaithiruthu South Street 999.OVERSEAS ELECTORS",all india anna dravida munnetra kazhagam,39.48387096774194
108,Government  High School  South to   North 4th 10th Class Room Pallamadai.,Government  High School  South to   North 4th 10th Class Room Pallamadai.,"1.Block 5 Middle  Street
2.Block 5 East  Street  1st  Street
3.Block 5 East  Street  2nd Street
4.Block 5 East  Street  3rd Street
5.Block 5 North Street
6.Block 4 South Street
7.Block 4 West  Street  1st  Street
8.Block 4 West  Street  2nd Street 999.OVERSEAS ELECTORS",all india anna dravida munnetra kazhagam,8.151382823871907
109,Government  High School  South to   North 5th 9th Class Room Pallamadai.,Government  High School  South to   North 5th 9th Class Room Pallamadai.,"1.Block 4 West  Street  3rd Street
2.Block 4 North West  Street
3.Block 4 North 1st  Ricemill  Street
4.Block 4 North 2nd Street
5.Block 4 North 3rd Street
6.Block 4 North 4th Street
7.Block 4 North 5th Street
8.Block 4 North 6th Street 999.OVERSEAS ELECTORS",all india anna dravida munnetra kazhagam,14.67889908256881
120,South Building West Portion Kalakkudi,Panchayat  Union Primary    School,"1.Block 2 Kaspa Pillaiyar  Kovil  Street
2.Block 2 Gramasavadi  Street
3.Block 3 Kaspa Pillaiyar  Kovil  Center  Part  Street
4.Block 4 Gramasavadi  North Street
5.Block 1 Puthukulam West  Part  Street
6.Block 1 Puthukulam East  Part  Street 999.OVERSEAS ELECTORS",all india anna dravida munnetra kazhagam,23.36874051593323
124,Therkkupatti.,"Noorul  Ishlam Mushlim High School,  West  Portion,  1st Room From West","1.Block 1 Chekkadi  Street
2.Block 2 Yadavar  North Street 999.OVERSEAS ELECTORS",all india anna dravida munnetra kazhagam,33.1858407079646
128,Ettankulam.,"Panchayat  Union High School,  Western   Building","1.Block 2 North Street
2.Block 3 Keela Street,  Nallaperumal  Street 999.OVERSEAS ELECTORS",all india anna dravida munnetra kazhagam,24.48979591836735
129,(Middle Portion)  Ettankulam.,"Panchayat  Union High School,  North   Building","1.Block 4 South Street
2.Block 5 Sudalaiandi  Kovil  Street 999.OVERSEAS ELECTORS",all india anna dravida munnetra kazhagam,34.24408014571949
130,Pudur.,Hindu Primary School,"1.Ward 1 Pillaiyar  Kovil  Street
2.Ward 1 Bharathiyar  North Street 999.OVERSEAS ELECTORS",all india anna dravida munnetra kazhagam,4.884667571234735
167,Sankanthiradu.,Hindu Primary School,"1.Ward 1 Sankanthiradu North Street
2.Sankanthiradu Middle  Street  Amman Kovil  Street 999.OVERSEAS ELECTORS",tamilaga vettri kazhagam,0.9104704097116844
168,Community Hall   South Sankanthiradu,Community Hall   South Sankanthiradu,1.Ward 2 Sankanthiradu South Street  South Sankanthiradu 999.OVERSEAS ELECTORS,all india anna dravida munnetra kazhagam,24.82993197278912
170,Nadukkallur..,"Government  Hr.Sec.  School,  East  Portion,  South Side,  New Building","1.Ward 1 CR Colony North Pudukkudikallur,
2.Ward 1 Pillaiyar  Kovil  Street
3.Ward 1 Muppidathiamman Kovil  Street
4.Ward 2 South Street  (South Pudukkudikallur) 999.OVERSEAS ELECTORS",all india anna dravida munnetra kazhagam,6.351039260969977
