serial no. of polling station,location_clean,building_clean,polling areas,Winner_Party,Margin_Percentage
5,Golden Jubilee  Block (Middle Portion)  Ukkirankottai.,St.Peter  Hr.Sec.School,"1.Ukkirankottai  Main Road
2.Main Road
3.Middle  Street  North Portion
4.Middle  Street  -  1
5.Middle  Street  -  2 999.OVERSEAS ELECTORS",dravida munnetra kazhagam,22.33502538071066
6,Golden Jubilee  Block (East  Portion) Ukkirankottai.,St.Peter  Hr.Sec.School,"1.Azhagiyapandiyapuram Road
2.Muthammalpuram Road
3.Keelpagam Main Road
4.Bethel  Colony 999.OVERSEAS ELECTORS",dravida munnetra kazhagam,24.01433691756272
42,Anaithalaiyur.,"R.C.  Primary School,  Western Wing","1.Block 6 Church Street
2.Block 4 Colony Street 999.OVERSEAS ELECTORS",dravida munnetra kazhagam,18.75
43,Community Hall  Anaithalaiyur,Community Hall  Anaithalaiyur,1.Block 6 Mupudathiamman Kovil  Street 999.OVERSEAS ELECTORS,dravida munnetra kazhagam,18.99038461538461
95,Thalaiyuthu.,"Panchayat  Union Middle  School,  South Building,  West Portion","1.Block 7 Muslim North Street
2.Block 7 Mudukku Street
3.Block 7 North School  Street
4.Block 8 Pallivasal  Street
5.Block 8 Muslim North Street
6.Block 8 Muslim Middle  Street
7.Block 9 School  South Street
8.Block 9 Pillivasal  North Street
9.Block 9 West  Pallivasal  Street 999.OVERSEAS ELECTORS",dravida munnetra kazhagam,37.7906976744186
101,Keelathenkalam.,"T.D.T.A Middle  School,  South Portion","1.Vadapagam Muslim Street
2.Block 5 Tenkalam South Side
3.Adidiravidar  Quarters
4.Keelathenkalam. 999.OVERSEAS ELECTORS",dravida munnetra kazhagam,19.07756813417191
111,North Face Ayupkanpuram,Panchayat  Union Primary School,"1.Block 1 Kuthalaperi  North Street
2.Block 1 Kuthalaperi  Colony Street
3.Block 1 Kuthalaperi  Middle  Street
4.Block 1 Kuthalaperi  Manthiramoorthy Street
5.Block 2 Ayubkanpuram North Street
6.Block 2 Ayubkanpuram Pallivasal  Street
7.Block 2 Ayubkanpuram South Street
8.Block 2 Ayubkanpuram Pillaiyar  Kovil  Street
9.Block 2 Ayubkanpuram Perumal  Kovil  Street 999.OVERSEAS ELECTORS",dravida munnetra kazhagam,31.25
113,North Building East  Side  Manur.,Government  Hr.sec.School,1.Block 1 North Street  Harijan Quarters 999.OVERSEAS ELECTORS,dravida munnetra kazhagam,44.0
117,Parvathiyapuram,"T.D.T.A.  Punitha Yowan Middle  School,  West  Building, North Part","1.Parvathiyapuram North Portion
2.Parvathiyapuram Kanarpatti  Road 999.OVERSEAS ELECTORS",dravida munnetra kazhagam,21.37592137592138
122,Kurichikulam.,"Panchayat  Union Middle  School,  East  Side  of  New Building","1.Block 1 Melatheru
2.Block 2 Keelatheru 999.OVERSEAS ELECTORS",dravida munnetra kazhagam,65.74202496532594
