serial no. of polling station,location_clean,building_clean,polling areas,Winner_Party,Margin_Percentage
3,GoldenJubilee  Block (west  Portion) Ukkirankottai.,St.Peter  Hr.Sec.School,"1.South Street
2.Main Road -  1
3.North Street
4.Main Road (North Portion -  South Portion)
5.Main Road South Portion
6.Main Road -  2 999.OVERSEAS ELECTORS",tamilaga vettri kazhagam,26.41921397379913
11,Vagaikulam,"T.D.T.A.St.  Paul  Midddle  School,  North Portion,  Western Part,  1st  Room","1.Harijan East  Street  South Vagaikulam
2.Thevar  West  Street  South Vagaikulam 999.OVERSEAS ELECTORS",tamilaga vettri kazhagam,22.12041884816754
15,Azhahiyapandipuram,"T.D.T.A Primary School,  Eastern Portion","1.Ward 3 Perumal  Sannathi  Street
2.Ward 3 Pillaimar  Street
3.Ward 3 Muthu Ramalinga Devar  Street
4.Ward 3 Nadu Street
5.Ward 3 North Street
6.Ward 3 Thillai  Natarajar  Street
7.Ward 3 Main Road
8.Ward 4 Indira Memorial  Colony 999.OVERSEAS ELECTORS",all india anna dravida munnetra kazhagam,0.4166666666666667
16,Azhahiyapandipuram,"T.D.T.A Primary School,  Middle  Part","1.Ward 4 Main Road
2.Ward 4 Ukkirankottai  Street
3.Ward 4 Amman Sannathi  Street
4.Ward 4 Pillaiyar  Kovil  Street
5.Ward 4 Sathya Street
6.Ward 4 Tenvadal  Street
7.Ward 4 Amman Kovil  Street
8.Ward 4 Vedhalam Kovil  Street
9.Ward 4 Church North Street 999.OVERSEAS ELECTORS",tamilaga vettri kazhagam,2.021772939346812
29,South Portion Vadakku Sezhiyanalloor.,Panchayat  Union primary School,"1.Block 1 Krishnan Kovil  Street
2.Block 2 South Street
3.Block 3 North Street
4.North Street  Gandheeswaram Puthur
5.East  Street
6.Middle  Street
7.Esakkiammal  Kovil  Street 999.OVERSEAS ELECTORS",tamilaga vettri kazhagam,16.11111111111111
30,North Portion Vadakku Sezhiyanalloor.,Panchayat  Union primary School,"1.Thiruvalluvar  Street
2.Vijayan Nagar
3.Adi  Diravidar  Kudiyiruppu
4.Adi  Diravidar  Colony
5.Keela Sezhiyanallur  Kaliamman Kovil  Street
6.Saradha Nagar
7.Durgaiamman Kovil  Street
8.Pillaiyar  Kovil  Street
9.Vasagasalai  Street 999.OVERSEAS ELECTORS",tamilaga vettri kazhagam,16.85761047463175
47,Duraiyoor,"Panchyat  Union Middle  School,  North Building","1.Street  No 5
2.Street  No 6
3.West  Portion Street  No 7
4.Street  No 8
5.Street  No 9
6.Street  No 10 999.OVERSEAS ELECTORS",dravida munnetra kazhagam,0.5102040816326531
54,North Building Palamadai.,"Panchayat  Union Middle   School,  South Portion","1.Block 1 Veppankulam
2.Block 2 Kattalai  Vethakovil  Street
3.Block 3 Narayanasamy Kovil  Street 999.OVERSEAS ELECTORS",tamilaga vettri kazhagam,42.89405684754522
55,Palamadai.,"Panchayat  Union Middle  School,  North Portion ,  North Building","1.Block 4 Perumal  kovil  Street  Palamadai.
2.Block 4 Pillaiyar  Kovil  Street
3.Block 4 Maravar  Middle  Street
4.Block 4 Pillaiyar  Kovil  Street
5.Block 4 Pillaiyar  Kovil  Street 999.OVERSEAS ELECTORS",tamilaga vettri kazhagam,33.77049180327869
56,Palamadai.,"Panchayat  Union Middle  School,  Middle  Portion ,South Building","1.Block 6 Harijana Ammankovil  Street
2.Block 5 South Street
3.Block 5 South Street
4.Block 5 Yathav Street
5.Block 5 Velar  Street 999.OVERSEAS ELECTORS",tamilaga vettri kazhagam,18.30188679245283
