Polling Area,Polling_Stations_List,Total_Valid_Votes_In_Area,Total_Independent_Votes_In_Area,Independent_Vote_Share_%
"1.Vatchakkarapatti(R.V),  Vatchakkarapatti
(P)  Ward  4  Akraharapatti  ,  2 2.Vatchakkarapatti(R.V),  Vatchakkarapatti
(P)  Ward  5  Shanmugasundarapuram",252,438,23,5.251141552511415
".1.V.Chokkalingapuram(R.V.) Jameenjalvarpatti  (P)  Ward  2
Jameenjalvarpatti  , 2.V.Chokkalingapuram(R.V.) Jameenjalvarpatti  (P)  Ward  3 Jameenjalvarpatti 3.V.Chokkalingapuram(R.V.), Jameenjalvarpatti  (P)  Ward  4
Jameenjalvarpatti",276,506,21,4.150197628458498
"1.Chattrareddiyapatti  (R.V), Chattrareddiyapatti(P)  Ward  2
Chattrareddiyapatti  east",92,655,27,4.122137404580153
"1.Vadi(R.V)  ,  Vadi  (P)  Ward  3  Milagupatti  , Sathananthapuram  Serial  No  707-1243",274,370,14,3.783783783783784
1.Pattamputhur(RV)  Pattamputhur(P)  Ward  3 Pattamputhur,251,278,10,3.597122302158273
"1.Vellur(R.V),Vellur  (P)  Ward  5  Vellur  , 2.Vellur(R.V.),Vellur  (P)  Ward  6  Vellur",49,659,21,3.186646433990895
"1.Virudhunagar  (m)  Ward  35  ramamoorthy road  1st  ,
2.Virudhunagar  (M)  Ward  35  Ramamoorthy Road  2nd  Street  ,  3.Virudhunagar  (M)  Ward 35  Ramamoorthy  Road  3rd  street  , 4.Virudhunagar  (M)  Ward  35  Ramamoorthy Road  4th  Street  ,
5.Virudhunagar  (M)  Ward  35  Ramamoorthy Road  5th  Street  ,
6.Virudhunagar  (M)  Ward  35  Ramamoorthy Road  6th  Street  ,
7.Virudhunagar  (M)  Ward  35  Ramamoorthy
Road  7th  Street",161,575,18,3.130434782608696
"1.Chinnavadi(R.V),Chinnavadi  (P) Thathapatti  ,  2.Chinnavadi(R.V),Chinnavadi
(P)  Ward  2  V.Ramalingapuram",281,416,13,3.125
"1.Vadi(R.V.),  Vadi  (P)  Ward  1  Vadi",269,678,21,3.097345132743363
"1.Maruluthu(R.V)Maruluthu  (P)  Ward  1 Maruluthu  North  Street  ,
2.Maruluthu  (R.V),  Maruluthu  (P)  Ward  2 Maruluthu  Kamarajar  Street  ,   , 3.Maruluthu  (R.V),Maruluthu(P)  Ward  3 Allakathipatti  ,
4.Vaipoottanpatti(R.V),  Maruluthu  (P)  Ward  4
Vaipoottanpatti",246,561,17,3.03030303030303
"1.Chattrareddiyapatti  (R.V.) Chattrareddiyapatti(P)  Ward  3 Chattrareddiyapatti  Centre  , 2.Chattrareddiyapatti  (R..V) Chattrareddiyapatti(P)  Ward  4
Chattrareddiyapatti  Centre",93,429,13,3.03030303030303
"1.Moolipatti  (R.V)  Moolipatti  (P)  Ward  4 Moolipatti  ,
2.Moolipatti  (R.V)  ,  Moolipatti(P)  Ward  5
Thavasilingapuram",59,678,20,2.949852507374631
"1.Vellur(R.V)Vellur  (p)  Ward  3  vellur  , 2.Vellur(R.V),Vellur  (P)  Ward  4  Vellur",48,629,18,2.861685214626391
"Thatchakudi  (R.V)  Thatchakudi  (P)
Ward  1  North  Kuppanapuram  Ward  2  South Kuppanapuram",23,600,17,2.833333333333333
"1.Vatchakkarpatti(R.V),  Vatchakkarapatti  (P) Ward  1  Vatchakkarapatti  Serial  No750-1250",254,322,9,2.795031055900621
"1.Thathampatti  (R.V),  Thathampatti(P)  Ward 2  Adhithiravidar  street,  Chinnathathampatti
,  2.Thathampatti(R.V),Valavanthalpuram  (P)
Ward  3  Valavanthalpuram",234,619,17,2.746365105008077
"1.Pudukottai  (R.V.)Pudukottai(P)  Ward  2 Pudukottai  ,
2.Pudukottai  (R.V.)Pudukottai(P)  Ward  3
Pudukottai",13,664,18,2.710843373493976
"1.VadI(R.V),  Vadi  (P)  Ward  4 Chinnaramalingapuram  ,",270,568,15,2.640845070422535
1.KeelaThiruthangal  (R.V)  Sengamalapatti  (P) Ward  3  Sengamalapatti,37,649,17,2.619414483821263
"1.V.Chokkalingapuram(R.V),
Jameenjalvarpatti  (P)  Ward  1 Jameenjalvarpatti",275,576,15,2.604166666666667
"1.Melamathur(R.V),Melamathur  (P)  Ward  5 Servaikaranpatti  South  Street",41,544,14,2.573529411764706
"1.Kariseri(R.V),Kariseri  (P)Ward  2  Mathiya Sennai",43,906,23,2.538631346578367
"1.Chinnavadi  (R.V),Chinnavadi(P)  Chinnavadi Ramalingapuram  ,  2.Chinnavadi (R.V),Chinnavadi(P)  Ramalingapuram, Venkelnaicken",280,632,16,2.531645569620253
"1.Mangalam(R.V.)Mangalam  (P)  Ward  4 Ramachandrapuram  , 2.Mangalam(R.V.)Mangalam  (P)  Ward  5 Ramachandrapuram",19,719,18,2.503477051460361
"1.Thathampatti(R.V.,Thathampatti  (P)  Ward 1  Periya  Thathampatti  Naicker  &
Adhithiravidar  Street,",233,640,16,2.5
1.Pudhukottai(R.V)Chithamanaickenpatti  (P) Ward  2  Chithamanaickenpatti 2.Pudhukottai(R.V)  Chithamanaickenpatti (P)Ward  3  Paraipatti,15,885,22,2.485875706214689
"1.Enamreddiyapatti  (R.V),  Puliankulam(R.V)
,Patchakulam(R.V),Enamreddiyapatti(P)  Ward 4  Veerakkudumpanpatti,  Puliankulam,
Patchakulam",245,695,17,2.446043165467626
