Polling Area,Polling_Stations_List,Total_Booths_In_Area,Dominant_Party,Dominant_Party_Booths_Won
".1.V.Chokkalingapuram(R.V.) Jameenjalvarpatti  (P)  Ward  2
Jameenjalvarpatti  , 2.V.Chokkalingapuram(R.V.) Jameenjalvarpatti  (P)  Ward  3 Jameenjalvarpatti 3.V.Chokkalingapuram(R.V.), Jameenjalvarpatti  (P)  Ward  4
Jameenjalvarpatti",276,1,Desiya Murpokku Dravida Kazhagam,1
"1.Alagapuri(R.V),  Alagapuri  (P)  Ward  2  East
Street",206,1,Tamilaga Vettri Kazhagam,1
"1.Alagapuri(R.V.),Alagapuri  (P)  Ward  1  North,
Middle,  West  Street",205,1,Desiya Murpokku Dravida Kazhagam,1
"1.Allampatti(R.V)  ,  Kooraikundu  (P)  Ward  6 Hanuman  Nagar,  Virudhunagar.
2.Allampatti(R.V),  Kooraikundu  (P)  Ward  6
M.G.R.  Nagar  ,",231,1,Tamilaga Vettri Kazhagam,1
"1.Allampatti(R.V),  Kooraikundu  (P)  Ward  3 Kottaipatti,  Allampatti  2nd  Street",218,1,Tamilaga Vettri Kazhagam,1
"1.Allampatti(R.V),  Kooraikundu  (P)  Ward  3 Kottaipatti,  Allampatti  2nd  Street  , 2.Allampatti(R.V),  Kooraikundu  (P)  Ward  3 Kottaipatti,  Allampatti  3rd  Street",216,1,Tamilaga Vettri Kazhagam,1
"1.Allampatti(R.V),  Kooraikundu  (P)  Ward  3 Kottaipatti,  Allampatti  3rd  Street  ,",219,1,Tamilaga Vettri Kazhagam,1
"1.Allampatti(R.V),  Kooraikundu  (P)  Ward  3 Kottaipatti,  Allampatti,  Kulurchandai  Road  , 2.Allampatti(R.V),  Kooraikundu  (P)  Ward  3 Kottaipatti,  Allampatti  1st  street,",215,1,Tamilaga Vettri Kazhagam,1
"1.Allampatti(R.V),  Kooraikundu  (P)  Ward  4 Kannapiran  Street.  ,
2.Allampatti(R.V),  Kooraikundu  (P)ard  4,
Perumal  Kovil  Street,",223,1,Tamilaga Vettri Kazhagam,1
"1.Allampatti(R.V),  Kooraikundu  (P)  Ward  4, Mottaiyan  Street  ,",222,1,Tamilaga Vettri Kazhagam,1
"1.Allampatti(R.V),  Kooraikundu  (P)  Ward  5 Kamarajar  Salai
2.Allampatti(R.V),  Kooraikundu  (P)  Ward  5
Sundaram  Street,",224,1,Tamilaga Vettri Kazhagam,1
"1.Allampatti(R.V),  Kooraikundu  (P)  Ward  6 Allampatti  Hanuman  Nagar,  Virudhunagar.
2.  Allampatti(R.V),  Kooraikundu  (P)  Ward  6
Allampatti  M.G.R.  Colony  1st,  Virudhunagar.",232,1,Tamilaga Vettri Kazhagam,1
"1.Allampatti(R.V),  Kooraikundu  (P)  Ward  6 Kamarajarpuram",230,1,Tamilaga Vettri Kazhagam,1
"1.Allampatti(R.V),  Kooraikundu  (P)  Ward  6 Veeraraman  Street  ,
2.Allampatti(R.V),  Kooraikundu  (P)  Ward  6
Hanuman  Nagar",227,1,Tamilaga Vettri Kazhagam,1
"1.Allampatti(R.V),  Kooraikundu  (P)Ward  5 Raman  Street",225,1,Tamilaga Vettri Kazhagam,1
"1.Allampatti(R.V),  Kooraikundu  (p)  Ward  6 Raman  Street,  ,  2.Allampatti(R.V), Kooraikundu  (P)  Ward  6  Muthuraman  Street  , 3.Allampatti(R.V),  Kooraikundu  (P)  Ward  5
Sundaram  Street  Raman  Street",228,1,Tamilaga Vettri Kazhagam,1
"1.Allampatti(R.V),  Kooraikundu(P)  Ward  3 Old  Sivakasi  Road",220,1,Tamilaga Vettri Kazhagam,1
"1.Allampatti(R.V),Kooraikundu  (p)  Ward  6 Allampatti,  Raman  Street  ,  2.Allampatti(R.V), Kooraikundu  (P)  Ward  6  Selvakali  Street  , 3.Allampatti(R.V),  Kooraikundu  (P)  Ward  6
Sivanantham  street",229,1,Tamilaga Vettri Kazhagam,1
"1.Allampatti(R.V),Kooraikundu(P)  Ward  4 Kumarasamy  Street",221,1,Tamilaga Vettri Kazhagam,1
"1.Allampatti(R.V)Kooraikundu  (p)  Ward  3 Kottaipatti,  Allampatti  1st  street",217,1,Tamilaga Vettri Kazhagam,1
"1.Amathur(R.V)  ,  Amathur  (P)  Ward  3 Sangureddiyapatti  2.Amathur(R.V),  Amathur
(P)  Ward  6  Amathur",57,1,Desiya Murpokku Dravida Kazhagam,1
"1.Amathur(R.V),  Amathur  (P)  Ward  2 Sangureddiyapatti",55,1,Tamilaga Vettri Kazhagam,1
"1.Amathur(R.V),  Amathur  (P)  Ward  3 Venkadesvarapuram  , 2.Nattarmangalam(R.V.),  Amathur  (P)  Ward  4
Nattarmangalam",54,1,Desiya Murpokku Dravida Kazhagam,1
"1.Amathur(R.V),  Amathur(P)  Ward  2  Amathur
,",56,1,Tamilaga Vettri Kazhagam,1
