Serial No. Of Polling Station,Location and name of Building in Which Polling Station Located,Polling Area,Winner_Party,Margin_Percentage
3,"Panchayat  Union  Primary  School, East  Side  .Erichanatham","1.Erichanatham(R.V.)  Erichanatham(P)  Ward 4  A.Puthupatti  ,
2.Erichanatham  (R.V.)Erichanatham(P)  Ward
5  A.Puthupatti",Desiya Murpokku Dravida Kazhagam,22.47933884297521
15,"Panchayat  Union  Middle  School, South  Building
,Chithamanaickenpatti",1.Pudhukottai(R.V)Chithamanaickenpatti  (P) Ward  2  Chithamanaickenpatti 2.Pudhukottai(R.V)  Chithamanaickenpatti (P)Ward  3  Paraipatti,Desiya Murpokku Dravida Kazhagam,22.48587570621469
17,"Government  Higher  Sec  .  School, Mainbuilding  ,North  side  ,  10th  C Class  Room  Mangalam","1.Mangalam(R.V.)Mangalam(P)  Ward  1 Mangalam  , 2.Mangalam(R.V)Mangalam  (P)  Ward  2 Mangalam
3.Mangalam(R.V)Mangalam  (P)  Gopalanpatti",Desiya Murpokku Dravida Kazhagam,28.95054282267793
18,"Government  Higher  Sec.  School, Mainbuilding  ,North  side  Staff Room  ,Mangalam","1.Mangalam(R.V)Mangalam  (P)  Pitchupatti  , 2.Mangalam(R.V.)Mangalam  (P)  Mettupatti  ,",Desiya Murpokku Dravida Kazhagam,38.76811594202898
29,"Panchayat  Union  Middle  School, North  Building  Sanarpatti","1.Kalaiyarkurichi  (R.V)Kalaiyarkurichi(P) Ward  3  Kalaiyarkurichi  ,  2.Kalaiyarkurichi (R.V.),Poornachandrapuram(R.V),Kalaiyarkuri chi(P)  Ward  5 Sanarpatti,Poornachandrapuram",Desiya Murpokku Dravida Kazhagam,24.31561996779388
34,"Panchayat  Union  Primary  School, West  side  Facing  North  3rd  room from  west  Vadamalapuram",1.KeelaThiruthangal  (R.V)  Vadamalpuram  (P) Ward  2  Vadamalapuram  Ward  1 Vadamalapuram  (Sl.No293  to  642),Desiya Murpokku Dravida Kazhagam,17.6043557168784
52,"Panchayat  Union  Middle  School, West  Building,  North  Side  room, East  Facing,  Kowndanpatti.","1.Kowndampatti  (R.V.)  Kowndampatti(P) Ward  1  Kowndampatti  ,
2.Kowndampatti  (R.V.)Kowndampatti(P)  Ward 5  M.Perumalpatti  ,
3.Kowndampatti  (R.V)Kowndampatti(P)  Ward 2  Kowndampatti  ,
4.Kowndampatti  (R.V.)Kowndampatti(P)  Ward 3  Kowndampatti  ,
5.Kowndampatti  (R.V.)Kowndampatti(P)
Ward  4  Kowndampatti",Desiya Murpokku Dravida Kazhagam,14.62333825701625
57,"Panchayat  Union  primary  School, New  Building  South  Side  West Portion  Amathur","1.Amathur(R.V)  ,  Amathur  (P)  Ward  3 Sangureddiyapatti  2.Amathur(R.V),  Amathur
(P)  Ward  6  Amathur",Desiya Murpokku Dravida Kazhagam,21.73913043478261
64,"Panchayat  Union  Primary  School, Ellinganayakkanpatti","1.Ellinganaickenpatty(R.V),Ellinganaickenpat ty  (P)  Ward  1&2  Ellinganaickenpatti  , 2.Ellinganaickenpatty(R.V), Ellinganaickenpatty  (P)  Ward  3
Ellinganaickenpatti",Desiya Murpokku Dravida Kazhagam,14.36619718309859
70,"Panchayat  Union  Primary School,Chanthirakiripuram, Chanthirakiripuram-626103","1.Pavali(R.V),  Pavali  (P)  Ward  4 Chandragripuram  , 2.Seeniyapuram(R.V),Pavali  (P)  Ward  5 Seeniyapuram  ,  3.Pavali(R.V.)Pavali  (P)  Ward 6  Chokkalingapuram  , 4.Seeniyapuram(R.V),Pavali  (P)  Ward  7
Elgaipatti",Desiya Murpokku Dravida Kazhagam,16.86046511627907
